cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
746	11	3699	False
46955	1	1866	False
31624	6	1675	False
33873	2	1384	False
31694	1	625	False
41558	5	1064	True
35660	2	931	False
44963	4	432	True
34436	23	846	True
23498	13	359	True
7087	3	222	False
43571	1	195	False
20407	2	235	False
36918	1	271	False
4593	7	287	False
6153	6	387	True
36575	1	177	False
41042	1	229	False
31696	2	165	False
19353	1	198	False
1292	1	240	True
44057	6	116	True
24852	4	113	True
8206	14	240	True
15586	8	411	True
27696	1	122	False
34454	1	158	False
768	2	90	False
50861	5	127	False
734	15	141	False
10406	3	107	False
30565	1	152	False
9396	5	155	True
4639	1	72	False
7801	5	112	False
18765	9	127	True
2843	1	71	False
25194	13	211	True
20896	4	175	True
4669	1	48	False
11991	1	110	False
45825	3	99	False
13508	1	90	False
28872	1	128	True
50426	1	88	False
50028	11	171	False
40236	1	114	False
1339	2	89	True
15114	8	356	False
4428	14	162	True
52214	1	92	False
29447	12	119	True
42488	3	140	False
1603	1	160	False
8222	1	86	False
26320	1	120	False
40537	1	90	False
25970	19	149	False
9421	2	53	False
38136	1	66	False
20370	11	86	True
25643	11	122	False
14831	1	77	True
37906	4	104	False
33065	1	79	False
31775	4	106	False
42954	4	77	False
1552	3	195	False
22908	2	53	True
17034	6	53	False
23813	2	57	False
7803	1	81	False
22922	1	39	False
13820	1	49	False
35905	2	86	False
7596	1	40	False
45399	8	154	False
32109	3	58	False
1588	2	83	True
30754	3	34	True
6912	1	67	False
46598	2	88	False
49295	1	67	False
49033	2	43	True
33539	1	42	False
51042	2	77	False
30989	2	66	True
50041	1	57	False
9274	1	35	False
8075	1	57	False
26946	1	58	False
35864	1	49	False
44045	4	47	True
32102	16	160	False
24559	13	57	True
22767	3	47	False
35060	6	59	True
7540	4	58	True
42928	2	56	True
33855	3	95	False
5629	1	49	False
33849	9	86	True
6176	2	70	False
9389	3	53	False
44079	2	53	False
33228	1	63	False
8217	1	51	True
28343	3	77	False
17435	2	43	False
22319	3	62	True
47948	4	77	False
29270	1	29	False
33345	9	62	False
31723	31	143	False
33872	2	54	False
11455	2	47	False
32165	1	62	False
30585	1	58	False
4654	1	20	False
8679	2	58	True
33365	3	13	False
27469	3	51	False
26917	1	79	False
49057	1	74	True
29439	7	40	True
31293	5	50	True
1960	2	31	False
29440	4	69	True
15143	3	52	False
2599	1	52	False
26909	2	28	True
31767	1	94	False
12130	2	67	False
40186	2	61	False
35655	4	23	False
31282	2	66	False
16424	10	56	True
37811	5	37	True
34956	1	46	False
31974	1	24	False
37812	4	53	True
28667	2	66	False
23598	1	13	False
13052	2	14	False
39647	2	28	True
44974	2	55	False
33342	2	19	False
1560	1	46	False
16710	1	73	False
33584	5	51	True
27455	5	142	False
43632	1	23	False
18936	1	77	False
3358	2	48	False
27922	4	80	True
13577	1	29	False
45471	1	21	False
44624	1	31	False
20552	4	35	True
13479	1	31	False
8208	6	68	False
4627	1	56	False
