cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
1535	4	1305	False
42936	1	691	False
41811	1	363	True
28345	2	559	True
40234	1	301	False
23630	1	513	False
35653	4	331	False
19358	1	183	False
13958	1	303	False
23498	5	286	True
49026	1	163	False
43536	2	721	False
21177	1	145	False
50861	4	81	False
13996	1	170	False
28105	1	296	False
17423	4	82	False
1554	2	105	False
49034	1	93	True
36689	2	115	False
31137	2	69	False
29250	3	140	False
46323	4	78	True
36192	1	65	True
39320	5	70	True
29774	2	85	False
51479	1	112	False
48178	1	43	False
31839	2	66	False
6722	2	41	False
31736	3	164	False
3878	1	61	False
18775	3	62	True
35693	2	42	False
1603	1	44	False
44955	5	50	True
22313	2	61	True
26905	3	36	False
51850	1	47	False
35700	1	64	False
50683	2	52	False
7620	1	90	False
26591	1	58	False
44398	1	43	False
19272	1	62	False
27126	3	47	True
1327	1	37	False
39711	1	38	False
747	1	31	True
1335	1	60	False
3539	1	102	False
15139	4	45	False
39716	1	37	True
5224	1	47	False
51740	1	69	True
11927	1	24	False
10986	1	10	False
18245	1	44	False
30972	1	38	False
44046	6	43	False
40581	1	50	False
51258	1	37	True
22148	3	21	False
48601	1	69	False
25970	8	43	False
2188	1	30	False
42938	1	29	False
33338	3	29	False
43189	1	14	False
32103	9	51	False
49785	1	29	False
41839	1	16	False
23774	6	54	True
15312	1	33	True
38545	1	21	False
51213	2	33	True
1638	1	41	False
51478	1	46	False
20548	1	70	False
44598	1	50	False
20366	4	83	False
17488	2	16	False
41968	1	24	False
43846	4	44	False
20887	5	45	True
49023	6	54	False
46755	1	37	True
1525	1	23	True
18944	1	19	False
43858	1	45	False
17606	1	26	False
46331	8	88	True
27819	1	14	False
4598	1	35	False
19869	3	73	True
23106	2	20	False
1596	1	71	False
52216	5	43	False
48437	1	19	False
27445	1	17	False
36564	1	14	False
12937	7	28	True
33854	2	26	True
11267	1	34	False
7103	4	31	True
39470	2	38	True
32102	8	27	False
33586	4	42	True
33767	2	20	True
50036	1	17	True
51032	1	27	False
36384	1	9	False
40987	3	28	True
16080	2	25	False
26149	2	65	False
37805	7	30	True
18256	1	22	False
9394	2	37	False
31147	4	17	False
41556	1	12	False
34600	4	50	True
47933	1	20	False
42492	6	63	True
23503	2	19	True
35107	1	12	False
28373	1	13	True
4	1	13	False
9206	1	17	False
41841	1	8	False
18818	1	10	False
37906	1	24	False
18770	1	24	False
33848	2	63	False
11074	1	13	False
13126	2	9	True
40176	3	29	False
24565	4	16	True
20776	1	36	False
11464	2	19	False
47430	1	26	True
43146	2	17	False
16652	1	11	False
35064	1	21	False
43161	1	20	False
1520	1	15	False
22763	3	19	True
31291	1	10	False
15591	4	36	False
42510	2	12	True
20721	5	46	True
24859	3	14	False
19624	4	50	False
2182	7	25	True
7084	2	40	False
23626	1	4	False
20886	5	14	True
46311	4	20	False
36436	1	12	False
46776	1	11	False
50439	1	11	False
46329	1	18	True
37522	1	20	False
44836	1	9	False
34097	3	22	True
43957	1	12	False
49173	2	11	False
31828	1	8	False
18052	1	18	False
11748	3	12	False
33615	2	16	False
5863	1	13	False
10074	1	28	False
27123	4	27	True
15132	1	10	False
30993	1	17	False
370	6	21	False
26726	1	5	True
37590	3	12	True
44065	1	21	True
25197	2	31	True
766	1	19	False
40992	1	9	False
21555	1	13	False
44070	1	7	False
51445	3	25	False
47118	2	16	False
36199	1	3	False
18103	1	10	False
27133	4	21	False
39462	4	23	True
40148	1	9	False
38338	1	9	True
33349	2	7	False
44958	1	26	False
35735	1	8	False
35739	2	10	False
13560	1	8	False
5476	2	13	False
20725	2	10	False
20550	2	10	True
8204	5	11	True
17031	2	6	True
4625	3	12	False
12946	1	15	True
28099	1	5	True
44946	7	28	True
15291	1	22	True
44959	2	11	True
6366	1	14	False
50078	1	9	False
33851	3	25	True
20144	2	22	False
33584	4	16	True
40204	1	5	False
29521	1	16	False
13836	1	11	False
47106	5	29	False
31737	2	7	False
7570	2	18	False
35667	1	7	False
18250	1	16	False
51261	3	6	False
37089	1	6	False
30774	3	6	False
29455	1	9	True
22378	1	16	False
34468	1	10	True
21036	2	8	False
16418	4	22	True
13427	1	2	False
49822	1	12	True
24559	8	10	True
41559	1	7	False
44050	2	10	False
50644	1	26	True
25209	2	13	True
29096	1	17	False
25466	2	7	False
27628	1	16	False
25968	3	19	False
25236	1	8	False
34895	1	7	False
48810	1	4	False
2335	1	7	False
35093	1	13	False
8650	1	4	False
23814	1	9	True
37913	1	3	False
44973	1	6	False
37909	1	7	False
20389	1	11	True
17441	1	6	False
35665	1	4	False
