cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
25206	2	2682	False
15678	1	1269	False
31458	3	2354	True
26400	2	1409	False
7951	5	2109	False
27469	2	664	False
34606	2	999	False
49478	1	1431	False
50873	1	621	False
38293	1	474	False
51231	3	745	False
26029	1	560	False
10737	2	568	False
16419	3	564	True
17443	4	537	False
11497	2	546	False
20381	3	393	False
43535	5	312	False
5863	3	421	False
39975	9	994	True
28127	3	559	False
41827	3	143	False
28348	4	322	True
44186	2	309	False
26900	21	417	True
33852	3	178	True
24459	10	272	False
40985	2	357	True
33348	1	232	False
33332	8	340	False
14714	3	291	False
21562	5	248	False
1581	10	363	True
42995	2	353	False
22346	2	296	False
18833	1	210	True
18585	1	293	False
15114	7	496	False
17066	1	345	False
36689	9	269	False
26586	3	217	False
23644	4	224	False
16461	2	171	False
20888	10	255	False
941	2	186	False
30778	6	365	True
18767	4	175	False
30061	2	247	False
39240	1	181	False
20887	16	281	True
29461	1	252	False
32756	1	188	False
46910	2	210	False
25971	3	125	False
28575	3	207	True
36847	1	125	False
29246	6	216	False
13081	1	161	False
50657	1	211	False
29285	1	120	False
30281	7	280	True
4596	8	250	False
4847	4	233	False
5024	9	212	False
7545	1	170	True
21033	4	196	True
25645	7	188	True
18769	5	185	True
19082	1	133	False
40430	1	232	False
8213	13	196	False
39470	6	161	True
24209	1	225	False
6163	5	188	True
36575	1	199	False
33845	7	192	False
20725	3	180	False
3887	2	134	True
16835	1	153	True
31723	44	359	False
10186	1	49	False
43601	1	162	True
2324	3	182	True
17488	1	115	False
50897	2	159	True
37029	2	113	False
42510	5	427	True
34266	3	179	True
14907	2	131	False
37595	6	181	False
14906	1	168	False
4612	5	149	False
16632	4	236	True
26741	2	145	False
16439	4	87	False
24559	10	174	True
33865	2	184	False
42018	2	193	False
13986	2	92	False
47192	1	103	False
34428	6	142	True
25194	16	205	True
29803	1	83	False
46109	1	188	False
15594	5	180	True
20906	4	161	False
28587	3	191	True
10968	1	142	False
22764	10	127	False
13814	1	141	True
35660	2	122	False
4481	1	175	False
6189	1	126	False
50884	3	163	True
34426	15	191	True
6187	5	140	False
22312	5	104	False
47105	15	135	True
19637	4	108	False
2201	2	95	True
98	4	152	False
41354	5	115	False
48819	2	107	False
23608	3	95	True
1532	10	144	True
33359	1	85	False
32103	16	267	False
23532	1	130	False
36692	1	23	False
29279	1	213	False
17711	1	87	False
42926	18	125	True
39142	1	127	False
27042	12	110	True
17423	12	147	False
8646	1	89	False
42658	1	67	True
12956	1	78	False
29452	2	82	True
31457	2	160	False
23019	1	84	False
4428	5	81	True
36708	4	80	False
44047	3	75	True
31779	1	97	False
41551	12	172	True
28566	16	215	False
32104	12	202	False
31444	2	152	True
16660	1	123	False
774	4	89	True
5802	1	82	False
39483	1	97	False
32291	3	74	False
32290	2	86	False
24025	1	61	False
34112	1	80	False
24564	3	57	True
1302	4	47	True
32115	7	73	False
7537	3	66	False
42932	18	118	True
43606	1	167	False
30991	5	91	True
13621	2	77	False
29774	4	99	False
18551	3	98	False
37422	1	75	False
17828	3	162	False
2341	1	92	False
8696	4	54	False
49824	1	62	False
1294	7	132	True
38693	3	97	False
39543	1	25	False
46064	2	64	False
40203	2	111	False
51729	2	58	False
16374	1	131	False
36567	1	48	False
3191	1	25	False
18306	1	94	False
1577	5	69	True
33849	13	124	True
42485	5	120	True
20546	1	43	False
26534	1	44	False
22429	1	57	False
40188	2	81	False
29715	1	155	False
1337	4	62	True
34954	1	55	False
50864	6	46	True
33340	3	68	False
43671	1	56	False
31298	7	189	False
32118	3	63	False
24463	7	309	False
20472	2	104	False
28626	2	147	True
5758	1	59	False
1331	1	58	True
42973	2	58	False
12725	1	104	False
27063	1	112	False
6361	1	107	True
40000	1	30	True
35055	3	112	False
27053	1	18	False
49844	3	85	False
28544	1	43	False
41555	9	79	True
9009	1	72	False
41811	4	17	True
26931	1	98	False
23595	3	51	True
35690	2	57	False
746	9	90	False
32110	6	56	False
47432	2	63	False
44946	15	101	True
21625	1	65	False
29441	12	77	False
51847	5	88	False
39685	2	68	False
9869	6	68	False
20981	2	37	False
48172	5	30	True
33610	13	131	False
40987	11	86	True
19875	1	46	True
3365	1	119	False
25972	5	53	False
18816	1	50	False
32805	1	194	False
5020	4	95	False
40978	26	130	False
3870	8	57	False
28254	1	31	False
25455	4	68	False
28816	1	59	False
43549	1	76	False
17441	2	92	False
28146	1	57	False
15600	3	70	True
26596	7	84	False
26910	3	50	False
22673	1	226	False
25968	13	95	False
16644	9	155	True
8212	19	165	True
23497	13	182	True
33591	10	85	False
3664	1	65	False
35802	1	32	False
23604	4	75	False
5618	2	35	False
12963	3	33	False
40219	1	77	False
20722	4	54	True
7940	2	47	False
17044	1	45	False
1569	1	41	False
42961	2	44	False
31742	4	43	False
44945	8	38	True
24565	10	69	True
20894	1	48	False
4301	1	70	False
748	3	60	True
43866	2	54	False
759	1	62	False
40176	2	57	False
2970	1	17	False
51254	1	34	False
20926	2	35	False
17034	4	80	False
32609	17	131	True
23615	5	66	False
7825	2	33	False
44171	1	55	False
16460	2	85	False
20165	1	50	False
43545	2	38	False
27050	12	51	False
22243	1	16	False
47117	5	34	False
48186	3	21	False
13119	8	94	False
31461	1	41	True
49411	1	50	False
26796	1	37	False
50025	13	81	True
27740	1	43	False
6152	3	48	False
956	2	43	False
21563	4	177	False
17839	1	30	False
41553	5	31	True
3656	1	79	False
10300	1	38	False
22765	1	32	False
49158	1	39	True
32904	1	49	False
23770	2	59	True
33586	14	63	True
17037	2	23	False
10975	1	46	False
14020	5	36	False
43584	1	34	False
25995	1	23	False
36193	2	58	False
37917	1	43	False
51745	2	42	False
28851	3	76	False
45397	6	45	False
52259	1	39	False
19326	3	43	False
10408	6	60	True
39966	4	42	True
12229	1	26	False
39964	9	43	True
18544	1	61	False
367	6	49	False
22762	1	64	True
18580	1	40	False
1372	2	21	False
34105	8	58	False
25196	4	52	False
4429	10	44	True
15124	3	43	False
3565	1	62	False
51240	1	41	True
15596	5	35	True
1596	4	47	False
23972	5	37	True
10950	6	66	True
33605	4	29	False
23768	1	46	False
13456	1	24	False
42684	2	28	False
35693	3	31	False
45127	2	127	False
48624	1	53	False
1592	3	57	False
25210	2	53	False
3364	1	60	False
41559	1	20	False
28329	2	30	False
44527	1	43	False
48591	6	91	True
42124	1	38	False
18240	4	196	False
783	5	24	True
2342	2	47	False
37240	3	51	False
50030	9	130	True
48184	1	10	False
1827	3	36	False
31730	13	73	False
38078	1	20	False
26726	3	49	True
42492	6	41	True
6607	2	28	False
26904	13	84	False
2199	2	36	True
42975	3	94	False
43561	3	38	False
20882	6	57	True
22784	2	58	False
45914	1	34	False
28564	5	34	False
31140	5	38	True
51243	5	23	False
25204	1	136	False
38389	1	13	False
43842	18	111	False
52236	5	55	True
21553	8	59	True
39462	8	80	True
47132	3	28	True
30106	2	39	False
1329	4	42	False
7088	12	69	False
39474	2	22	False
30282	3	52	True
2325	1	22	True
1536	5	61	False
20914	1	21	False
7106	1	25	False
3888	1	27	False
25200	10	74	True
41557	3	77	True
12259	1	34	False
29247	10	44	True
36406	2	54	False
22197	1	4	False
36705	3	33	False
5034	1	42	False
44962	3	30	True
9622	1	45	False
31149	4	30	False
28336	4	46	False
13811	3	39	False
23961	8	54	True
8698	2	27	False
46469	1	35	False
3714	1	35	True
19207	1	29	False
44630	1	50	False
27670	3	26	True
44267	1	41	False
34432	11	116	True
34436	30	112	True
28567	5	41	True
51239	2	20	True
33601	3	18	True
39477	5	56	False
49841	2	30	False
33768	7	141	False
51251	4	18	False
51447	1	21	False
37440	2	41	False
361	9	68	True
27682	2	28	False
47415	14	97	True
9202	1	26	True
17841	2	25	False
9519	5	28	False
44202	1	45	False
15395	2	10	False
33908	1	30	False
1373	1	17	False
19626	4	60	True
37594	1	25	False
15118	3	48	False
2904	1	6	False
9515	5	51	True
38516	3	49	True
43847	10	47	False
10409	6	26	True
42953	5	39	False
50893	2	24	False
740	7	17	True
50612	1	12	False
44967	4	40	True
11947	5	68	False
33851	14	74	True
1540	9	57	False
43841	5	26	True
27466	2	27	True
20891	12	88	True
44981	2	36	True
42942	1	24	False
42490	6	47	False
7534	1	31	False
23596	1	27	False
13991	4	17	True
28324	2	46	False
30745	4	57	True
52216	5	116	False
40417	1	123	True
18787	3	62	True
13572	2	13	False
35059	3	31	False
40205	1	21	False
23501	14	48	True
31094	1	26	False
42976	2	42	False
10475	1	139	False
35350	1	34	False
29440	3	40	True
44070	6	36	False
1804	2	31	False
1803	4	58	True
19727	1	16	False
1321	1	19	False
32050	2	18	False
10406	4	17	False
35760	1	10	False
24267	1	24	False
30273	9	54	True
1570	8	34	True
763	4	30	False
39336	1	14	False
4625	2	28	False
44181	2	38	False
8204	9	39	True
30294	1	22	False
51221	8	28	False
23962	4	62	True
5813	6	50	True
37811	3	20	True
39655	5	31	False
46339	3	45	True
6005	7	58	True
23592	27	126	False
3344	1	28	False
37809	4	24	True
48208	1	4	False
788	2	23	False
50179	1	20	False
12937	13	53	True
52233	7	32	False
48419	2	31	False
30990	4	41	False
10062	4	25	False
39461	2	26	False
42985	1	13	False
38918	1	41	False
32102	19	65	False
23097	6	39	False
46760	1	40	True
26926	2	23	False
17824	1	14	False
30979	8	33	True
10954	6	27	True
22648	4	59	True
51227	10	42	True
48593	2	18	False
6606	6	41	False
38339	6	46	True
22650	5	33	True
24051	1	20	False
35680	11	78	True
22156	1	7	False
2039	1	19	False
52241	8	32	False
8700	5	37	False
7867	1	29	False
29442	2	37	False
22929	1	41	False
41835	9	37	False
6794	1	13	False
34286	1	33	False
32108	7	25	False
23500	5	29	True
26903	5	38	True
35648	2	24	False
37679	1	21	False
45813	3	26	False
17612	2	35	False
22164	1	5	False
23643	3	19	False
15610	1	29	False
36263	1	26	False
50526	1	19	False
29444	8	36	False
25208	3	38	False
6779	4	36	False
6016	4	43	False
17793	1	18	False
20918	1	16	False
47635	8	42	False
34435	4	35	False
5032	3	25	False
24456	18	52	False
48193	1	3	False
41817	4	10	True
40187	1	12	False
12131	1	17	False
19344	2	25	False
20720	5	29	False
5027	6	85	True
22761	7	24	True
47831	1	18	False
44627	5	34	False
17829	3	23	False
47129	1	31	False
25970	19	69	False
50866	6	51	False
39320	8	27	True
30912	1	9	False
48588	9	68	True
48789	6	29	False
10642	5	22	False
6166	2	19	False
6852	1	100	False
39675	1	17	False
24573	3	18	True
35064	5	32	False
43870	1	25	True
31137	8	33	False
1817	4	48	False
24236	2	14	False
27044	8	47	False
46319	7	12	True
15607	1	27	False
1613	1	15	False
33879	1	23	False
26169	6	55	False
5799	2	9	True
49443	1	28	False
1521	6	51	False
7950	3	6	True
18763	1	9	True
46050	1	27	False
25192	2	19	False
27055	3	10	False
14745	1	24	False
10649	1	9	False
3878	1	20	False
33338	10	49	False
1557	6	38	False
37805	20	81	True
43148	4	21	True
23498	10	40	True
22514	6	21	True
36212	1	10	False
20376	3	38	False
37599	1	28	False
6174	3	10	False
23201	1	15	False
28588	4	22	False
42943	29	116	False
