cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
48174	1	53	False
34598	2	128	False
35709	1	52	True
38269	1	39	False
28334	2	44	False
44950	3	52	True
15291	3	30	True
50095	1	46	False
17605	1	29	True
25968	3	71	False
44274	1	61	False
15298	2	57	False
20721	4	36	True
50037	6	66	True
14029	1	15	False
24343	1	22	False
48344	1	8	False
1960	2	31	False
39073	1	29	False
31753	3	15	False
4866	4	46	True
35067	1	34	False
17449	1	5	False
42533	1	24	False
36698	3	17	False
22776	3	19	False
27662	1	30	False
39336	1	16	False
13982	1	17	False
26912	1	11	True
20886	2	37	True
28330	1	11	False
30985	2	8	False
7525	2	22	True
1324	2	22	False
32609	4	21	True
2904	1	5	False
48789	2	20	False
13289	1	14	False
25200	3	25	True
27056	1	9	True
46333	1	34	False
22146	1	3	False
51233	1	19	True
19426	1	19	False
18765	1	15	True
31280	2	16	True
36930	1	21	False
5301	1	28	False
4734	1	20	False
45122	6	44	False
13573	2	14	False
28584	1	18	False
50088	1	15	False
27664	1	12	True
19876	1	12	False
32103	6	14	False
2185	5	18	True
27322	1	11	False
41816	1	2	False
33774	1	8	False
35667	2	29	False
41811	4	7	True
50869	2	11	True
39716	1	12	True
3660	1	26	False
48250	1	6	False
46027	1	8	False
43557	4	14	False
23609	1	13	False
31660	1	23	False
32530	2	10	False
9238	1	9	False
24907	1	6	False
9215	1	7	False
38521	2	9	True
14204	1	18	False
39321	2	13	True
15301	4	14	False
41573	1	7	True
33004	1	7	False
20891	5	18	True
28580	1	11	True
23592	7	26	False
12936	3	9	False
17087	1	12	False
31723	11	33	False
36891	1	11	False
34218	1	10	False
22922	1	8	False
51227	4	9	True
44945	4	15	True
33339	3	4	False
1570	3	10	True
9224	4	12	False
28344	2	9	False
20735	2	8	True
3880	1	6	False
21550	1	23	False
2327	5	22	False
27045	2	9	False
47916	3	15	True
24213	1	49	False
8718	1	6	False
30975	1	9	True
35080	3	12	False
39085	5	13	False
32104	3	31	False
3865	1	8	False
34427	1	3	False
1340	1	4	False
43556	3	8	False
50087	1	6	False
33844	4	15	False
27475	5	9	True
43163	1	12	False
42178	1	8	False
36382	5	16	True
25658	1	8	False
35656	1	9	True
43146	1	5	False
3868	4	12	False
17040	1	5	False
8687	1	6	False
40987	3	4	True
25472	2	15	False
48171	1	2	True
7799	1	6	True
35653	3	5	False
6363	1	7	True
41808	3	3	False
34110	1	7	False
17830	4	11	True
38037	1	10	False
16155	1	6	False
9397	1	4	False
27456	1	11	False
31170	1	2	False
43089	1	21	False
44062	1	10	True
1537	1	5	True
50650	2	6	False
17033	2	14	True
29444	2	9	False
6156	2	8	True
40173	2	3	True
37810	1	3	False
31153	2	4	False
1297	1	5	False
37948	1	20	False
39665	1	3	False
17832	1	4	False
19630	2	27	False
18764	3	8	True
44946	4	7	True
2206	1	11	False
52232	1	6	False
31142	1	2	False
20896	1	4	True
46962	1	13	False
8078	1	8	False
7111	2	4	False
788	1	5	False
3006	1	1	False
29086	1	9	False
41827	1	2	False
13621	1	6	False
31804	1	6	False
491	1	3	False
46029	1	3	False
44949	1	12	True
14001	1	5	False
30763	1	6	False
44631	4	12	True
47424	2	17	True
38368	1	3	False
44078	2	7	False
20898	1	5	False
28887	1	11	False
41807	1	1	False
26900	4	11	True
30275	3	5	True
10985	1	7	True
1301	1	4	False
25979	3	8	False
44954	1	2	False
11075	1	1	False
10649	1	5	False
45397	3	3	False
13074	1	11	False
51261	1	4	False
48791	1	1	False
855	1	4	False
10409	6	38	True
740	4	10	True
23501	1	4	True
31149	1	5	False
39719	2	8	False
17606	1	3	False
4601	5	11	False
24457	1	3	False
26904	3	9	False
46056	1	2	False
44045	4	11	True
3876	2	3	True
40410	2	2	False
23772	1	10	True
31742	1	6	False
27660	2	3	True
28370	1	3	False
10065	3	8	False
8206	2	7	True
33335	2	8	False
48584	4	8	True
6712	1	2	False
29440	3	15	True
1580	1	5	False
7977	1	1	False
26967	1	3	False
27479	2	19	True
923	1	18	False
3918	1	4	False
44065	3	16	True
4847	1	15	False
27661	1	6	True
1814	2	8	False
47133	1	2	False
6177	1	5	False
46866	1	2	False
