cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
3778	2	14527	False
52232	2	8794	False
1994	2	798	False
34782	1	416	False
27129	4	721	False
14198	4	781	False
43078	1	158	False
6015	3	351	False
29455	4	713	True
12943	10	395	True
23500	7	771	True
3928	1	285	False
39321	3	217	True
20373	3	398	True
34432	12	316	True
9030	1	692	False
37805	22	559	True
33334	7	212	False
1557	3	220	False
23779	1	252	False
26900	18	483	True
27286	7	297	True
46364	1	428	False
33338	3	394	False
10642	5	505	False
4429	8	236	True
46336	4	426	True
1598	1	218	False
34449	4	241	True
41807	4	118	False
38674	1	165	False
361	6	165	True
1296	4	219	True
41838	1	97	False
25975	2	79	False
25971	4	82	False
35699	1	128	False
47128	2	262	False
22764	6	147	False
32103	14	168	False
51231	2	178	False
29250	2	265	False
5490	2	130	False
22510	4	161	True
1600	2	121	False
48196	1	53	False
42932	13	201	True
39723	1	107	False
5741	1	171	False
11678	2	141	True
3350	2	153	True
28340	2	72	True
39515	1	44	False
1809	3	266	True
40009	1	97	False
33851	8	113	True
2495	1	166	False
4906	1	161	False
31730	9	157	False
36705	2	81	False
10069	1	92	False
30054	1	124	True
4605	4	133	False
43642	1	43	False
41844	1	34	False
22506	7	159	True
19557	1	151	False
5450	4	87	False
1522	7	120	False
1526	19	227	False
14018	2	72	True
19329	1	80	False
20896	5	76	True
16424	4	84	True
15453	2	78	False
1550	7	77	False
30975	14	102	True
1666	2	33	False
27050	9	100	False
42661	6	93	False
22647	1	125	False
43848	2	93	True
26793	1	91	False
12938	4	72	False
30757	1	40	False
40638	1	100	False
35651	9	109	False
16647	2	130	False
34598	13	144	False
31723	39	329	False
15339	1	29	False
1567	5	126	False
1554	4	50	False
1838	1	88	False
38334	1	85	False
8538	4	95	False
20130	5	71	False
7554	2	78	False
15141	2	78	False
19344	1	42	False
15323	2	46	True
38693	1	107	False
20375	2	75	True
10086	1	85	False
16420	5	58	False
5027	4	90	True
28598	3	80	False
33360	9	99	False
5471	1	92	True
28615	3	85	False
738	1	23	True
7915	1	62	False
19645	4	49	True
38514	1	43	False
31137	6	165	False
23795	2	117	True
22905	4	80	False
50867	2	43	True
50445	1	77	False
1546	3	61	False
8204	9	84	True
18240	1	89	False
14918	5	57	False
7808	5	126	False
12456	5	81	True
44046	6	43	False
31737	4	29	False
38541	1	113	False
44064	3	61	True
5444	3	32	True
45159	1	99	False
42557	1	49	False
1801	3	86	True
21228	1	57	False
48232	1	18	False
20367	17	104	True
33848	8	85	False
45388	11	146	False
20886	5	68	True
17835	8	57	False
6188	2	36	False
7133	1	33	False
30819	1	78	False
40833	1	36	True
23595	2	22	True
7989	1	76	False
4309	1	28	False
31337	2	54	True
33997	1	30	False
29264	1	31	True
45824	1	55	False
46331	17	130	True
11504	1	47	False
27663	2	33	False
51847	6	64	False
33347	5	180	False
1576	2	30	True
24100	1	30	False
13816	3	40	False
37817	3	25	True
5024	20	127	False
28648	2	37	False
33372	3	40	False
20662	1	27	False
11073	1	17	False
1309	8	40	True
51230	3	62	False
42508	3	45	True
37590	9	134	True
29808	1	51	False
17836	10	41	False
14907	2	53	False
44063	2	47	False
43545	4	37	False
24558	14	56	True
13822	4	54	False
45384	2	30	False
12960	3	101	False
10417	2	34	True
31720	6	21	False
1540	3	44	False
8704	3	39	False
44057	5	54	True
49035	6	33	False
44647	2	49	False
29447	10	71	True
40451	2	34	False
40609	1	19	False
5088	1	22	False
27502	6	47	False
24475	1	42	False
49028	7	35	True
38656	1	39	False
51227	8	69	True
2511	2	52	False
7528	4	52	True
25200	8	68	True
25803	3	23	False
46747	2	25	False
1532	10	80	True
51220	1	26	True
44956	6	30	False
32102	17	95	False
44946	9	77	True
33344	8	103	False
27311	2	39	False
1542	2	21	False
755	1	9	False
37603	2	53	False
16068	5	61	True
1292	4	41	True
25194	12	51	True
6779	5	42	False
28584	5	53	False
24827	1	26	False
20131	5	58	True
35938	1	35	False
17449	1	13	False
23809	1	21	False
7087	2	26	False
39474	2	42	False
10113	1	27	False
22758	1	33	False
36688	1	24	False
5445	2	61	False
18940	3	45	False
1590	1	72	False
34607	1	17	True
5019	1	42	False
49698	1	35	False
25968	14	112	False
45840	5	88	False
35679	1	29	False
32109	2	20	False
9384	3	55	True
8923	2	30	False
45819	5	38	False
51458	1	37	True
40584	3	39	False
33770	1	35	False
33760	2	33	True
44955	18	64	True
32116	10	58	False
47688	1	22	False
11217	2	31	True
28803	4	36	False
1836	2	44	False
36729	1	31	False
51438	2	12	False
6860	1	31	False
27293	2	42	False
24559	9	63	True
25198	3	23	False
46313	2	26	False
30978	2	39	False
6153	4	25	True
35819	1	20	False
44089	1	14	False
36194	3	31	False
8213	8	75	False
39090	1	14	False
33326	5	42	False
3656	2	26	False
28338	3	41	False
25215	1	16	False
6019	2	17	False
20372	2	32	True
46318	3	50	True
21029	3	49	False
25970	20	61	False
30981	4	50	False
38317	2	32	True
51736	1	17	False
20406	1	23	False
36137	1	38	False
8210	3	33	False
32451	5	28	False
1569	1	11	False
42659	2	60	True
46762	3	24	True
48617	1	27	False
17362	1	24	False
28377	1	17	False
30518	6	45	True
28180	1	10	False
1105	1	28	False
16461	2	12	False
45401	3	20	False
370	2	40	False
33584	17	105	True
23529	1	15	False
6617	1	41	False
26329	3	42	False
22141	1	6	False
27457	1	20	False
44198	1	48	False
31708	1	24	False
41661	1	33	False
26392	2	44	False
20430	1	21	True
42544	1	16	False
33857	6	44	False
26904	7	66	False
47895	2	32	True
25656	1	18	False
35083	2	15	False
17532	1	7	False
4686	1	25	False
51755	1	20	False
31752	1	25	False
22649	1	20	True
33934	1	9	False
4601	5	23	False
27664	2	27	True
22780	1	14	True
23609	8	44	False
45415	3	15	False
28570	10	101	True
27294	3	19	False
50067	1	8	False
26926	1	19	False
25032	1	26	False
11228	4	31	True
9729	1	15	False
14913	3	47	False
746	4	32	False
21240	6	24	False
6005	7	57	True
6781	2	35	True
40176	4	34	False
36264	1	19	False
37227	3	26	False
50877	1	30	True
22324	2	14	True
45816	5	24	True
35662	1	26	False
22864	1	9	False
20723	2	14	False
49233	1	20	False
47636	14	52	True
19634	3	18	False
28575	4	30	True
4604	1	13	False
363	2	27	False
19185	1	20	False
12936	6	31	False
8229	1	31	False
4594	11	35	False
47698	1	11	False
10957	6	43	True
3686	2	18	False
41811	5	12	True
10429	1	13	False
17448	1	10	False
29342	1	5	False
33331	7	59	False
25661	1	17	False
45417	1	16	False
47415	6	28	True
20906	1	23	False
6616	2	27	True
43619	2	8	True
8791	3	32	False
41588	2	14	False
20887	11	64	True
13243	1	8	False
5131	1	27	False
47106	8	52	False
24459	3	56	False
17616	1	13	False
18798	1	33	False
26907	7	56	True
39751	1	25	False
13345	1	21	False
22440	1	16	False
6661	1	27	False
51420	5	32	False
15313	6	15	False
32114	2	11	False
1552	6	96	False
51028	1	10	False
50654	1	19	False
34475	1	21	False
5026	9	30	True
46758	3	25	False
28329	1	11	False
42163	3	22	False
28155	1	9	True
33589	4	21	True
46056	5	26	False
32115	1	19	False
33380	1	17	False
33849	21	70	True
25462	2	42	False
16069	7	26	True
21573	1	22	False
32834	1	29	False
33049	2	13	False
9926	1	8	False
19652	2	6	True
20721	10	24	True
31150	1	5	True
27660	5	21	True
33596	1	21	True
33330	5	20	False
37809	6	24	True
22339	9	38	False
5222	1	10	False
17853	1	21	False
34436	25	72	True
32609	17	70	True
13991	9	42	True
43143	2	25	True
7946	4	25	False
765	3	9	False
27056	4	10	True
46329	6	34	True
7600	1	33	False
6810	1	32	False
22160	1	13	True
23792	1	27	False
17641	1	38	False
7833	1	17	False
50025	14	66	True
47432	3	35	False
10063	6	40	True
1535	7	38	False
44053	1	12	False
9255	1	11	False
51903	2	21	False
46314	2	37	False
28844	2	33	True
34621	1	8	True
17443	4	26	False
1553	1	31	False
37810	1	10	False
13292	2	7	False
33862	7	53	False
31455	2	24	False
36094	1	18	False
28577	3	15	False
4615	2	12	False
49023	7	30	False
31753	5	7	False
29445	2	21	True
31284	10	56	True
38329	1	10	False
35675	1	11	False
