cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
20887	17	2001	True
28737	1	3094	False
15605	7	597	False
30320	1	517	False
15114	11	373	False
44625	16	583	False
29443	21	334	True
42520	3	396	False
36394	3	518	False
7626	3	368	True
23705	1	201	False
4612	19	196	False
51231	5	130	False
50875	2	285	False
39683	2	261	True
25974	4	225	False
50884	18	177	True
20881	16	219	False
43087	1	304	False
4605	8	162	False
3907	3	127	False
39750	1	101	False
7983	1	111	False
40010	1	213	False
22764	13	201	False
5020	4	142	False
47415	16	144	True
50028	32	179	False
26598	15	175	False
36380	44	254	True
6376	2	100	False
10954	15	71	True
47077	1	137	False
13290	8	81	False
50898	11	149	True
42933	5	122	False
1568	16	153	True
4601	13	145	False
5991	1	99	False
8204	25	218	True
38515	7	95	True
33341	5	91	False
31749	20	96	False
9215	9	72	False
38321	6	71	True
31145	3	48	False
34593	12	64	True
28816	8	103	False
21585	3	65	False
35680	12	144	True
44955	39	165	True
14505	1	47	False
18033	1	43	False
46908	6	62	False
28448	1	81	False
4602	4	45	False
42684	4	125	False
43858	5	96	False
50030	10	71	True
30056	3	49	False
21345	1	73	False
28653	1	54	False
3928	2	170	False
23595	11	73	True
35666	11	72	False
28577	8	267	False
6167	4	51	False
39490	2	45	False
26172	2	41	False
44112	1	37	False
11472	12	107	False
14929	3	83	False
22163	3	22	False
17035	2	33	False
28109	4	53	True
39560	1	23	False
5866	4	72	False
7424	1	70	False
34436	72	307	True
25973	5	81	False
4607	1	27	False
11094	1	36	False
1986	3	26	False
30275	5	44	True
25970	42	168	False
25200	18	88	True
1998	1	33	False
17833	3	49	False
1841	3	70	False
5302	1	28	False
6205	3	32	False
37805	48	212	True
18992	1	34	False
39967	6	33	False
17606	6	72	False
43403	1	29	False
52255	6	43	False
42522	3	34	True
30788	2	55	False
1621	1	26	False
26599	30	144	True
19642	3	28	False
13648	2	38	False
6030	1	79	False
18776	12	83	False
35736	3	22	False
28340	14	50	True
8237	9	60	False
20730	2	27	False
24558	23	59	True
50670	6	90	False
42533	8	66	False
18790	8	49	False
22324	5	21	True
1356	1	31	False
35830	1	17	False
51346	1	24	False
5649	1	32	False
48795	2	50	False
32609	33	133	True
15610	4	48	False
27489	1	48	False
15726	4	52	False
38621	1	21	False
22780	6	19	True
5165	4	91	False
2247	1	55	False
44950	17	42	True
34098	2	22	False
5449	6	69	True
41551	32	184	True
12962	3	41	False
1522	21	71	False
746	14	55	False
27050	23	84	False
18035	10	29	False
6378	3	31	False
22643	29	98	True
31154	4	25	False
28629	1	29	False
36190	3	36	True
7099	10	65	False
27248	1	27	False
17029	2	36	False
10695	2	28	False
36035	2	85	False
40422	2	96	False
3919	2	35	False
27123	26	118	True
1613	3	22	False
37944	1	32	False
22492	1	36	False
13539	2	29	False
50878	28	93	False
39112	1	18	False
23594	5	43	True
34445	18	58	True
3359	2	27	False
37815	11	58	False
18764	36	106	True
29441	16	60	False
32117	8	28	False
38383	1	18	False
42932	39	119	True
26764	5	25	False
28840	2	14	False
43563	5	34	True
50430	8	33	False
32611	8	33	True
47921	2	45	False
41356	2	29	False
47848	1	26	False
29597	13	69	False
32465	2	34	False
37814	6	24	False
18769	9	53	True
22639	5	36	False
7087	3	32	False
22164	1	17	False
6156	13	44	True
12935	4	40	False
12937	31	123	True
9863	11	128	False
15139	12	70	False
42927	4	54	True
25644	20	79	True
34619	1	28	False
22326	2	15	False
46451	1	21	False
17153	1	26	False
23593	10	65	True
28863	2	44	False
24475	4	31	False
20735	3	30	True
11352	1	24	False
28618	6	66	True
23604	8	71	False
34425	4	45	False
50893	8	26	False
44958	13	51	False
21254	5	22	True
6009	7	41	True
4882	1	49	False
42174	2	17	False
16632	4	36	True
42928	11	60	True
48498	1	44	False
18246	5	38	False
41835	3	12	False
3780	1	41	False
3703	1	30	False
26943	3	23	False
24583	5	16	False
20925	38	133	False
4435	15	42	False
35667	15	53	False
51740	3	56	True
37901	11	42	True
31031	2	25	False
44419	1	34	False
39085	8	79	False
34435	9	37	False
26912	7	60	True
734	22	83	False
27672	7	19	False
51228	1	11	False
5560	1	21	False
1302	9	46	True
15327	10	18	False
20901	11	20	True
42018	2	35	False
26740	3	26	False
51243	4	14	False
13126	3	16	True
31451	9	52	True
43937	1	16	False
28612	3	29	False
7528	24	123	True
16254	1	30	False
23592	34	119	False
3670	3	36	False
4673	1	21	False
31737	15	34	False
16086	1	15	False
34216	1	18	False
44966	5	32	True
50579	1	20	False
25461	3	21	False
7526	14	49	True
40198	2	27	True
35653	9	27	False
7109	5	16	False
20888	15	86	False
34441	11	62	True
26603	5	47	False
31292	23	86	True
10431	1	21	False
34497	4	12	False
950	5	53	False
23630	1	21	False
27460	12	70	True
51215	7	56	True
24221	2	17	False
41010	1	16	True
18025	2	14	False
4054	7	43	False
5799	14	51	True
46471	1	24	False
1297	4	32	False
13736	1	6	False
25196	7	64	False
25270	3	34	False
39096	3	36	True
22648	11	34	True
15594	13	43	True
16702	1	13	False
31753	3	6	False
39972	11	47	True
15958	1	38	False
40583	3	14	False
44946	43	138	True
6044	4	78	False
25648	4	25	False
1530	12	47	True
51733	4	40	True
22338	2	9	False
29242	3	39	True
