cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
41559	1	962	False
8226	2	722	True
30971	4	2281	False
26900	6	821	True
33327	1	332	False
50872	1	173	False
51726	2	455	True
31723	6	428	False
4608	3	730	False
44057	3	334	True
31716	12	485	False
32103	6	214	False
28595	1	411	False
27663	2	377	False
20896	3	172	True
32102	13	344	False
33081	1	198	False
8700	2	233	False
8081	1	133	False
2910	2	90	False
20141	1	244	False
9514	2	261	False
33332	5	343	False
27683	2	219	False
35117	1	303	False
20722	3	122	True
16429	1	226	False
8212	8	438	True
32108	12	302	False
10432	1	214	True
41692	1	75	False
2915	1	61	False
1339	1	113	True
26004	1	99	False
51428	1	109	False
42168	1	96	False
31749	3	125	False
31741	10	155	False
42932	5	127	True
20582	1	185	False
33410	1	50	False
28566	6	201	False
50650	1	98	False
742	1	143	False
6785	2	192	False
33481	1	50	False
34650	2	120	False
35320	1	91	False
50028	9	232	False
6223	1	255	False
7505	1	105	False
36191	3	85	True
14204	1	155	False
28574	2	159	False
20381	4	58	False
13120	1	103	False
31717	4	158	False
15145	1	99	False
39688	1	140	False
23498	7	164	True
6160	1	92	False
6761	4	98	True
48172	2	33	True
14711	2	123	False
25276	1	67	True
33601	3	69	True
49027	7	82	True
42977	1	77	False
46818	1	59	False
43543	1	93	False
36383	6	105	False
8206	6	137	True
12934	2	56	False
13991	4	286	True
33589	2	92	True
26726	2	84	True
30560	1	122	False
32290	3	124	False
1526	5	101	False
23967	2	141	False
1033	1	56	False
751	2	90	True
24559	4	66	True
30289	1	82	False
39965	10	191	True
36919	1	56	False
51216	1	38	False
20895	1	58	True
11092	1	39	False
31152	1	60	False
38687	1	66	False
26154	2	62	False
34625	1	67	True
2900	1	22	False
3676	1	51	False
12936	4	101	False
34221	1	58	False
15911	1	57	False
40227	1	53	False
39477	5	32	False
13610	1	24	False
33849	7	42	True
42510	4	77	True
18863	1	22	False
9553	1	74	False
19201	1	96	False
27883	2	34	False
23592	7	96	False
1585	1	43	False
12938	2	113	False
2340	1	73	False
22329	2	37	False
15118	3	73	False
10100	1	43	False
21264	2	20	True
20721	3	35	True
50898	1	52	True
14013	2	40	False
2706	2	50	False
29252	6	58	True
29441	4	58	False
15597	2	29	False
37911	1	79	False
47641	3	42	True
38317	5	37	True
32622	1	41	False
1521	3	35	False
28640	1	39	False
50025	10	62	True
5813	4	56	True
2185	8	79	True
35336	2	29	False
49418	1	40	False
22763	3	27	True
23814	1	50	True
30796	2	31	False
52221	2	44	False
23972	1	32	True
29768	2	24	False
28647	1	38	False
50043	1	12	False
20925	7	65	False
16117	1	34	False
41811	3	20	True
13809	3	39	False
20392	1	16	False
7797	4	43	True
32756	1	47	False
7413	1	49	False
41551	5	45	True
31735	1	38	False
32615	1	9	True
17623	1	23	False
31718	8	46	False
51251	2	43	False
31726	4	17	False
41346	2	61	True
16444	1	26	False
34600	4	78	True
1570	3	32	True
10955	2	54	False
28570	3	42	True
7587	1	33	False
51737	1	11	False
48583	2	53	False
42612	1	33	False
44953	4	32	True
34624	1	22	False
28626	2	60	True
23504	1	30	False
25977	2	20	False
8324	1	19	False
50016	1	10	False
47636	4	41	True
18765	6	40	True
12873	2	35	False
16647	1	35	False
48186	1	12	False
6155	2	27	True
45816	2	28	True
2320	1	27	True
6214	1	15	False
12937	4	38	True
43570	2	46	False
39422	1	17	False
4675	1	13	False
27915	2	37	False
21269	1	23	False
25643	10	47	False
51707	1	22	False
46751	3	36	False
