cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
29268	1	2421	False
10411	2	1868	True
36201	6	703	True
31138	2	538	True
20891	15	634	True
41826	1	195	False
26381	6	301	True
8205	19	541	True
24459	8	350	False
783	5	233	True
11473	2	226	False
44625	10	258	False
8705	2	204	False
29247	10	166	True
22590	1	281	False
41553	9	174	True
32637	1	258	False
12464	3	406	False
6166	2	148	False
35688	3	281	True
7949	2	119	False
25665	2	62	False
6182	1	115	True
40447	1	120	False
17488	2	89	False
37607	2	102	False
52025	3	132	False
20889	1	79	True
44956	2	51	False
25986	2	51	False
35667	6	75	False
1346	2	96	True
32292	2	145	False
29087	2	83	False
10403	6	78	False
30975	11	69	True
47941	3	123	False
52223	4	176	False
45417	1	89	False
47125	2	165	False
33589	6	67	True
17063	2	156	False
10649	1	33	False
46593	1	70	False
8204	12	65	True
16637	1	126	False
23772	10	119	True
4625	6	63	False
27455	3	133	False
2947	1	17	False
15290	4	82	True
25978	2	16	False
45408	1	56	False
28353	1	63	False
27691	3	57	False
46028	2	48	False
33861	8	58	False
33853	5	42	False
4612	4	76	False
26737	7	85	False
15115	1	79	False
36917	1	64	False
39985	3	41	False
17035	4	28	False
13138	1	58	True
12657	1	71	False
52214	6	80	False
41853	3	17	False
9869	4	51	False
20895	4	42	True
26683	1	27	False
33337	7	38	False
31837	1	73	False
39964	15	76	True
17534	1	40	False
1576	8	47	True
20886	9	66	True
41581	2	35	True
28869	1	55	False
44065	7	53	True
2323	4	59	True
44970	1	30	False
39887	1	40	False
29445	6	67	True
1355	1	34	False
8707	1	77	False
49154	2	36	False
37906	2	35	False
44201	2	66	False
26904	13	50	False
42925	14	85	True
1962	3	50	False
15586	12	71	True
6012	3	38	True
9863	7	46	False
6762	5	51	False
5842	1	27	False
27285	1	47	True
39993	1	30	False
11230	1	21	False
19866	8	66	False
27286	11	83	True
10642	6	76	False
31723	31	92	False
12970	1	20	True
26019	1	25	False
30776	4	29	False
11481	1	51	False
44056	3	35	True
10538	5	55	False
51215	8	32	True
40017	1	17	False
26620	2	67	False
4621	2	17	False
5700	1	13	False
23805	1	18	False
22640	5	61	True
34426	17	69	True
50028	18	67	False
33334	4	27	False
26903	9	40	True
44072	1	26	False
34432	9	36	True
18554	3	41	True
36380	11	62	True
26586	5	23	False
41667	1	28	False
9542	2	38	False
36215	1	16	False
44627	9	33	False
27127	12	47	False
18816	2	27	False
5459	3	57	False
4596	7	32	False
27133	10	41	False
50921	1	4	False
40211	1	34	False
1808	4	34	False
7796	9	36	False
47415	12	58	True
18937	2	33	False
35660	3	34	False
28341	12	51	True
35986	1	44	False
4606	4	54	False
27142	2	11	False
23767	4	27	True
1521	8	33	False
33344	8	26	False
27459	4	46	True
801	1	11	False
8209	17	66	False
22142	1	6	False
43568	1	25	False
9715	3	12	False
4600	5	35	False
5646	3	18	False
46752	4	48	False
7827	5	19	False
41835	1	12	False
22695	1	25	False
4428	15	40	True
41808	4	8	False
46101	1	19	False
22167	1	11	False
34625	4	41	True
2502	5	51	False
39122	1	20	False
30753	1	31	False
28815	3	39	False
26599	14	60	True
49648	1	24	False
41827	3	13	False
31443	1	16	True
10422	2	58	False
46598	1	27	False
15299	5	36	True
9409	1	18	False
31799	3	12	False
35365	1	20	False
5764	1	19	False
32495	1	12	False
47884	1	20	False
36194	5	29	False
32515	2	35	True
32817	1	25	False
28570	7	47	True
25977	4	17	False
5892	1	10	False
1593	3	13	True
51239	11	30	True
27047	3	12	True
30544	1	30	False
38686	7	38	False
18575	1	9	False
1293	2	15	False
51249	1	11	False
31441	2	14	False
42960	5	13	True
7527	6	26	True
25323	1	13	False
40002	3	29	True
1570	6	24	True
46910	3	37	False
26593	2	12	False
27044	15	41	False
29469	1	28	False
12122	1	18	False
7557	4	17	False
16424	2	4	True
14905	6	41	False
22155	2	5	False
28876	1	31	False
51725	5	20	True
19628	10	39	True
5799	11	80	True
30752	2	20	False
30458	1	30	False
6164	2	38	False
22641	3	19	False
15809	1	32	False
18943	1	16	False
38693	2	26	False
9154	1	31	False
18266	1	24	False
38322	6	20	True
30759	5	31	False
47111	10	47	False
43584	1	16	False
4447	4	20	False
51251	4	12	False
