cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
13997	2	275	False
15139	2	275	False
18871	1	156	False
50026	2	587	True
44959	4	249	True
26909	3	234	True
28339	2	126	False
31145	2	88	False
2897	1	69	False
32901	1	78	False
31775	2	87	False
27456	3	85	False
34602	1	83	True
49877	1	118	False
34908	2	37	False
50878	4	109	False
50491	1	95	False
19673	2	110	True
20888	6	80	False
49028	4	61	True
31726	7	63	False
29441	5	82	False
34267	1	56	False
32164	1	19	False
27460	3	49	True
26151	3	42	False
26904	6	143	False
23609	3	60	False
17033	4	41	True
44072	1	30	False
18776	1	45	False
27935	2	58	True
33336	2	35	False
18337	2	27	False
26744	5	53	False
17605	3	45	True
20725	5	49	False
35083	2	49	False
52238	1	43	False
34592	2	28	True
5025	3	47	False
4854	3	36	False
2934	1	8	False
10632	1	29	False
33765	3	40	False
50900	1	12	False
34437	6	38	False
32108	7	43	False
26187	1	51	False
26600	4	44	False
1971	1	34	True
44064	6	41	True
27470	2	28	False
31778	2	25	False
20726	1	32	False
29600	1	27	True
31440	4	28	True
23774	4	34	True
31199	1	20	False
30778	7	37	True
33769	2	36	False
5021	2	25	False
19652	1	26	True
31753	5	11	False
22769	3	16	True
23790	2	29	False
22641	3	20	False
24460	2	34	False
36974	1	33	False
2912	2	13	True
1640	2	31	False
22319	1	39	True
32621	1	36	False
23500	2	22	True
51228	1	15	False
25238	1	32	True
32293	1	18	False
1560	2	19	False
36694	2	9	False
9391	4	26	False
42485	5	34	True
4621	2	6	False
15670	1	20	False
27458	1	18	True
24702	1	15	False
4593	2	21	False
25969	1	11	False
44949	3	12	True
23778	2	39	False
48372	2	13	False
27133	2	28	False
33760	3	25	True
25202	3	38	True
26727	1	19	True
43762	1	13	False
25984	2	10	False
4069	1	6	False
16469	1	18	False
9384	1	20	True
27466	1	14	True
44052	1	21	True
4876	1	17	False
1579	1	14	False
28109	3	13	True
26734	1	11	False
36698	2	22	False
39973	1	13	False
39882	1	13	False
41385	1	14	False
42206	1	19	False
40993	3	24	True
20891	2	23	True
34	1	20	False
15738	2	9	False
26903	2	41	True
31723	20	48	False
37908	1	16	False
13336	1	13	False
33337	4	26	False
25646	4	20	True
28578	2	16	False
27661	1	5	True
2327	2	19	False
12935	1	9	False
22512	3	20	False
19886	2	20	False
32614	2	22	True
30989	2	17	True
18522	1	8	False
34426	6	27	True
39048	1	25	False
39998	3	24	False
42934	3	21	False
1818	2	11	False
14941	1	12	False
33854	4	17	True
41136	1	6	False
13808	1	34	True
