cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
48184	3	1572	False
21556	1	3081	False
44988	1	3005	False
27466	2	1864	True
30757	1	1280	False
39677	2	1458	False
1438	1	728	False
51214	7	1456	True
39326	1	726	False
23497	9	671	True
33334	2	267	False
20887	19	790	True
25970	9	856	False
25261	2	1194	False
3876	9	728	True
3868	5	590	False
32291	3	176	False
42222	1	435	False
27042	15	770	True
47645	1	735	False
48419	2	766	False
22818	2	229	False
19866	5	381	False
34442	1	301	False
27301	3	433	False
31296	7	316	True
49981	1	303	False
5027	6	410	True
10403	5	365	False
34995	1	248	False
37815	2	220	False
30996	2	229	False
30815	2	274	False
44638	2	237	False
27468	3	299	False
29441	7	287	False
9224	2	192	False
50030	10	362	True
46151	1	183	False
31723	38	330	False
22408	1	209	False
49824	2	64	False
27463	3	277	False
31437	1	211	False
43161	2	222	False
12749	2	258	True
44331	1	256	False
35644	2	243	False
26909	5	276	True
22639	2	327	False
31882	1	134	False
31137	9	449	False
1650	1	187	False
20891	17	261	True
12938	7	169	False
36211	3	161	False
2924	2	74	False
44946	12	155	True
17073	3	127	False
51757	2	133	True
35690	1	222	False
7605	1	119	True
796	1	163	False
9893	2	172	False
9215	3	195	False
9105	1	248	False
33908	1	119	False
1803	8	426	True
1522	10	215	False
494	2	204	False
1540	4	204	False
1620	2	122	False
7799	11	275	True
44056	2	98	True
24459	3	49	False
359	6	186	False
18775	5	110	True
26268	1	353	False
32276	1	101	False
47415	7	146	True
24457	6	126	False
43744	1	165	False
3676	2	142	False
19284	1	135	False
51251	9	129	False
31540	3	207	False
6754	1	79	False
28656	2	135	False
26905	6	105	False
34450	2	161	False
16662	1	236	False
33763	2	96	True
28617	1	156	True
1664	1	93	False
28634	2	89	True
6365	3	122	False
31288	6	119	True
4640	1	139	False
32103	17	164	False
31003	1	102	False
7808	2	137	False
21069	2	176	False
7096	2	60	False
19346	1	90	False
25645	6	146	True
27123	7	201	True
51795	2	186	False
1530	7	152	True
43145	8	183	False
42174	3	103	False
8213	5	113	False
42938	1	70	False
17038	1	70	False
22780	7	81	True
51733	2	260	True
43560	1	81	False
26904	14	117	False
1645	2	67	False
27486	1	41	False
25643	15	167	False
33347	1	72	False
40189	4	121	False
27204	1	66	False
24250	3	81	False
52294	1	134	False
24232	4	145	False
31770	1	51	False
12968	1	74	False
28099	1	83	True
46788	1	44	False
29785	2	56	False
34612	1	44	False
8208	3	123	False
17087	1	67	False
22135	1	23	False
41553	8	89	True
11015	1	26	False
7850	1	95	False
34637	2	83	True
31753	3	30	False
41811	4	42	True
20755	1	49	False
39069	1	67	False
1576	4	73	True
5442	2	69	True
46762	3	67	True
33848	4	27	False
48195	1	19	False
17040	2	63	False
6611	2	62	False
30822	1	70	False
46182	1	60	False
491	4	65	False
4428	18	93	True
14365	1	56	False
33907	2	46	False
22507	5	66	True
49023	10	204	False
52251	4	99	False
1532	7	117	True
3341	3	89	False
18947	4	105	False
5800	4	98	False
8191	2	38	False
5799	6	97	True
31736	2	105	False
4443	2	67	False
17075	2	35	True
12122	1	57	False
1310	11	129	True
22377	1	84	False
39475	6	77	True
48188	1	13	True
39091	2	47	False
22344	2	37	True
19207	1	59	False
743	15	83	False
47132	4	54	True
1535	5	89	False
35723	1	42	False
52233	1	152	False
39085	6	63	False
44962	6	64	True
22775	5	39	True
22268	1	12	False
44190	1	65	False
10792	1	72	False
31749	1	19	False
7959	2	66	False
20880	9	112	True
27059	1	22	False
45170	1	73	False
26912	7	49	True
9384	7	137	True
5028	8	60	False
4657	1	24	False
8722	5	101	False
20908	2	127	False
21152	2	61	False
16426	1	54	False
38830	1	49	False
35064	3	44	False
26594	6	60	False
4604	1	66	False
37805	18	153	True
44627	11	74	False
38709	1	50	False
11471	3	44	True
1851	1	40	False
1300	7	48	False
51239	4	27	True
7084	10	67	False
47895	2	34	True
51213	4	94	True
9211	6	37	False
43547	3	56	True
20896	4	40	True
26381	8	116	True
41571	5	87	False
37254	1	50	False
33337	5	56	False
368	2	101	False
17824	2	48	False
1331	3	45	True
47635	7	70	False
18263	1	54	False
25969	1	36	False
34257	1	53	False
25986	1	20	False
25976	4	39	False
39949	1	48	False
16422	7	113	False
49825	1	60	False
33325	5	33	False
18955	1	23	False
27426	1	116	False
14951	1	39	False
34631	1	61	False
30983	1	47	False
31298	8	63	False
48186	3	18	False
35679	2	35	False
3878	3	31	False
41807	6	23	False
18764	11	145	True
25200	12	129	True
50880	2	25	False
16424	3	18	True
774	4	26	True
47128	2	69	False
50028	11	73	False
41835	2	19	False
40246	1	34	False
38317	3	36	True
47898	2	47	True
31716	10	127	False
16418	6	37	True
27340	1	59	False
28798	1	34	False
43555	1	58	False
9907	1	33	False
21936	2	41	False
10075	2	25	True
29596	5	38	True
13862	1	44	False
50878	12	90	False
1555	2	41	False
42488	6	27	False
11222	1	33	True
23807	4	39	False
35824	1	34	False
17427	3	32	False
36387	2	32	False
47723	2	105	False
22642	5	86	True
22342	1	20	True
44045	10	56	True
3356	1	38	False
