cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
41813	5	614	False
42522	1	526	True
22139	1	375	False
24221	3	617	False
31159	5	541	True
34598	12	488	False
20891	20	212	True
25212	10	598	True
5175	7	300	False
48584	17	218	True
9088	1	146	True
29772	7	325	True
39088	3	185	False
32102	27	222	False
15826	1	552	False
42960	4	281	True
33339	13	130	False
50884	4	198	True
35953	1	255	False
31737	5	90	False
10354	1	184	False
35653	6	160	False
18867	1	98	False
8716	1	141	False
8738	1	106	False
51239	8	105	True
23806	1	119	False
24473	1	146	False
50917	1	49	False
22764	8	91	False
13994	1	135	False
51215	4	163	True
11966	1	145	False
17894	1	39	False
31723	48	305	False
43148	10	141	True
25971	5	46	False
39320	9	105	True
4625	6	99	False
50030	6	120	True
25644	7	132	True
40989	10	161	True
19237	1	95	False
20179	1	57	False
42926	30	188	True
9241	1	80	False
20887	17	263	True
30758	3	76	False
39725	2	61	False
34904	1	74	False
32107	8	86	False
30291	1	38	True
14453	1	42	False
26725	2	60	True
33617	1	66	False
22539	3	57	False
8541	10	69	True
41032	1	68	False
41343	1	47	True
44635	1	58	False
21031	4	79	True
50039	1	38	False
9379	6	82	False
2182	8	68	True
14310	1	29	False
33352	3	91	False
47956	1	69	False
10950	6	89	True
42488	5	60	False
802	3	55	True
33625	5	48	False
26904	16	184	False
32127	1	35	False
39660	5	32	False
31137	15	143	False
31509	1	53	False
29124	2	44	False
741	1	18	False
21029	7	84	False
25452	2	48	False
31726	12	91	False
10417	2	60	True
31430	11	71	True
36596	1	49	False
41680	1	40	False
2494	3	50	True
44046	20	173	False
31451	11	63	True
37589	3	47	False
24476	3	47	False
17830	3	49	True
50861	4	42	False
31147	4	91	False
31929	1	23	False
34426	19	135	True
1532	7	96	True
11696	2	67	False
36380	27	115	True
27925	2	62	False
11685	2	38	True
37560	1	73	False
9384	7	75	True
29243	12	68	False
23497	10	144	True
46906	26	83	True
15495	1	32	False
33042	2	38	True
26929	1	118	False
1577	6	41	True
14919	4	63	False
38338	3	29	True
2991	2	41	False
10954	15	65	True
51221	6	56	False
1568	5	44	True
36620	2	45	False
858	1	31	False
10970	1	33	True
44625	10	92	False
25635	1	23	False
35058	9	40	True
27477	4	64	False
10064	7	47	False
44064	11	46	True
33347	2	28	False
45119	1	30	True
49209	3	14	False
45122	3	31	False
33330	10	119	False
5745	1	28	False
22729	1	29	False
50675	2	65	False
2896	1	15	False
50025	18	71	True
10060	6	46	False
42924	10	61	True
51762	1	36	False
41811	9	26	True
50914	1	24	False
13118	13	66	True
44634	7	49	True
27490	3	32	False
36212	1	26	False
23627	4	17	False
34605	2	50	False
6005	4	48	True
23645	1	28	False
16586	1	13	False
40217	1	30	False
23498	22	75	True
23503	8	66	True
28538	1	25	False
52216	8	53	False
31234	1	20	False
30280	10	81	True
10066	4	52	True
24456	15	72	False
29631	1	23	False
8212	18	76	True
5810	1	39	False
16419	7	57	True
42110	1	25	False
49028	6	41	True
14941	2	32	False
27294	1	33	False
3867	1	17	False
19866	13	60	False
27141	4	38	False
26771	1	41	False
6646	1	71	False
1820	4	47	False
5496	1	69	False
16073	7	36	True
360	2	83	False
31716	31	171	False
23501	11	119	True
7530	2	15	True
37574	2	84	False
28107	4	53	True
31280	13	32	True
37588	9	31	True
27736	1	25	False
20644	1	34	False
23594	4	65	True
25200	12	63	True
22313	11	43	True
13577	1	13	False
19982	1	19	False
25643	21	67	False
22652	3	32	False
13820	2	27	False
30979	6	41	True
44217	4	86	False
38683	5	29	False
44290	1	27	False
9152	2	20	False
22312	5	26	False
1310	7	20	True
34436	29	114	True
50864	8	56	True
36189	3	53	True
31718	20	106	False
33345	8	97	False
582	1	10	False
30276	5	81	False
13290	5	26	False
8720	3	19	False
44070	6	24	False
38516	3	24	True
7580	1	55	False
4847	7	43	False
43143	10	49	True
12122	3	22	False
15151	2	26	False
39131	1	19	False
10957	13	41	True
10657	1	21	False
41573	2	18	True
4661	1	38	False
39655	5	24	False
22789	1	21	False
22648	9	33	True
11216	2	27	False
7957	4	28	True
18765	15	126	True
41165	4	23	True
20730	1	29	False
32103	24	79	False
27042	20	69	True
42012	12	106	False
13602	2	16	False
16089	5	22	False
18569	2	12	False
44956	3	11	False
746	9	30	False
40187	1	36	False
22327	7	28	True
13818	1	42	False
35651	9	56	False
10503	1	26	False
9207	7	48	True
28332	1	9	False
29450	2	18	False
32115	8	27	False
3304	2	18	False
35647	4	20	False
36315	1	21	False
44057	8	23	True
6156	7	55	True
4612	10	36	False
10424	1	9	False
6762	5	43	False
34611	4	24	False
33584	19	51	True
21045	4	26	False
48178	1	20	False
1803	3	15	True
98	12	60	False
50301	1	56	False
110	3	24	False
34110	2	26	False
44221	6	39	False
25510	2	18	False
20889	2	25	True
41596	3	15	False
21275	1	15	False
16068	21	56	True
20744	2	20	True
20880	12	39	True
22760	14	52	True
33047	1	20	False
20130	7	70	False
31292	16	63	True
42753	2	27	False
39965	19	71	True
22514	6	22	True
15591	7	38	False
363	5	22	False
18767	4	18	False
35652	3	34	True
21563	2	19	False
18787	6	32	True
37225	3	14	True
51218	1	8	False
39328	2	28	False
27937	3	14	False
7937	1	18	False
18766	4	23	False
39874	1	4	False
3956	1	11	False
44949	18	70	True
50066	2	10	False
40204	4	14	False
51733	2	13	True
778	6	17	False
9514	8	56	False
5026	28	86	True
50172	3	13	False
23965	2	124	False
30751	3	22	True
31285	5	18	False
44328	1	17	False
29245	11	52	True
32108	14	56	False
29810	1	40	False
9352	1	10	False
5193	1	24	False
15308	4	40	False
34432	10	59	True
41432	2	19	False
30303	1	12	False
8708	1	9	False
33335	8	42	False
17260	1	16	False
16440	6	19	True
33854	11	33	True
25968	24	92	False
46033	4	17	False
5620	8	30	True
6241	2	14	False
20740	2	40	False
33586	11	30	True
43145	11	37	False
11054	1	4	False
42972	1	11	True
9870	2	28	False
40978	22	115	False
17423	11	61	False
14894	1	13	False
21260	1	32	False
33851	13	40	True
31756	11	28	False
16422	13	33	False
50726	1	14	False
3876	11	46	True
9622	1	15	False
34106	6	36	False
26909	11	69	True
749	3	14	False
1549	1	21	False
47415	8	30	True
27659	6	37	True
28795	4	49	False
32112	10	39	False
14341	1	21	False
7948	3	42	True
26594	7	30	False
20550	7	15	True
30982	4	59	False
33889	1	10	False
23808	2	14	False
3942	1	16	False
33822	1	14	False
15763	1	17	False
39501	5	21	False
33378	2	22	False
30755	1	17	False
7084	11	64	False
27915	11	31	False
6153	2	43	True
39724	1	20	False
3883	2	11	False
5827	2	9	False
19327	9	39	False
6624	3	15	False
48587	9	32	True
34268	4	19	True
33622	5	74	False
23962	8	42	True
8215	2	19	False
35716	1	41	False
23813	1	10	False
18571	1	20	False
25975	5	22	False
40987	8	34	True
41823	1	6	False
31810	2	10	False
32814	3	7	False
17829	5	18	False
30089	1	29	False
23803	2	9	False
39643	7	20	True
743	11	103	False
42853	2	38	False
23592	31	91	False
42492	11	47	True
24227	1	15	False
24028	1	13	False
11681	4	21	False
34097	4	14	True
43165	1	52	False
25977	2	19	False
32113	2	7	False
28099	6	22	True
6187	4	45	False
42511	2	10	True
39731	1	11	False
39755	2	9	False
8398	3	15	False
28341	5	10	True
6945	2	25	False
11948	4	23	False
17470	1	19	False
15291	3	37	True
114	3	11	False
42932	21	43	True
33336	2	11	False
16260	2	8	False
7940	2	12	False
20552	4	26	True
42684	2	43	False
7596	5	15	False
1301	3	10	False
516	3	16	False
16657	6	54	True
31758	4	8	False
5326	1	8	False
37480	1	17	False
23612	1	4	False
29439	15	53	True
49023	10	30	False
49825	3	27	False
50432	1	12	False
6610	2	8	False
39069	1	13	False
36381	4	32	False
7562	3	19	False
5019	1	13	False
9049	1	18	False
17637	1	12	False
3658	4	13	True
51228	1	4	False
36977	1	7	False
40985	2	8	True
39480	5	30	True
28373	4	20	True
51227	6	26	True
30282	12	55	True
34264	4	23	True
6157	6	34	True
42943	27	73	False
14244	1	14	False
35080	2	11	False
13207	1	21	False
11464	10	27	False
50037	5	18	True
29080	2	13	False
32460	2	13	False
20741	3	13	True
11013	1	10	False
20633	1	18	False
48596	4	12	False
28563	11	45	True
21555	1	18	False
16418	9	49	True
33612	6	20	False
28371	1	11	False
38363	1	13	False
34433	4	15	False
20881	17	42	False
34099	3	19	False
30532	1	15	False
5447	1	9	True
30519	3	13	False
36118	1	7	False
26390	2	17	False
15606	4	10	True
23613	2	33	False
34601	7	22	False
11506	2	9	False
18980	1	13	False
36393	2	8	False
6438	1	24	False
16100	5	24	True
34266	4	24	True
3895	3	11	True
6015	3	86	False
50026	3	29	True
25970	15	52	False
9519	5	17	False
39108	1	10	False
16071	2	28	False
30528	3	24	False
28599	1	10	False
20721	12	58	True
4009	1	3	False
24370	1	15	False
5469	3	29	True
39753	1	26	False
21026	1	5	False
25715	1	7	False
25230	2	16	False
27048	7	11	True
37108	1	12	False
39993	2	17	False
40616	1	9	False
27131	4	32	False
33864	3	21	False
37908	2	14	False
22320	3	9	True
36208	1	8	True
13586	2	5	False
41551	15	25	True
48594	1	18	False
14001	1	9	False
33332	6	13	False
50881	1	10	False
25973	2	5	False
37817	6	11	True
7108	3	21	False
31578	1	6	False
43029	1	3	False
9559	1	10	False
11694	4	16	False
48191	2	6	False
541	1	32	False
28815	8	28	False
13075	1	6	False
25646	5	12	True
4876	2	10	False
27535	1	7	False
35700	1	12	False
26901	5	15	False
37821	1	25	False
20892	7	20	True
20886	12	35	True
740	9	17	True
16077	4	30	False
15304	4	14	False
28239	1	17	False
21247	1	17	False
12943	6	25	True
37273	1	17	False
7799	15	39	True
51251	3	18	False
49029	6	27	True
28835	1	17	False
49493	1	5	False
26903	4	57	True
18763	3	14	True
42993	1	6	True
736	8	31	False
29767	4	19	False
25253	1	37	False
22934	1	17	False
15587	4	29	True
30463	1	8	False
43556	4	30	False
40199	2	23	False
25982	1	4	False
46034	1	10	False
47434	3	9	True
28575	5	28	True
28566	13	42	False
9380	1	18	False
31284	16	48	True
35169	1	23	False
4848	2	9	False
43535	5	25	False
1550	4	16	False
35655	4	7	False
39650	7	22	False
51214	3	21	True
27660	7	31	True
8251	4	12	False
21933	2	10	False
28576	11	25	True
40423	1	8	False
47419	1	8	False
13621	2	14	False
14245	1	8	False
35709	1	8	True
25475	3	36	False
31714	4	50	False
20064	2	7	False
48782	9	32	True
44842	1	12	False
37410	2	19	False
6009	9	27	True
34592	8	15	True
27163	2	7	True
13991	5	23	True
22314	5	18	False
38109	1	4	False
18775	9	32	True
18760	3	34	False
1294	5	55	True
10403	3	18	False
25206	6	34	False
2327	14	43	False
26910	4	20	False
51807	1	4	False
36196	6	32	True
36194	6	19	False
8216	3	17	False
31730	13	88	False
45037	1	6	False
31495	1	32	False
4593	10	24	False
496	2	27	False
33035	1	12	False
6240	1	7	False
42969	1	9	False
20911	1	7	False
14527	1	16	False
22906	4	14	False
24558	15	45	True
30279	5	15	True
31751	6	13	False
6028	2	12	True
28823	4	36	False
15200	1	6	False
3772	1	20	False
50707	1	10	False
26792	1	6	False
28489	1	10	False
27912	7	15	True
50450	1	22	False
2740	4	21	True
