cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
8204	2	509	True
774	2	238	True
34434	2	256	True
20742	2	160	True
375	1	112	False
22766	2	110	True
51824	1	76	False
1801	2	162	True
20367	4	87	True
1364	1	88	False
37911	3	70	False
27714	3	88	False
7119	1	70	False
50437	1	106	False
47131	2	127	False
27377	1	57	False
22775	1	43	True
2896	2	21	False
30698	1	27	False
26099	1	71	False
33844	4	43	False
28592	4	70	False
47105	3	57	True
25336	1	30	False
9421	1	48	False
51213	1	34	True
23504	1	36	False
4443	2	67	False
27126	6	37	True
31746	2	41	False
19467	1	41	False
24215	1	28	False
49023	1	58	False
39716	1	17	True
45640	1	31	False
6723	1	16	False
25355	2	38	False
361	5	37	True
31770	1	15	False
45393	3	26	False
6769	3	25	False
39480	1	32	True
35607	1	27	False
31737	1	14	False
5618	3	20	False
6202	1	23	False
19665	1	20	True
30758	2	23	False
47453	1	36	False
28381	1	34	False
25975	2	19	False
51217	2	15	False
15463	1	24	False
30303	3	38	False
1321	3	15	False
30774	4	43	False
13808	5	51	True
35302	1	19	False
16980	1	19	False
26215	2	29	False
30310	1	13	True
16666	1	24	False
7528	6	35	True
22643	6	28	True
30781	1	22	False
3905	1	22	False
10210	1	18	False
12733	2	24	True
2737	1	29	False
42932	12	31	True
13599	3	33	True
34115	1	8	False
43484	1	16	False
31304	1	14	True
47923	1	23	False
35062	1	32	False
23097	5	31	False
25997	1	15	False
35080	2	26	False
736	1	12	False
2518	3	35	False
34623	1	17	True
19910	1	19	True
50025	11	44	True
48695	1	22	False
31430	3	22	True
26926	2	38	False
35653	3	10	False
17380	1	13	False
22761	6	27	True
15290	3	11	True
23592	12	69	False
22783	1	30	False
6366	2	31	False
32208	1	8	False
41839	1	4	False
40579	1	10	False
39470	2	28	True
29439	5	23	True
44221	2	23	False
4609	2	11	False
1309	2	20	True
20886	4	21	True
40431	1	47	True
18560	2	36	False
20403	1	10	False
8538	3	34	False
7087	1	7	False
12464	3	21	False
19695	1	13	False
42504	2	11	False
22512	1	12	False
13176	1	13	False
24476	1	18	False
26904	6	34	False
10985	1	6	True
31287	1	37	False
5745	1	6	False
9379	2	12	False
24224	1	12	False
19737	1	9	False
33361	1	10	False
34105	3	23	False
33342	1	16	False
27660	2	16	True
8559	1	23	False
44301	1	25	False
51220	2	15	True
5898	1	7	False
39078	5	11	False
4600	2	29	False
27123	6	35	True
50179	1	10	False
46752	3	8	False
40210	1	12	False
45398	1	8	False
40607	2	13	False
17613	1	12	False
23986	1	13	False
25644	4	13	True
42100	1	5	False
20726	3	10	False
28340	2	8	True
44378	1	13	False
37588	2	20	True
23601	1	7	False
47446	1	21	False
1146	1	9	False
4594	3	8	False
27487	1	8	True
45818	1	13	False
5863	1	18	False
50876	1	3	False
30764	1	11	False
39084	1	6	False
24270	3	8	False
24894	2	18	False
35666	1	9	False
25564	1	10	False
13159	1	13	False
45813	5	19	False
47636	8	28	True
28605	2	18	False
29078	4	21	False
50924	1	5	False
30312	1	7	False
1578	5	19	False
28346	1	6	False
2899	4	10	False
45388	3	13	False
16646	2	12	True
27320	1	8	False
937	3	25	True
33589	3	14	True
49656	1	4	False
35671	1	9	True
40193	1	7	False
1303	2	15	False
5173	2	17	False
40978	8	19	False
9143	1	14	False
16848	4	11	False
46942	1	8	False
51277	1	2	False
46331	4	16	True
17828	4	15	False
6361	1	24	True
4055	1	11	True
19086	1	9	False
37450	1	14	False
1581	2	4	True
18764	7	16	True
26913	1	14	True
38043	1	8	False
1342	1	4	False
51475	1	3	False
24133	1	22	False
4625	1	5	False
12615	1	8	False
32459	2	8	False
50897	2	5	True
44061	4	9	True
11676	2	5	False
39983	1	8	False
43192	1	8	False
20247	1	5	False
50878	3	5	False
14500	1	7	False
1905	1	4	False
22506	4	17	True
25200	5	29	True
2183	2	15	True
25206	6	11	False
31726	2	9	False
41565	2	6	True
22329	3	9	False
32112	2	6	False
28336	3	11	False
1980	1	10	False
7798	2	6	True
29124	1	8	False
20381	3	6	False
20131	4	14	True
46753	1	17	False
22779	1	2	False
21041	3	6	True
24881	1	23	False
22333	1	5	False
