cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
22908	5	705	True
27459	3	476	True
3945	1	260	False
31439	8	420	False
44057	7	611	True
27456	6	391	False
32104	16	926	False
43182	1	140	False
19346	1	381	False
4600	3	216	False
14722	3	460	False
44648	1	303	False
40975	13	440	True
41164	2	230	False
16693	1	172	False
34432	6	234	True
18554	4	182	True
9250	2	244	False
16435	3	140	False
34017	1	139	False
3662	3	132	False
28097	3	149	False
16419	2	243	True
51236	2	94	True
3963	1	157	False
41575	1	81	False
4428	6	74	True
18765	6	95	True
781	2	49	True
30081	1	137	False
9870	1	118	False
37222	2	167	False
33867	3	86	True
13119	2	73	False
42517	3	89	False
17841	1	67	False
783	4	78	True
28629	1	90	False
20289	1	42	False
35078	1	110	False
45138	1	57	False
16176	1	42	False
48422	1	96	False
42934	3	134	False
40615	2	72	False
32112	6	33	False
33331	3	144	False
18980	1	71	False
27671	2	41	False
2195	1	96	False
2328	3	54	False
1538	6	88	True
1319	1	75	False
14714	2	45	False
8075	1	33	False
19662	1	82	False
44059	1	85	False
15601	1	58	False
31726	5	44	False
6366	1	106	False
9864	2	45	False
22320	3	102	True
39344	1	49	True
45818	1	44	False
46320	3	48	True
50196	1	19	False
44980	1	72	True
44955	7	52	True
12455	2	49	False
50433	7	53	False
48615	1	46	False
9863	3	48	False
47132	2	46	True
37817	2	28	True
2912	1	29	True
20880	4	33	True
25456	3	105	True
2185	9	70	True
7626	1	41	True
39716	1	19	True
47639	8	97	True
11695	1	63	False
39696	1	20	False
7088	5	46	False
33334	5	37	False
23592	21	102	False
29443	6	43	True
29245	12	51	True
48685	1	33	False
31733	1	26	False
1142	1	26	False
10066	8	53	True
39975	2	31	True
3896	1	26	False
15114	2	58	False
6166	1	87	False
3352	3	53	False
34598	5	53	False
32802	1	57	False
1372	1	19	False
33625	3	23	False
46593	2	58	False
16834	7	48	True
4447	2	35	False
39681	1	20	False
17239	1	50	False
16633	1	40	False
5620	2	28	True
25649	4	29	True
8694	1	37	False
15126	2	45	False
18766	2	32	False
20888	10	41	False
26586	1	29	False
40421	2	111	False
11814	1	94	False
8715	1	44	False
22515	2	41	False
7526	4	26	True
