cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
19169	2	1158	False
49414	1	472	False
31147	1	302	False
1334	1	184	False
15591	5	171	False
23620	3	107	False
1525	1	173	True
50861	3	126	False
23598	1	85	False
15560	1	61	False
14237	1	161	False
8490	1	78	False
43557	2	64	False
7100	2	91	False
27133	2	47	False
44235	1	92	False
25217	3	41	False
1309	8	46	True
41841	1	16	False
17492	1	80	False
39469	8	56	True
42932	5	83	True
34600	4	38	True
31138	2	46	True
13996	1	19	False
827	1	33	False
2904	2	22	False
33334	9	27	False
50900	1	29	False
1605	1	34	False
42941	2	54	False
50037	8	91	True
44954	1	19	False
13018	1	92	False
22539	2	54	False
31720	3	33	False
1533	1	29	False
50872	2	13	False
30778	4	26	True
9208	5	66	True
13860	1	40	False
6606	2	70	False
14446	1	19	False
25194	12	60	True
7091	4	37	False
28344	3	28	False
4854	3	30	False
22747	1	187	False
7840	1	18	False
29468	3	22	False
1535	6	68	False
50868	1	5	False
14353	4	16	False
15143	3	27	False
32112	7	17	False
19092	1	36	False
28144	1	11	False
41816	2	7	False
27050	5	21	False
40186	1	10	False
7968	1	35	False
31137	7	27	False
22514	1	16	True
37811	3	20	True
4346	1	24	False
44045	2	21	True
33361	6	14	False
50067	1	17	False
36384	3	17	False
31753	7	10	False
22512	3	12	False
5063	1	8	False
1570	4	32	True
45380	3	20	True
50030	5	16	True
15156	3	20	False
17423	5	25	False
6785	1	17	False
47106	6	21	False
4856	2	11	False
33332	7	23	False
29770	1	5	False
31775	3	43	False
11496	1	22	False
26903	2	46	True
33908	1	15	False
22781	1	5	False
14941	1	19	False
20884	5	13	True
20886	6	38	True
9399	2	23	True
47159	1	22	False
20895	5	66	True
34668	1	11	False
1322	5	28	False
733	4	15	True
31280	5	27	True
51239	6	16	True
44959	10	36	True
40215	2	19	False
35810	1	5	False
28338	1	4	False
11549	1	5	False
18560	3	25	False
1618	3	14	False
34426	9	20	True
26900	12	42	True
29439	2	23	True
4864	3	20	False
23498	12	34	True
3913	1	2	False
