cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
3455	3	6702	False
27475	19	4055	True
4625	3	736	False
17488	3	842	False
24458	2	1668	False
48172	9	260	True
2378	1	315	False
36694	3	273	False
27486	4	387	False
7104	1	664	False
30994	1	406	True
1300	11	384	False
13292	1	168	False
33870	1	134	True
39992	1	296	False
1538	12	367	True
25258	2	259	False
11729	3	203	False
27519	2	152	False
2025	1	168	True
24585	1	136	False
6619	6	190	True
20915	5	181	False
34268	8	258	True
23514	1	93	False
1302	3	118	True
758	4	145	True
43146	2	211	False
18791	1	134	False
31720	12	99	False
24215	2	128	False
31312	1	153	False
22328	5	117	True
20881	10	136	False
50006	1	136	False
1572	1	121	False
39647	2	105	True
748	5	183	True
23779	2	104	False
36202	1	96	False
6607	4	207	False
23499	1	103	False
44055	16	209	True
51228	2	46	False
7476	1	89	False
22146	4	39	False
50026	2	114	True
14925	2	93	False
49289	1	94	False
25970	19	194	False
52260	2	62	False
12664	1	66	False
44959	13	138	True
36705	3	109	False
27242	1	46	False
18764	10	55	True
13568	10	87	False
33589	5	247	True
43148	5	77	True
3714	1	75	True
51281	2	97	False
30760	4	65	False
7554	1	60	False
31723	50	483	False
17573	1	60	False
33854	8	75	True
32103	45	191	False
15606	2	30	True
23593	4	106	True
51028	1	50	False
22769	7	83	True
17605	2	84	True
51147	1	141	False
15114	4	143	False
40247	1	55	False
31729	2	69	False
13588	4	52	False
9544	3	51	False
28793	1	46	False
28582	2	69	True
17034	6	103	False
25646	8	58	True
32320	1	49	False
27042	21	67	True
49033	4	80	True
14518	1	31	False
42490	3	69	False
33852	2	34	True
40978	8	119	False
7085	2	53	False
32608	3	65	True
8539	3	123	False
41221	1	61	False
14382	1	58	False
33344	14	122	False
48191	3	25	False
14005	2	72	False
10950	6	36	True
48587	6	47	True
9526	6	129	False
23792	5	83	False
22652	4	208	False
5621	2	34	False
2327	3	60	False
3183	2	15	False
22505	4	39	True
7804	6	87	False
26900	16	123	True
33763	3	51	True
7097	6	40	True
9918	1	32	False
47932	1	60	False
18937	4	45	False
36111	1	50	False
5044	3	53	False
50876	2	35	False
34143	2	33	True
5653	4	30	False
1526	12	143	False
16428	1	43	False
746	8	63	False
46747	1	44	False
31749	2	38	False
26599	12	87	True
40441	1	96	False
37627	1	39	True
12130	3	53	False
4853	3	38	False
27077	1	13	False
44953	5	45	True
36190	10	68	True
48352	1	6	False
10409	6	46	True
50884	2	39	True
36708	1	25	False
783	3	37	True
22160	4	16	True
38515	2	74	True
33526	1	33	False
44652	1	36	False
41558	3	31	True
40434	1	32	False
9252	2	19	False
27875	1	24	False
15586	16	112	True
39321	9	74	True
16420	8	65	False
29596	8	62	True
3692	1	37	False
8212	10	86	True
1570	3	20	True
5620	4	30	True
17031	5	31	True
25971	7	40	False
13038	2	52	True
46033	3	24	False
42966	2	35	True
24583	4	43	False
743	12	94	False
4596	7	86	False
20906	6	37	False
25653	2	25	True
35651	9	51	False
8247	1	23	False
4594	7	60	False
32110	5	26	False
36389	4	43	False
23620	1	17	False
22313	8	95	True
740	16	75	True
5301	1	32	False
35692	1	33	False
8260	2	43	False
9211	5	37	False
23772	5	56	True
20882	7	45	True
37812	2	33	True
16164	1	19	False
776	7	42	False
36196	5	52	True
31725	10	62	False
16653	1	44	False
31737	9	22	False
18688	1	21	False
23787	2	33	False
12936	6	79	False
1549	5	55	False
12968	1	20	False
46758	3	34	False
26594	9	46	False
25658	2	17	False
18036	2	30	True
42941	3	32	False
13326	1	27	False
32609	13	74	True
14920	1	37	False
47897	2	34	True
49154	5	31	False
1577	2	24	True
26587	4	27	False
9870	3	56	False
33851	10	61	True
27488	4	39	False
51233	4	22	True
44194	1	41	False
13607	1	13	False
22649	8	171	True
25973	4	13	False
7799	13	65	True
13808	7	39	True
46799	1	28	False
35660	2	17	False
1316	1	15	False
738	6	24	True
34601	4	40	False
4635	1	13	False
48176	5	10	False
37805	18	56	True
9232	4	58	False
12937	15	54	True
7800	1	18	False
43056	1	16	False
27460	10	72	True
8686	3	33	False
42022	1	28	False
1522	10	45	False
44064	13	72	True
1318	7	50	True
18551	5	46	False
15294	3	14	True
10960	12	63	True
44625	7	40	False
51030	2	30	True
39357	1	76	False
24269	1	8	False
11218	1	18	False
14500	3	22	False
5633	1	22	False
22323	2	4	False
29443	6	45	True
27679	1	8	True
7612	1	18	False
23632	2	11	False
40184	1	13	False
26908	3	44	False
39667	6	40	False
2351	1	20	False
19312	1	20	False
6204	1	30	True
7110	7	32	True
3904	2	19	False
8205	14	63	True
11694	4	24	False
1586	3	38	True
39683	4	35	True
39756	2	6	False
42019	4	58	False
20844	1	10	False
48174	4	9	False
34112	3	34	False
28625	2	15	False
50028	19	73	False
18300	1	30	False
30662	1	17	False
1324	2	7	False
25976	10	33	False
44062	10	52	True
27141	3	24	False
733	4	24	True
3882	3	19	True
31739	4	35	False
32209	1	31	False
35083	4	39	False
51236	3	8	True
27463	5	35	False
25968	11	85	False
34426	15	45	True
18802	1	22	False
31742	6	27	False
41827	5	17	False
34437	3	21	False
23776	4	29	False
30765	4	39	False
39121	2	11	False
39095	2	26	False
33333	3	25	False
30991	4	23	True
17445	3	21	False
37299	1	24	False
22149	1	3	False
30759	1	20	False
3921	1	11	False
52233	3	26	False
11725	2	17	False
7228	1	28	False
22344	1	7	True
27688	1	12	True
9796	2	9	False
18833	1	10	True
39078	4	19	False
30280	8	19	True
45609	2	30	False
11553	1	13	False
21033	5	33	True
1309	15	44	True
42493	1	23	False
32102	9	31	False
52228	1	13	False
376	2	18	False
30279	2	8	True
14204	1	17	False
20891	21	41	True
24208	2	58	False
25643	12	62	False
51737	2	4	False
36689	8	44	False
3870	17	43	False
31284	23	76	True
9381	12	39	False
21035	3	23	True
40621	2	9	False
38806	1	8	False
32628	1	17	True
20886	14	50	True
43572	2	18	False
2896	5	7	False
44962	9	21	True
14924	1	23	False
50025	17	74	True
51009	1	5	False
41553	6	25	True
46032	3	23	True
395	2	33	False
18578	2	31	False
5025	2	18	False
28340	3	17	True
51850	1	17	False
42508	7	26	True
26925	1	13	False
50871	3	15	False
3198	1	4	False
27052	1	14	True
51258	2	13	True
18765	10	31	True
18776	3	29	False
42960	4	20	True
40827	3	11	True
21256	1	11	True
7583	1	20	False
22781	1	31	False
9204	3	11	True
10403	7	23	False
39084	2	20	False
35084	2	14	True
44949	6	10	True
33365	1	4	False
9217	1	8	False
33594	1	17	False
51508	2	13	False
359	3	20	False
13991	4	28	True
26913	2	14	True
37814	2	4	False
17038	4	15	False
3894	1	16	False
34592	15	48	True
20721	2	9	True
27686	2	15	False
34593	6	14	True
27136	3	25	False
48216	3	4	False
3487	1	5	False
26608	2	16	False
22165	3	6	True
30749	3	18	False
31281	1	19	False
22501	1	5	False
3927	1	19	False
31429	9	31	True
31756	1	7	False
6762	8	38	False
1569	2	11	False
32118	4	30	False
2204	1	7	False
33325	4	17	False
33332	6	40	False
18781	1	17	False
17073	1	11	False
6615	1	24	False
26600	4	22	False
22155	2	4	False
34472	1	6	False
40968	1	19	False
42926	16	36	True
2209	4	20	False
40172	4	5	False
31145	1	8	False
26381	6	63	True
39332	1	12	False
19637	1	14	False
16422	8	34	False
31193	2	15	False
18787	1	11	True
15619	2	13	False
367	4	19	False
18976	1	18	False
32459	2	17	False
22352	1	13	False
47415	13	21	True
17423	12	36	False
22207	1	2	False
46748	1	26	False
38338	3	7	True
15118	3	17	False
51262	1	27	False
30785	1	12	False
22197	1	4	False
51336	2	7	False
734	19	69	False
34436	8	26	True
40410	4	11	False
1530	5	37	True
34103	4	12	True
44045	11	44	True
7092	10	64	True
33760	7	18	True
3879	1	8	False
18561	1	38	False
35664	2	25	True
39676	3	18	False
1292	5	23	True
18257	2	11	False
17626	1	11	False
30880	1	19	False
41808	1	2	False
14020	1	18	False
40990	2	15	True
7341	1	6	False
51864	1	12	False
28169	1	10	False
20894	1	14	False
31753	7	11	False
47945	1	13	False
23498	11	25	True
22325	4	19	False
31724	1	14	False
48184	2	2	False
9315	1	3	False
39080	2	10	False
28031	1	8	False
36211	4	29	False
6621	5	26	False
33343	2	4	False
8684	1	8	False
51159	1	7	False
22326	3	10	False
36387	1	23	False
51251	1	8	False
39129	1	9	False
23597	2	4	True
4948	1	8	False
37947	3	14	False
48754	2	17	False
46051	1	12	False
42164	1	9	True
51245	4	23	False
51227	9	35	True
34443	2	14	True
10411	5	11	True
30185	2	15	False
3885	5	15	True
18040	3	13	True
3874	3	16	False
34101	1	9	True
31718	13	32	False
40173	5	18	True
39692	2	21	False
22331	2	11	False
9680	1	16	False
38922	2	17	False
22154	1	3	True
6155	4	20	True
34744	1	4	False
50067	3	18	False
32448	2	9	False
18358	1	16	False
8204	18	42	True
2191	1	9	False
22642	3	4	True
7094	4	11	True
41823	2	3	False
462	1	5	False
21268	2	12	True
8515	1	16	False
52337	1	5	False
23598	2	7	False
13809	4	10	False
7808	8	19	False
26360	1	6	False
28587	2	15	True
22138	8	9	False
12193	1	7	False
39688	1	14	False
22341	3	8	False
44172	3	33	False
47425	1	10	False
46751	7	18	False
14042	1	7	False
37914	1	14	True
12122	2	14	False
29768	3	13	False
937	1	2	True
4847	1	5	False
35014	1	2	False
22334	2	7	False
27053	1	1	False
25464	1	18	False
18546	2	11	True
44965	1	3	False
48171	8	13	True
27670	7	15	True
2227	1	4	False
6606	2	9	False
31719	1	1	False
31730	7	33	False
41809	3	5	False
33844	7	37	False
43143	8	21	True
22380	1	7	False
39742	1	8	False
3940	2	17	False
44222	2	16	False
11470	2	15	True
22644	4	24	True
16440	4	13	True
13871	1	15	False
6642	2	11	False
21041	3	19	True
39089	2	6	False
47290	1	13	False
9522	2	12	False
42012	6	14	False
43543	2	9	False
23794	1	7	True
2054	1	28	False
