cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
31723	18	9186	False
7799	5	695	True
25975	2	223	False
37818	1	425	False
9233	1	192	False
24605	2	196	False
19381	1	113	False
31716	8	967	False
50880	4	161	False
46316	1	225	False
734	6	266	False
20366	6	247	False
39491	1	145	False
35306	6	127	False
43321	2	164	False
43543	4	191	False
41809	1	63	False
50882	1	90	False
38548	1	191	False
1326	1	86	False
20881	5	162	False
10064	6	240	False
30745	1	115	True
39670	1	100	False
22313	5	67	True
5020	1	248	False
9209	1	143	False
3356	1	71	False
41385	3	94	False
49876	2	57	False
50427	2	103	False
22326	1	54	False
31730	6	327	False
27493	1	103	False
50869	3	59	True
8204	7	122	True
18763	1	34	True
16435	1	103	False
40975	7	155	True
28351	2	110	True
33849	8	123	True
41847	1	20	False
43571	2	107	False
37808	1	37	True
30530	2	99	False
17038	3	49	False
41811	3	20	True
22761	6	57	True
45831	2	140	False
16836	3	72	False
7847	1	76	False
25990	2	101	False
8687	1	42	False
33339	5	112	False
42486	2	72	True
20404	2	73	False
39747	2	40	False
29084	1	42	True
28850	1	22	True
51432	2	84	False
35658	2	40	True
47419	2	54	False
49023	5	56	False
28567	3	68	True
1310	1	46	True
16814	2	46	False
32121	1	37	False
36018	1	68	False
33844	3	49	False
50663	2	36	False
52260	2	16	False
28107	1	38	True
14714	2	40	False
39644	1	68	False
34969	1	52	False
17488	4	41	False
26904	6	73	False
31440	1	36	True
22146	3	22	False
10424	3	28	False
4435	4	107	False
23785	2	63	True
48171	2	12	True
26915	2	56	False
37805	5	36	True
42175	2	69	False
34595	3	32	False
26924	1	27	False
20149	3	44	False
15586	4	65	True
28334	1	63	False
49852	2	46	False
47985	1	44	False
37590	3	68	True
15114	2	52	False
2338	1	26	True
51227	2	29	True
26157	1	52	True
23704	1	29	False
24460	2	35	False
12955	2	27	False
44057	3	39	True
31183	1	45	False
41701	1	20	False
34667	1	24	False
24456	10	36	False
30049	2	82	False
8784	1	65	False
42501	2	50	False
42029	1	41	False
49025	1	29	False
20367	10	51	True
3364	1	25	False
21575	1	43	False
27665	1	30	False
25532	1	18	False
31296	3	50	True
34598	6	90	False
18765	7	36	True
50786	1	35	False
4474	1	30	False
19625	3	32	False
13809	2	35	False
47639	6	52	True
7088	1	36	False
25197	2	43	True
12946	2	19	True
43097	1	50	False
40630	1	36	False
4603	1	17	False
18036	1	37	True
39097	2	22	False
4431	5	74	True
43539	1	18	False
34975	1	19	False
29754	1	32	False
42928	4	28	True
51488	1	46	False
29248	6	32	False
10072	2	23	False
51729	1	10	False
27547	1	17	False
43317	1	24	False
40982	2	33	False
45935	1	28	False
4459	1	29	False
46754	1	24	True
6654	1	39	False
42541	1	23	False
28352	2	31	False
17431	1	39	False
32111	1	24	False
31720	3	18	False
33330	8	43	False
2494	4	49	True
10682	1	21	False
50679	1	21	False
17054	1	14	False
30644	1	11	False
1542	2	12	False
10957	5	29	True
22643	7	53	True
1570	2	13	True
31115	1	38	False
38918	1	25	False
3093	1	11	False
7094	1	24	True
32103	6	39	False
50673	2	52	False
28818	1	29	True
29597	1	31	False
20399	2	17	False
26932	1	31	False
42924	3	34	True
51306	1	19	False
23592	8	53	False
14952	1	15	False
1808	1	34	False
19327	4	20	False
34433	2	38	False
1576	4	29	True
15143	5	49	False
44046	3	27	False
49028	4	30	True
33612	3	30	False
28570	1	15	True
