cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
19169	1	1103	False
31147	2	308	False
49414	1	245	False
15591	2	183	False
50861	4	152	False
1525	1	178	True
23620	2	101	False
8490	2	105	False
9208	2	99	True
6606	4	112	False
15560	1	73	False
1334	1	64	False
23598	1	45	False
7100	1	82	False
39469	6	55	True
50872	1	20	False
14237	1	102	False
42932	1	51	True
44235	1	87	False
31138	2	51	True
27133	1	58	False
1605	1	32	False
1533	1	32	False
22539	2	63	False
13018	2	63	False
50037	5	59	True
25194	6	49	True
31720	1	25	False
31723	13	29	False
18266	2	36	False
36384	3	34	False
7091	2	34	False
13996	1	16	False
17492	1	54	False
50026	3	42	True
25217	4	25	False
13860	1	48	False
31280	5	32	True
4854	3	21	False
32112	5	13	False
34600	3	33	True
44954	1	12	False
31753	4	7	False
31799	1	10	False
28344	2	19	False
2904	1	10	False
9399	1	25	True
51214	5	19	True
22747	1	100	False
43557	1	45	False
50900	3	28	False
23511	1	14	False
1570	3	27	True
44627	5	22	False
51239	4	14	True
42941	2	45	False
3343	4	24	False
35083	2	16	False
30760	1	14	False
26903	4	49	True
50647	1	13	False
33334	5	25	False
5063	1	13	False
7968	3	28	False
1535	3	36	False
39217	1	16	False
41841	2	8	False
14941	1	19	False
22514	2	17	True
7090	4	11	False
40215	1	20	False
20895	2	50	True
1309	5	36	True
33332	2	15	False
22761	4	20	True
4346	1	18	False
45380	3	14	True
29439	5	33	True
359	4	22	False
13998	1	17	False
45163	1	12	False
31137	7	22	False
15156	2	11	False
50067	1	21	False
13813	2	16	False
4864	4	18	False
23498	10	48	True
24466	1	14	False
35810	1	5	False
37814	1	5	False
48742	1	13	False
504	4	8	False
14039	2	16	False
740	3	9	True
29468	2	15	False
31835	1	7	False
14353	1	8	False
14446	1	11	False
27050	5	14	False
1596	1	7	False
33783	1	11	False
18560	1	28	False
31160	1	5	True
43145	8	15	False
26900	6	30	True
30281	2	9	True
10972	1	10	False
40040	1	10	False
26904	8	30	False
27486	1	2	False
43143	4	20	True
23772	8	26	True
7596	1	11	False
4596	3	4	False
7088	2	8	False
24243	1	3	False
51227	2	23	True
17423	6	17	False
3304	1	4	False
23776	3	6	False
33764	1	10	True
31775	3	12	False
41807	5	8	False
50030	3	10	True
19092	1	38	False
39835	1	6	False
34270	1	4	True
44255	1	21	False
15126	2	9	False
42943	8	24	False
733	2	7	True
31791	2	10	False
39650	5	12	False
37595	2	11	False
17043	2	9	True
4605	2	3	False
32103	13	50	False
7798	4	13	True
20896	3	6	True
28339	3	6	False
3510	1	3	False
6054	1	8	False
29764	1	8	False
5024	6	49	False
31716	5	11	False
47159	1	13	False
3978	1	4	False
1312	1	5	False
24234	1	11	False
31168	1	6	False
4635	1	2	False
33909	1	11	False
755	1	3	False
22137	1	2	False
50069	1	11	False
30778	2	15	True
47106	1	7	False
1339	1	9	True
18786	1	8	False
14364	1	5	False
33329	2	4	False
776	2	3	False
778	1	4	False
22865	1	6	False
30795	1	4	True
41571	1	30	False
4428	3	15	True
11549	1	4	False
23683	1	7	False
22312	2	3	False
30745	3	6	True
29270	2	9	False
22361	3	5	False
43175	1	4	True
7110	1	7	True
17835	1	8	False
25997	1	2	False
10062	2	14	False
23605	1	8	False
37899	1	1	False
736	3	14	False
20881	6	15	False
46029	2	7	False
19626	2	13	True
39467	1	3	True
25973	1	1	False
33368	1	3	False
