cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
25066	2	1665	False
29784	1	304	False
22318	3	158	False
2896	1	133	False
8220	1	237	False
18801	2	195	False
1514	1	149	False
33334	13	258	False
39778	1	182	False
20741	2	206	True
15298	5	315	False
51164	1	183	False
48184	2	55	False
51451	1	104	False
18764	5	114	True
3310	1	70	False
35703	1	116	False
49378	1	144	False
18252	2	77	False
20502	1	67	False
25678	1	87	False
12722	2	83	True
46359	3	157	False
31737	4	28	False
29453	3	158	True
47912	1	91	False
45125	3	72	False
43551	1	125	False
28569	3	115	False
18253	1	84	False
19652	3	84	True
51295	2	135	False
25643	26	266	False
41811	3	23	True
1553	1	50	False
9526	2	69	False
32302	1	71	False
24559	12	126	True
25646	5	60	True
28339	3	84	False
24215	2	115	False
42989	2	39	False
26442	2	75	False
33851	10	75	True
37605	2	81	False
31439	2	126	False
32613	1	121	False
6164	1	57	False
32624	6	68	True
31153	4	23	False
40974	16	86	True
27458	3	38	True
24471	1	75	False
51492	1	41	False
28345	2	46	True
31741	13	104	False
11320	1	41	False
32457	5	49	False
46331	30	191	True
39662	5	45	False
33853	11	127	False
23608	4	51	True
4458	1	36	False
31148	2	68	False
25197	8	132	True
16112	2	45	False
27293	5	76	False
26906	4	57	True
26901	4	25	False
45444	1	24	False
34621	2	65	True
22404	1	25	False
27133	10	99	False
45162	1	41	False
29264	1	84	True
35718	1	67	False
15293	3	53	False
11741	2	48	False
18818	3	31	False
4596	3	18	False
10064	10	138	False
44946	14	97	True
16430	5	71	False
8269	1	61	True
20721	4	70	True
37917	2	63	False
15595	1	35	True
4428	10	89	True
20882	7	56	True
1341	2	41	False
23774	11	119	True
48185	1	22	False
12942	1	55	True
33848	1	42	False
31717	6	112	False
20757	1	15	False
18376	1	20	False
26747	4	51	False
46855	2	26	False
34446	4	37	True
2182	21	125	True
38322	16	64	True
17605	6	60	True
16643	12	151	True
40994	4	32	False
43841	18	55	True
35667	2	25	False
41827	2	38	False
23592	24	246	False
22324	5	30	True
40411	1	75	False
20367	18	87	True
7940	5	30	False
44951	2	33	False
8706	3	32	False
9872	3	30	True
51629	1	42	False
42039	4	39	True
27912	11	39	True
44624	2	45	False
31140	5	63	True
16263	3	28	False
31149	2	10	False
24225	3	53	False
50025	17	91	True
31144	5	45	True
33040	4	31	False
42943	11	36	False
31764	1	26	False
43148	6	47	True
6008	5	55	False
1522	9	54	False
51089	1	28	False
50394	1	21	False
50028	18	73	False
29479	1	30	False
44625	6	51	False
37225	4	28	True
39760	1	19	False
51243	1	13	False
22145	1	17	False
15586	16	55	True
31155	1	36	False
29440	11	63	True
46311	13	52	False
30004	1	17	False
42926	14	75	True
17601	3	36	False
23798	2	36	False
46042	2	27	False
28324	4	38	False
32930	1	23	False
47428	1	17	False
44062	4	23	True
42490	3	52	False
20723	2	21	False
34623	4	18	True
28637	4	21	False
14933	1	38	False
43547	3	48	True
49028	8	29	True
48785	7	55	False
48172	7	35	True
39525	2	13	False
31444	3	25	True
894	1	35	False
52221	5	28	False
25968	22	70	False
3321	1	8	False
34426	13	65	True
30280	15	58	True
44030	1	21	False
35673	1	16	False
6612	3	29	False
26849	1	17	False
48694	1	22	False
43312	1	45	False
44953	4	15	True
39964	11	26	True
22927	1	16	False
20373	4	21	True
9871	1	33	False
35907	1	37	False
38332	5	18	True
45834	4	19	False
17832	3	15	False
50007	2	18	False
23790	3	14	False
39470	7	37	True
14920	1	17	False
31767	1	31	False
44045	12	53	True
9592	1	16	False
8231	1	41	False
14500	4	27	False
47946	2	42	False
22536	1	11	False
16639	9	61	True
23814	1	23	True
35294	6	58	True
1554	4	17	False
3362	1	19	False
31138	6	38	True
44289	1	17	False
35581	1	23	False
50643	1	24	False
31280	8	46	True
32103	16	57	False
42485	9	104	True
15299	5	48	True
31284	14	51	True
34445	13	59	True
39965	22	65	True
8719	1	15	False
37911	4	36	False
26725	3	26	True
19335	2	31	False
50883	5	37	False
17668	1	21	False
44955	14	38	True
38317	10	54	True
42937	2	21	False
29252	14	53	True
31723	30	69	False
7556	1	27	False
27042	10	33	True
31159	1	24	True
36689	4	18	False
12943	8	32	True
32107	7	24	False
19866	11	37	False
32118	5	32	False
6620	1	18	False
41808	1	8	False
8026	1	11	False
35078	2	36	False
10665	3	21	False
30538	1	12	True
23991	2	26	False
38520	5	21	False
14952	2	23	False
22346	5	23	False
43642	1	27	False
7799	10	46	True
22846	1	7	False
46319	14	49	True
9208	10	33	True
23779	3	26	False
45825	4	32	False
28795	8	49	False
30979	3	19	True
31727	1	21	False
23965	2	24	False
17242	2	12	False
6810	2	20	False
22572	1	36	False
20890	3	16	False
4293	2	23	False
33631	4	41	True
4429	12	35	True
8697	2	40	False
41822	1	3	False
29767	2	25	False
44959	12	56	True
21033	4	21	True
19326	2	61	False
25645	9	38	True
18765	12	39	True
3351	2	14	False
24567	1	14	False
5490	1	17	False
49023	10	44	False
36571	1	18	False
4602	3	7	False
16809	1	30	False
1815	6	23	False
20381	8	28	False
26215	2	14	False
23620	7	19	False
41348	3	17	False
25393	1	6	False
22323	2	7	False
51743	6	37	False
26913	4	19	True
4454	1	11	False
51727	1	34	False
39716	5	17	True
1808	10	52	False
2900	2	5	False
22643	13	35	True
5028	8	32	False
6359	5	20	False
27660	3	14	True
27056	1	8	True
44046	14	44	False
20905	5	24	True
47158	2	9	False
39502	1	15	False
50880	2	13	False
44603	1	15	False
14944	1	24	False
9899	2	28	False
26170	3	18	False
12282	1	44	False
4432	2	14	True
16663	4	33	False
40497	1	24	False
44968	2	8	True
42547	1	23	True
31429	5	56	True
771	1	19	True
24269	1	47	False
20402	3	16	False
45851	1	10	False
7595	1	9	True
35769	1	13	False
29772	11	27	True
13991	5	17	True
25647	2	10	False
37821	3	17	False
35649	1	17	False
33601	7	17	True
2232	1	21	False
25194	20	157	True
40822	1	12	False
1971	3	16	True
30975	7	18	True
8505	1	13	False
16108	2	36	False
20720	3	25	False
1963	3	21	False
3905	1	16	False
49431	1	12	False
37805	22	63	True
22765	2	13	False
44949	3	8	True
20904	1	11	False
35657	5	29	False
3347	2	16	False
6606	5	17	False
44165	2	88	False
30275	2	22	True
22155	2	13	False
1535	7	68	False
33845	13	54	False
7958	4	17	False
22327	6	12	True
17030	3	19	False
2497	2	22	False
30279	4	16	True
6007	4	36	False
33731	1	11	False
39649	3	38	False
51420	5	34	False
31718	18	38	False
2929	1	17	False
23772	13	46	True
18148	1	13	False
34915	1	10	False
47709	2	14	False
31807	1	5	False
42924	13	61	True
11217	1	14	True
1387	1	15	False
40982	3	23	False
11511	3	22	False
7795	2	16	False
30761	3	16	True
2099	1	16	False
20881	8	29	False
43619	3	12	True
43143	11	21	True
44991	1	20	False
50047	2	10	False
46317	2	14	False
10409	8	33	True
11473	3	14	False
38684	2	23	False
359	11	46	False
32487	1	10	False
23792	3	16	False
37405	18	48	True
22144	8	16	False
37255	1	22	False
26908	1	49	False
26044	1	3	False
45813	4	20	False
37442	1	15	False
47919	4	13	False
49834	3	17	True
24329	1	10	False
373	4	26	False
52244	1	17	False
32115	6	16	False
50874	3	15	True
42164	3	23	True
43864	9	31	False
50450	1	25	False
2897	2	8	False
733	3	6	True
45401	7	35	False
12936	8	26	False
9379	3	37	False
49176	1	13	False
7992	1	8	False
45437	1	18	False
5442	8	42	True
7709	1	24	False
8752	2	8	False
20431	1	12	False
50289	1	9	False
25978	1	4	False
19612	1	14	False
10060	2	12	False
39650	7	14	False
6616	2	25	True
25192	2	11	False
24229	3	22	False
51511	1	7	False
28874	2	20	False
39682	2	19	False
14497	5	13	False
44654	2	16	False
48445	2	6	False
51847	5	20	False
8209	20	46	False
30049	5	12	False
29080	3	23	False
50037	6	20	True
25267	1	3	False
34607	1	8	True
31893	1	2	False
35700	1	6	False
38348	1	5	True
48598	2	16	False
12122	2	13	False
20750	1	13	False
32102	29	60	False
29447	17	59	True
12188	1	19	False
44055	5	10	True
45397	5	32	False
13809	8	20	False
11967	3	11	False
18944	7	30	False
46459	3	10	False
35672	3	12	False
1345	3	25	False
51247	1	5	False
14908	1	15	False
17529	1	5	False
39483	1	11	False
50641	1	7	False
30768	2	13	False
46339	2	12	True
41509	2	15	False
44697	1	9	False
16420	8	19	False
21291	1	12	True
9382	4	24	True
30056	2	7	False
33360	7	32	False
18761	3	14	False
3667	1	2	False
50686	2	11	False
34601	4	26	False
32609	14	38	True
3659	1	5	False
18763	1	5	True
51235	1	6	False
1841	5	14	False
41955	1	3	False
9389	4	34	False
47135	1	6	False
20727	3	15	False
21074	2	8	False
1532	9	37	True
7853	1	24	False
37919	3	12	False
37901	5	14	True
1456	1	7	False
30739	1	3	False
30745	7	34	True
51547	1	7	False
29600	1	13	True
2185	16	35	True
30518	2	12	True
19634	5	28	False
43545	3	20	False
15147	1	7	False
3343	2	10	False
20950	1	4	False
34436	23	53	True
5026	19	56	True
