cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
30792	1	595	False
26993	1	477	False
25304	2	677	False
32103	7	142	False
44627	4	159	False
30757	1	190	False
7084	6	108	False
27042	5	205	True
25984	2	87	False
31777	1	94	False
42932	11	191	True
30788	1	100	False
45380	7	196	True
36688	1	90	False
1539	1	82	False
28345	2	59	True
7978	3	55	False
29462	5	58	True
35655	3	84	False
45399	1	52	False
40203	2	90	False
22507	2	51	True
26390	1	43	False
40412	1	71	False
3869	4	70	True
22360	1	43	False
46473	1	38	False
12482	1	65	False
35700	1	37	False
31137	10	27	False
22702	1	27	False
1820	4	43	False
33854	7	40	True
26430	1	40	False
50650	2	37	False
28588	2	51	False
25467	5	50	False
3693	1	30	False
734	2	16	False
47433	1	27	True
1838	3	38	False
34633	3	28	True
7124	2	35	False
2132	1	33	False
48172	4	22	True
33344	6	72	False
43557	1	17	False
3892	1	9	False
8704	1	21	False
9864	1	20	False
8541	2	33	True
47641	6	30	True
7621	4	26	False
26384	4	32	False
26900	7	39	True
7804	3	36	False
9217	1	20	False
45926	1	48	False
34437	4	40	False
37329	1	16	False
33851	6	27	True
22342	1	19	True
37609	3	10	False
6620	2	20	False
35657	5	45	False
48796	4	23	False
31799	1	10	False
7476	1	33	False
36201	1	12	True
32572	1	12	False
32795	1	25	False
51835	1	10	False
1691	1	12	False
39714	2	14	False
37119	1	24	False
10480	2	9	False
47900	1	23	False
45120	4	32	False
35310	1	10	False
51420	3	12	False
34425	1	12	False
51227	4	43	True
46341	1	23	False
31284	7	53	True
23142	2	9	False
32628	1	20	True
45101	1	23	False
27481	1	16	False
37810	1	17	False
20409	2	53	False
27293	2	42	False
46044	2	18	False
16428	2	31	False
38515	3	29	True
37814	3	5	False
34426	9	24	True
34103	2	20	True
24456	8	26	False
5863	1	20	False
30756	1	22	False
45830	1	17	False
33347	4	11	False
23639	1	3	True
17435	6	52	False
17829	2	15	False
5027	3	16	True
50663	2	13	False
39975	1	18	True
46593	1	22	False
29122	1	5	False
43845	2	13	False
49035	5	23	False
15138	1	22	False
30068	1	9	False
33773	1	17	False
23741	1	11	False
34549	1	7	False
33861	1	15	False
7552	1	13	False
18766	1	12	False
7798	8	43	True
23787	2	11	False
7526	4	6	True
22760	1	18	True
43543	3	16	False
18935	2	15	False
16805	1	9	False
32624	3	10	True
29357	1	7	False
2900	1	3	False
27466	1	14	True
33868	2	5	True
40978	6	29	False
25194	13	37	True
26586	2	14	False
17839	1	6	False
8419	1	4	False
39965	10	39	True
29807	1	15	False
5307	1	15	False
19335	1	13	False
36687	2	11	False
33769	3	17	False
50864	3	15	True
50903	1	6	False
27477	3	13	False
1542	2	5	False
4722	1	9	False
24237	4	26	False
45125	4	21	False
22138	2	7	False
1804	1	22	False
15376	1	9	False
43145	6	17	False
43143	5	9	True
31296	3	22	True
18264	1	4	False
9514	2	17	False
17092	1	5	False
30759	1	7	False
47708	1	13	False
10964	1	8	False
20890	1	7	False
37588	5	15	True
23500	3	7	True
24213	2	17	False
20381	3	9	False
4596	3	10	False
41171	1	13	False
7977	1	3	False
23936	1	6	False
50938	1	3	False
17741	1	13	False
25288	1	8	False
14712	1	3	False
41563	2	13	True
33764	1	3	True
17033	4	12	True
48171	4	9	True
33759	7	26	False
21031	1	4	True
23781	1	7	False
44953	3	8	True
46336	5	8	True
31293	4	12	True
43558	1	10	False
31299	2	10	False
32292	5	18	False
32108	4	9	False
51427	4	8	True
40019	1	7	True
25785	1	5	False
38717	1	5	False
4600	1	10	False
17663	1	6	False
34436	7	17	True
48594	2	10	False
29452	2	10	True
40414	1	5	False
26904	8	12	False
20888	4	15	False
39997	2	10	False
12957	3	10	False
47925	1	6	False
52263	2	4	False
26908	1	9	False
39163	1	3	False
2929	1	2	False
25973	1	2	False
27142	1	3	False
4611	2	5	False
19326	1	3	False
1809	1	7	True
36382	4	9	True
43545	1	10	False
1526	6	13	False
27916	1	11	True
49841	2	6	False
31753	4	5	False
50059	3	10	True
31173	1	3	False
4601	5	12	False
20922	2	12	False
7097	1	8	True
20880	3	14	True
7808	2	33	False
4336	1	6	False
27821	1	4	False
46323	3	8	True
1544	1	10	False
50893	2	3	False
23770	3	16	True
42771	1	3	False
33374	1	3	False
42022	2	6	False
1779	1	4	False
39981	1	8	False
49024	1	7	True
17305	1	5	False
12937	4	9	True
5021	1	9	False
51028	1	3	False
3356	1	13	False
33365	2	3	False
51456	3	7	False
16862	1	9	False
8113	1	3	False
28329	2	7	False
20392	1	4	False
46329	7	20	True
48179	1	2	False
4609	1	8	False
6769	2	5	False
27488	1	4	False
1817	2	12	False
46316	3	7	False
42513	3	8	False
7799	8	51	True
43616	1	6	False
37917	1	4	False
33772	1	2	False
13547	1	7	False
28622	2	20	False
16461	3	7	False
46331	13	54	True
49179	1	12	False
52241	2	3	False
44625	6	15	False
40472	2	8	False
22354	3	9	False
50862	3	9	True
31737	4	5	False
743	5	11	False
24224	3	11	False
33337	3	5	False
7939	4	9	False
16418	7	18	True
1547	2	13	False
23909	1	3	False
22313	5	19	True
7549	4	5	True
8752	2	8	False
43556	5	16	False
45862	1	20	False
32120	1	11	False
49148	6	14	False
16450	1	9	False
50028	7	10	False
37817	1	1	True
17610	1	6	False
26737	5	9	False
6033	1	11	False
6169	5	13	False
13971	1	9	False
25971	2	2	False
25998	1	3	False
44060	1	2	False
44089	1	1	False
44984	1	3	False
42924	4	9	True
4846	2	4	False
31740	1	4	False
39469	1	12	True
50894	1	1	False
24869	1	2	False
45818	3	10	False
34677	1	2	False
44622	3	8	True
1537	3	9	True
51760	1	4	False
751	2	20	True
22926	1	8	False
33853	5	12	False
50025	5	19	True
1664	1	2	False
38912	2	3	False
6052	1	5	False
21554	1	7	True
40419	1	14	False
52266	1	4	False
6761	4	5	True
25644	1	2	True
27123	6	14	True
33844	2	4	False
2957	1	1	False
1586	1	12	True
7629	1	1	False
1546	1	3	False
18765	12	30	True
39683	4	8	True
18778	1	4	False
27656	1	3	True
32102	8	19	False
28137	1	2	False
27470	3	8	False
17605	5	15	True
35477	1	3	False
36577	1	3	False
1296	1	3	True
48180	1	1	False
30782	1	10	False
31723	10	15	False
12936	5	7	False
7835	1	2	False
36571	1	6	False
1328	1	2	False
6631	1	3	False
35345	1	1	False
367	5	22	False
17446	1	2	False
42202	1	3	False
44297	1	3	False
25990	1	5	False
50642	1	2	False
39705	1	2	False
47535	1	2	True
26597	5	9	False
45388	3	20	False
40410	8	20	False
47109	2	16	False
8700	3	7	False
39724	1	2	False
22328	2	6	True
2908	1	1	False
2896	1	4	False
17062	2	7	False
25196	2	4	False
1797	6	12	True
20725	2	3	False
51670	2	5	False
15339	1	4	False
4060	1	4	False
34593	2	2	True
36767	2	3	False
32885	2	6	False
20478	1	4	False
23191	1	2	False
48176	1	1	False
24483	1	2	False
50120	1	1	False
1538	4	10	True
50917	1	1	False
31748	1	2	False
46338	2	3	False
28097	1	5	False
50038	1	6	False
1536	2	8	False
51725	1	4	True
30990	2	3	False
