cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
22775	3	127	True
41487	1	274	False
27056	1	119	True
32296	2	188	False
13571	1	109	False
491	2	86	False
20725	4	218	False
36417	1	77	False
27485	2	90	False
51223	1	104	False
34426	6	97	True
15312	2	120	True
3869	3	73	True
37810	2	86	False
28659	2	124	False
38322	6	136	True
23496	2	72	False
34506	1	132	False
25751	1	60	False
29078	1	144	False
47417	4	113	True
18062	1	50	False
5027	2	74	True
20891	8	128	True
16634	5	68	False
743	3	86	False
41706	1	21	False
29439	5	139	True
14697	1	65	False
40978	8	120	False
8682	2	51	False
47421	1	60	False
31429	4	39	True
25271	2	105	False
1542	2	31	False
46158	1	83	False
21553	1	40	True
34854	2	31	False
44950	2	35	True
49457	1	57	False
19636	2	43	True
33344	4	34	False
24559	10	155	True
39357	1	25	False
20751	1	34	False
13378	1	23	False
4485	1	55	False
43288	1	37	False
7530	4	40	True
17838	2	34	False
6699	1	17	False
4852	1	28	False
11511	3	39	False
8212	12	53	True
2323	2	33	True
34489	1	37	False
6762	3	59	False
1960	2	47	False
24468	2	45	False
10976	2	15	True
13808	1	18	True
31293	4	28	True
10268	1	29	False
26900	6	43	True
34904	3	24	False
47635	4	24	False
42990	1	29	False
11469	1	36	False
30624	1	24	False
6233	1	18	False
17058	3	24	False
27042	9	51	True
956	2	72	False
44964	1	32	False
20922	2	43	False
39480	1	47	True
47642	2	11	False
20881	3	27	False
4601	8	46	False
27914	3	40	False
20736	2	34	False
40246	1	12	False
6773	2	34	False
26157	4	46	True
1800	2	35	True
16068	8	43	True
27052	1	17	True
47	2	18	False
22339	2	23	False
50430	2	18	False
6611	1	20	False
4443	5	57	False
30806	1	32	False
8537	4	51	True
36693	2	13	False
7395	1	22	False
28876	2	28	False
17488	1	8	False
31288	5	40	True
20124	3	23	False
8538	2	23	False
23497	3	50	True
43470	2	7	False
7529	2	35	False
28327	1	19	False
33969	1	11	False
31723	12	62	False
31223	1	15	False
767	1	16	False
20555	2	40	True
33584	11	30	True
33378	1	21	False
1801	1	22	True
8760	1	19	False
21108	1	33	False
24558	8	42	True
1309	7	21	True
13152	1	18	False
24459	4	20	False
14714	1	16	False
40975	9	41	True
40987	9	33	True
4431	2	35	True
28098	1	27	False
22791	1	6	False
10897	1	13	False
22761	1	13	True
8819	1	10	False
50172	1	10	False
748	1	14	True
6213	1	29	False
29483	2	29	False
8205	9	21	True
43523	2	9	False
11953	2	19	False
10983	1	20	False
31726	6	14	False
47116	1	12	False
23601	1	10	False
9542	2	20	False
11219	6	51	True
7596	3	28	False
44625	7	45	False
19329	2	24	False
13572	3	10	False
21251	1	18	False
28608	2	25	True
52236	3	41	True
19542	1	23	False
10957	5	30	True
10950	6	28	True
39965	10	48	True
1030	1	11	False
17655	1	11	False
32102	13	28	False
31430	2	28	True
500	3	23	False
28587	3	24	True
37804	6	19	True
31073	1	9	False
18944	2	31	False
43563	2	9	True
50865	1	8	True
52240	2	17	False
30048	4	16	False
11229	5	23	True
28798	2	31	False
5814	2	25	False
7538	2	29	True
23592	9	59	False
1570	2	11	True
32289	2	20	True
32647	2	27	False
43150	1	12	False
50915	1	4	False
30768	2	5	False
31756	3	10	False
9208	6	13	True
7442	1	24	False
2494	4	18	True
25976	1	6	False
33586	16	40	True
20886	6	17	True
44661	1	9	False
19809	2	12	False
17435	1	59	False
48172	2	5	True
34264	4	12	True
13972	1	12	False
15303	2	14	False
34975	1	15	False
21277	1	19	False
23772	2	14	True
13995	2	19	False
8686	2	16	False
41365	1	14	False
50698	1	8	False
39716	1	4	True
27768	1	18	False
51246	1	7	False
20059	1	35	False
23770	2	11	True
22506	6	15	True
22767	3	9	False
30281	6	17	True
17610	1	15	False
37812	1	5	True
7110	3	5	True
13166	1	18	False
42659	3	31	True
2793	1	14	False
28871	1	2	False
32103	16	20	False
34430	3	11	True
4594	1	6	False
17033	3	8	True
23603	1	12	False
