cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
6116	2	5762	False
18892	1	802	False
33037	6	1246	True
50029	11	457	False
18764	21	1004	True
40028	1	366	False
32609	21	594	True
32154	1	182	False
18260	2	411	False
47639	5	481	True
27053	2	183	False
1526	27	583	False
10971	4	207	False
28562	4	351	False
5804	4	475	False
8556	1	203	False
22654	3	402	False
13500	1	112	False
33849	12	282	True
1291	3	116	True
50054	2	415	True
41923	1	74	False
39646	4	490	False
7541	1	121	False
31723	34	287	False
15118	5	393	False
9421	5	289	False
22780	2	68	True
15726	3	164	False
42946	1	109	True
32117	4	89	False
1537	5	284	True
3658	13	430	True
1321	4	92	False
29485	1	76	False
21073	4	267	False
2973	3	81	False
44065	6	218	True
11711	3	220	False
27393	1	78	False
19326	2	132	False
22291	1	66	False
11825	1	88	False
31756	8	82	False
38320	2	73	False
21243	6	265	False
21702	3	175	False
31741	24	146	False
39988	8	143	True
9396	15	194	True
15588	9	155	True
16344	1	65	False
23609	12	296	False
32102	31	206	False
24463	13	278	False
13287	5	218	False
29442	2	120	False
50037	9	116	True
28664	1	125	False
16638	3	117	False
45829	4	78	False
19117	2	125	False
27614	1	82	False
41817	4	59	True
50079	2	100	False
6639	2	30	True
21705	3	124	False
28574	7	126	False
24082	1	177	False
1294	6	118	True
52219	3	140	False
45972	1	26	False
26594	7	82	False
17061	1	69	False
47419	5	68	False
18805	1	160	False
11954	2	65	False
32103	29	189	False
1574	3	130	False
48171	8	59	True
34904	2	35	False
28667	1	106	False
25852	1	114	False
44978	4	48	True
31730	12	91	False
47925	6	120	False
18247	2	135	True
39461	4	127	False
42999	1	47	False
1803	7	98	True
28330	3	55	False
3869	6	97	True
18813	1	37	False
20145	2	65	False
1591	3	88	False
22424	1	30	False
38581	1	52	False
50669	1	63	False
11960	1	75	False
33344	10	139	False
32108	17	249	False
45884	1	67	False
40594	4	50	False
42489	1	106	False
740	15	66	True
20740	2	104	False
15474	1	83	False
49748	1	66	False
32115	9	75	False
50080	1	61	False
34426	20	136	True
4435	10	83	False
11675	1	72	False
38516	5	81	True
31765	5	33	False
33845	9	116	False
32163	1	26	False
48213	1	17	False
23106	1	50	False
33852	8	45	True
46754	8	73	True
33197	1	39	False
46451	1	30	False
51239	7	32	True
21986	1	82	False
47717	1	95	False
22643	14	224	True
28595	2	86	False
20131	16	122	True
42011	1	36	False
2182	28	134	True
19327	7	44	False
22156	4	37	False
19346	4	130	False
34602	5	30	True
33339	16	110	False
19947	1	43	False
21569	1	39	False
17423	11	87	False
24459	9	102	False
35724	1	132	False
7484	1	86	False
43751	1	27	False
20750	3	31	False
39354	3	37	False
34266	6	123	True
44722	1	24	False
33327	6	46	False
46966	1	19	False
13286	1	18	False
33646	1	52	False
16836	3	33	False
44627	12	93	False
26907	10	161	True
31296	13	118	True
42100	1	18	False
25970	33	447	False
41571	2	46	False
31720	10	39	False
48172	6	37	True
20367	17	94	True
23633	3	102	False
22652	3	111	False
27722	1	67	False
36382	12	84	True
41585	1	48	False
33851	11	126	True
49035	13	107	False
18051	2	50	False
25202	6	98	True
29439	12	96	True
15143	11	54	False
33347	2	134	False
28566	15	91	False
16420	16	87	False
24235	2	46	False
51245	2	35	False
2899	1	23	False
40602	1	44	False
27262	1	61	False
20719	4	58	False
15163	1	30	False
27475	9	186	True
14695	2	49	False
13814	3	61	True
5604	1	49	False
23608	13	132	True
42521	5	48	False
23981	3	95	True
1049	1	93	False
31284	20	158	True
40450	1	74	False
28592	6	88	False
28637	2	21	False
48321	1	22	False
33332	8	87	False
12937	17	104	True
23639	3	68	True
35651	14	64	False
50686	3	27	False
19649	1	47	False
49175	5	33	True
5828	2	67	False
42035	3	44	False
26731	2	51	False
12644	2	93	False
9206	2	27	False
46051	1	17	False
41840	2	17	True
10558	1	30	False
7590	3	99	False
18245	2	73	False
2921	2	15	True
104	2	46	False
41578	1	74	False
40978	38	253	False
50872	6	23	False
34600	8	76	True
8715	2	56	False
22648	4	53	True
5817	4	51	False
26386	2	39	True
42959	4	33	False
29514	2	21	False
15586	15	63	True
9901	2	37	False
31431	4	59	False
30581	1	19	False
15967	1	49	False
10628	1	23	False
11961	1	48	True
1372	1	22	False
10106	2	43	False
39968	1	54	False
34011	1	13	False
20930	1	35	False
41909	2	28	False
32385	1	13	False
49033	6	40	True
46418	1	60	False
22149	5	26	False
36260	1	14	False
19883	1	19	False
40049	1	31	False
50025	25	102	True
28807	1	79	False
22761	15	84	True
40013	4	22	True
25661	2	50	False
6761	6	40	True
4596	8	99	False
27320	1	11	False
28387	1	40	False
10434	2	11	False
36389	4	37	False
41811	16	45	True
15809	1	24	False
9410	1	30	False
49412	2	33	False
50866	8	111	False
41901	1	18	False
45404	2	11	False
20299	1	36	False
20547	2	41	True
28657	1	23	False
15715	1	19	False
8212	34	131	True
21251	3	45	False
38332	2	17	True
42637	1	37	False
32146	1	22	False
21567	2	61	True
28801	5	31	False
28573	2	32	True
6769	8	43	False
26597	9	36	False
48596	4	31	False
40831	7	37	False
19874	3	48	True
49699	1	33	False
16662	2	37	False
5029	3	54	False
11511	1	11	False
30308	1	33	False
734	10	77	False
48174	4	18	False
31716	22	109	False
28614	4	34	False
22238	1	13	False
33340	3	27	False
8835	1	31	False
35085	2	24	False
27660	4	33	True
2530	2	25	False
6334	1	16	False
52259	1	19	False
26904	17	87	False
31747	4	26	False
43841	17	100	True
24558	21	98	True
49410	3	30	True
24564	7	51	True
4625	2	7	False
34430	6	43	True
20420	1	46	False
45488	1	8	False
