cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
36889	2	668	False
45382	3	442	False
20895	2	489	True
2924	1	126	False
30983	1	159	False
1550	6	217	False
18036	2	156	True
17488	1	142	False
24857	7	147	False
31169	1	117	False
45816	1	178	True
27470	1	83	False
50015	1	83	False
19920	2	120	False
36633	2	104	False
14407	1	75	False
51239	1	55	True
10865	1	70	False
12130	1	62	False
23512	2	59	False
47224	1	146	False
1346	1	54	True
26903	4	58	True
25118	1	56	False
33765	1	75	False
32644	1	68	False
51440	1	90	True
2749	2	77	False
51452	3	95	False
1622	2	56	False
33325	2	43	False
36930	2	48	False
50876	4	59	False
40181	2	42	False
33851	5	43	True
50868	2	42	False
22780	1	49	True
27045	2	35	False
40244	2	74	False
30758	3	50	False
1530	6	74	True
35660	2	44	False
46329	6	50	True
25970	2	45	False
51233	2	57	True
19554	1	34	False
50648	1	68	False
39117	1	41	False
23498	4	44	True
20393	1	52	True
45427	1	48	False
1784	1	18	False
39919	1	36	False
41824	1	11	False
1582	1	27	True
39469	1	48	True
1521	3	54	False
18947	1	69	False
34605	2	27	False
4454	2	34	False
31280	2	25	True
22339	2	28	False
37964	1	19	False
22329	1	25	False
33760	2	35	True
20881	8	34	False
27286	4	41	True
25968	6	35	False
29674	1	27	False
1838	3	50	False
30774	3	93	False
7161	1	24	False
29770	1	30	False
50039	1	24	False
46459	1	17	False
50433	1	47	False
25213	2	15	False
44099	1	19	False
39644	3	22	False
17703	1	38	False
16435	1	18	False
28557	1	23	False
1814	2	58	False
40184	3	28	False
24564	2	22	True
7799	7	45	True
27140	2	49	False
26601	1	15	True
44052	1	24	True
50646	1	11	False
7835	1	16	False
45820	6	36	True
12943	2	36	True
43571	2	34	False
38912	1	13	False
1558	1	20	False
31143	1	27	False
31783	1	15	False
24559	6	58	True
30048	1	20	False
7943	2	18	False
18765	5	28	True
51740	1	22	True
30989	3	21	True
19249	1	29	False
25979	1	21	False
32291	2	37	False
42160	1	26	False
32290	2	24	False
37908	2	18	False
46755	1	21	True
42492	5	38	True
20751	1	17	False
27477	2	32	False
1458	1	14	False
45817	2	29	True
3656	1	15	False
35651	5	25	False
16446	2	25	False
23778	3	26	False
7097	2	15	True
3417	1	7	False
10848	2	16	False
50869	3	18	True
18546	1	19	True
25289	1	29	False
26902	1	22	False
5039	2	27	True
34431	1	21	False
22761	6	26	True
23509	1	12	False
8722	3	17	False
42485	2	24	True
39336	2	11	False
27519	1	15	False
32460	1	21	False
9945	1	14	False
34279	1	9	False
9941	1	12	False
20366	4	31	False
7812	2	25	False
3350	2	22	True
25974	1	3	False
48419	1	23	False
13808	3	20	True
27304	2	27	False
2905	3	15	False
15298	1	18	False
50878	1	33	False
50132	2	18	False
5032	3	24	False
15382	1	10	False
11472	3	19	False
44627	3	33	False
26606	1	17	False
42013	2	36	True
8209	11	43	False
35067	1	22	False
22189	1	5	False
45388	4	31	False
47660	1	14	False
52236	3	36	True
25408	2	21	False
740	6	24	True
10410	3	18	True
2221	1	13	False
359	4	19	False
5027	1	8	True
32103	12	34	False
372	1	14	False
50877	2	11	True
26660	1	22	False
17605	2	35	True
7471	1	16	False
24401	1	20	False
25150	1	15	False
47417	1	10	True
42490	3	25	False
742	1	6	False
31304	1	12	True
50037	3	10	True
28338	1	43	False
42979	2	10	False
3782	1	7	False
1803	2	20	True
5620	1	8	True
21742	1	13	False
26913	3	11	True
32289	2	15	True
11951	1	10	False
22765	2	14	False
21550	4	17	False
20383	1	42	False
33852	2	10	True
1322	1	10	False
50439	1	7	False
8701	1	7	False
18239	3	20	False
47439	1	25	False
