cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
12934	2	3890	False
37651	2	3062	False
9522	1	1206	False
51445	1	2089	False
18764	10	2193	True
2910	1	340	False
37093	1	577	False
20143	3	860	False
41996	2	271	False
10432	2	393	True
39666	3	357	False
7797	7	494	True
23503	12	559	True
10987	2	599	False
27475	1	282	True
29441	11	244	False
42960	3	331	True
930	2	182	False
37672	1	281	False
32112	4	392	False
6606	16	471	False
30768	1	355	False
6616	3	196	True
4600	2	325	False
40173	2	216	True
49835	2	210	False
47415	9	237	True
25207	1	185	False
28818	1	176	True
41553	7	169	True
25217	5	318	False
739	5	125	False
1798	7	232	False
11504	1	102	False
27050	14	154	False
47420	2	110	False
12055	1	106	False
33344	7	345	False
46800	1	109	False
33421	1	111	False
41597	1	50	False
20157	3	83	True
1596	5	131	False
40982	2	113	False
42327	2	189	False
25791	1	97	False
35680	3	102	True
27045	3	135	False
10441	2	55	False
37203	1	104	False
51743	4	142	False
10410	3	78	True
20367	11	119	True
29247	16	130	True
15114	4	231	False
37805	13	188	True
33853	5	84	False
11685	3	103	True
25260	2	88	False
42488	4	156	False
27484	2	105	False
44084	2	103	True
12943	7	66	True
11470	2	176	True
42021	1	79	False
4603	1	37	False
48181	3	20	False
31723	41	474	False
2497	8	101	False
31813	1	81	False
20883	4	84	False
8722	4	104	False
41559	3	51	False
50878	8	88	False
34099	3	125	False
7530	5	45	True
27457	2	134	False
1310	7	102	True
10964	2	30	False
20880	8	54	True
40978	10	88	False
14523	1	40	False
23592	18	198	False
3919	1	69	False
32823	3	85	False
38518	1	73	False
13816	3	56	False
28362	1	63	False
33584	22	66	True
43257	1	62	False
16420	12	143	False
17427	6	53	False
17231	1	33	False
18788	1	61	False
18833	3	44	True
45380	6	90	True
32629	1	63	False
20365	1	101	False
33845	12	232	False
19332	1	48	False
44623	7	119	False
21563	3	43	False
8223	1	82	False
27055	3	54	False
17377	1	30	False
28122	5	80	False
28371	2	38	False
42926	13	99	True
8366	1	23	False
17830	2	56	True
47635	8	113	False
35736	2	39	False
31753	3	16	False
23497	17	96	True
18765	11	93	True
16849	1	47	False
361	4	77	True
43842	13	70	False
46779	2	63	False
50876	2	39	False
4682	1	32	False
33759	4	87	False
50427	4	52	False
1309	12	50	True
20131	11	39	True
30755	4	63	False
25210	2	101	False
9383	4	101	False
30527	1	29	False
48584	16	57	True
1292	6	51	True
30311	1	28	False
21564	1	29	False
20895	5	174	True
51343	1	35	False
48009	1	36	False
47925	2	49	False
41827	2	17	False
45895	1	43	False
25658	3	60	False
7801	2	39	False
49154	2	24	False
31307	1	51	False
44064	5	50	True
37808	1	21	True
8681	3	200	True
42953	4	72	False
13970	3	29	False
1530	4	41	True
21561	1	31	False
978	1	29	False
23772	4	54	True
32616	3	79	False
51232	2	36	True
51236	3	38	True
25968	17	74	False
6135	1	22	False
34430	4	50	True
50880	11	38	False
26618	2	44	False
2511	7	69	False
24558	15	62	True
52225	2	38	False
36688	2	107	False
17834	3	33	False
47636	13	99	True
2614	1	35	False
9379	3	59	False
15115	1	21	False
23814	4	36	True
43540	2	29	False
16784	1	47	False
50025	16	50	True
41551	6	54	True
1631	1	20	False
20886	8	69	True
8709	2	47	False
15299	8	65	True
11948	1	22	False
44625	9	57	False
20124	5	32	False
25252	4	46	False
31716	23	219	False
9863	6	73	False
1537	5	42	True
22761	7	55	True
41817	2	13	True
45653	1	43	False
5626	1	29	False
9426	1	45	False
32103	31	134	False
9869	3	23	False
27052	1	65	True
32102	16	49	False
50081	1	25	False
41585	4	36	False
33849	9	49	True
46329	7	43	True
15141	2	39	False
6391	1	31	False
29468	3	38	False
4601	14	45	False
44227	5	45	False
36383	5	36	False
26912	3	28	True
42943	13	120	False
1300	7	45	False
41811	2	11	True
31429	5	42	True
26952	1	17	False
3878	5	41	False
25212	9	46	True
28816	3	34	False
43565	1	18	False
50100	1	19	False
30129	1	24	False
12948	2	16	True
43148	5	37	True
31150	4	25	True
9389	5	41	False
36191	2	22	True
32108	7	38	False
5957	1	23	False
45399	4	20	False
34267	4	46	False
23372	2	47	False
50029	2	28	False
40819	1	11	False
51028	1	43	False
31765	1	8	False
15586	7	47	True
26169	2	44	False
9897	1	29	False
50743	1	15	False
25970	21	71	False
46077	1	14	False
43848	5	21	True
14013	2	16	False
734	13	50	False
25197	6	48	True
6155	5	23	True
30757	1	29	False
34441	5	33	True
33609	1	14	True
45122	5	16	False
20887	9	41	True
25977	3	32	False
33929	1	15	False
50897	2	16	True
30850	1	17	False
50113	1	14	False
2109	1	14	False
34426	15	86	True
29619	1	17	False
9217	5	19	False
32290	3	38	False
1598	1	18	False
39999	1	29	True
8867	1	17	False
34431	1	25	False
14009	1	54	False
17162	1	16	False
16623	1	23	False
50497	1	28	False
34462	2	11	True
22327	5	33	True
52217	6	33	False
25673	1	44	False
5728	2	11	False
21569	1	17	False
24227	2	32	False
33331	12	35	False
18009	1	6	False
20773	1	18	False
26746	4	19	True
23798	2	22	False
42936	1	29	False
38685	4	50	False
41841	1	7	False
33345	10	36	False
34112	2	36	False
51239	2	17	True
10996	1	20	False
20889	2	31	True
39347	7	42	False
47067	1	27	False
16840	1	14	False
37429	1	28	False
10403	11	52	False
32641	2	32	True
8679	2	20	True
51748	1	16	False
39975	7	46	True
7827	3	23	False
28594	3	26	True
44980	2	22	True
28592	8	42	False
20760	1	21	True
14930	1	18	False
29439	9	42	True
36694	2	14	False
41835	2	4	False
34445	10	31	True
23839	1	14	False
1968	2	28	False
34436	11	52	True
50028	9	48	False
38912	2	25	False
19628	12	45	True
50088	1	9	False
47416	4	21	False
42547	2	21	True
33770	4	17	False
8216	2	11	False
31292	6	29	True
1526	8	25	False
1344	1	10	False
32127	1	9	False
33330	5	23	False
34601	3	21	False
1525	6	26	True
50648	1	24	False
50434	3	41	False
41349	2	22	False
30784	1	12	False
1547	5	15	False
5806	2	17	False
17715	1	30	False
28512	1	10	False
38324	5	28	True
39964	4	18	True
3876	12	31	True
31748	3	25	False
42512	1	9	False
16069	10	16	True
15145	3	16	False
17436	1	12	False
15590	1	14	True
13189	1	20	False
18776	2	16	False
8217	2	21	True
50042	2	18	False
42663	3	14	False
37405	4	31	True
31741	12	41	False
52216	8	33	False
24462	1	26	False
25644	10	42	True
17446	2	11	False
33515	1	17	False
37816	2	17	False
23774	6	24	True
38515	6	27	True
18052	1	14	False
24122	1	13	False
39369	1	26	False
44061	14	49	True
35942	3	14	False
7557	5	31	False
33343	2	32	False
32448	6	23	False
51247	1	8	False
44047	4	26	True
28803	2	21	False
31718	14	55	False
26743	1	15	True
10412	4	21	False
7798	9	43	True
30777	3	34	False
42708	1	17	True
28570	7	36	True
6853	1	16	False
39677	2	16	False
26275	1	15	False
35679	3	13	False
51847	4	14	False
39655	5	32	False
22153	2	4	False
37911	5	24	False
26004	2	9	False
29842	2	54	False
33339	11	25	False
1535	6	25	False
746	6	36	False
49175	3	13	True
9378	13	49	True
18953	1	13	False
736	7	21	False
41939	1	3	False
11473	2	24	False
9132	1	7	False
50905	2	14	False
628	1	10	False
43853	1	22	False
7830	2	29	False
2193	3	26	False
40597	5	23	False
5450	3	22	False
34437	11	30	False
16422	4	17	False
41807	1	3	False
45402	1	24	False
10064	6	20	False
3664	2	34	False
21567	1	29	True
2209	4	43	False
25645	10	50	True
36194	3	13	False
41839	1	7	False
16657	2	14	True
31053	1	13	False
35063	1	9	True
8209	15	47	False
17037	3	12	False
44257	1	13	False
10079	1	11	False
23498	14	75	True
2749	2	12	False
25199	7	40	False
13583	3	17	False
47924	1	8	True
5028	5	32	False
35701	1	11	False
51233	2	19	True
37595	2	13	False
8222	1	7	False
27686	2	8	False
1312	1	7	False
20139	3	15	False
3674	1	13	False
1971	4	28	True
49034	3	22	True
13127	3	13	False
7531	2	13	False
49035	5	17	False
20908	4	14	False
24559	11	34	True
1291	2	18	True
25888	1	15	False
28109	4	39	True
39357	1	17	False
41346	2	10	True
20888	12	42	False
16083	1	13	False
21937	1	10	False
20882	5	18	True
15599	2	19	True
27286	3	23	True
51472	1	11	False
46921	2	23	False
30090	1	15	False
51729	1	8	False
26627	1	13	False
4445	1	10	False
33332	5	21	False
39365	1	19	False
44218	2	16	False
3874	2	20	False
10421	2	10	False
30986	1	9	False
15594	6	24	True
33854	9	23	True
20881	7	21	False
22138	4	5	False
748	5	29	True
27127	6	21	False
18965	3	30	False
39985	1	12	False
45642	1	11	False
33390	1	17	False
8206	10	23	True
33141	2	7	False
31288	6	32	True
1549	1	12	False
33942	1	6	False
31771	2	8	False
44967	2	7	True
22310	2	7	True
1956	4	16	True
27479	2	22	True
25991	1	28	False
50874	5	21	True
47641	9	21	True
23509	3	12	False
9213	2	3	True
34466	5	14	True
23136	1	11	False
48177	1	2	False
1301	3	11	False
39077	1	17	False
2740	3	10	True
39477	2	11	False
31159	5	15	True
39078	6	28	False
33844	10	35	False
36700	1	7	False
28101	3	12	False
38516	1	24	True
37918	4	14	False
16449	5	22	True
10332	2	15	False
1342	5	27	False
15943	1	7	False
31154	1	21	False
29625	1	23	False
34459	1	5	False
25234	2	16	False
37503	1	12	False
27490	2	22	False
43841	6	15	True
20722	3	10	True
10960	7	12	True
31734	1	11	False
49027	9	24	True
41809	2	3	False
26741	1	14	False
50219	1	6	False
38338	2	10	True
25646	3	12	True
37901	4	25	True
17691	1	8	False
49038	3	8	False
15620	1	13	False
25206	5	15	False
16429	2	10	False
15293	2	10	False
46037	1	16	False
48781	4	13	False
47639	9	30	True
24459	6	11	False
18980	2	9	False
1573	2	7	False
40217	2	22	False
39712	1	14	False
44045	10	25	True
26430	1	6	False
51725	4	25	True
35653	2	4	False
3869	7	29	True
52114	1	8	False
21271	2	7	False
951	2	10	False
13989	2	9	False
44560	1	13	False
17823	1	15	False
31715	4	18	False
6012	8	29	True
51726	4	15	True
32116	10	32	False
15596	3	11	True
41181	1	8	False
27131	7	21	False
7818	3	27	False
22360	2	11	False
30281	3	6	True
28118	3	16	False
37417	1	7	False
40244	1	17	False
37813	2	9	True
33368	2	9	False
1341	2	12	False
46327	2	9	False
32025	1	6	False
26384	4	14	False
40367	1	9	False
51733	6	20	True
26903	5	19	True
37588	8	18	True
39965	12	34	True
6367	1	6	False
35659	1	6	False
35724	1	6	False
30975	13	26	True
27135	2	14	False
34600	10	18	True
4849	1	13	False
17488	3	9	False
40174	1	6	False
42519	4	11	True
32301	1	11	False
4602	7	10	False
6233	2	6	False
39667	3	24	False
15294	2	10	True
32105	3	6	False
20920	2	14	True
22506	13	29	True
37702	1	8	False
20399	2	4	False
35102	1	11	False
25643	11	35	False
31144	6	34	True
9238	3	5	False
26588	7	15	False
30520	2	8	False
2912	1	2	True
44634	4	14	True
37815	4	11	False
13945	1	9	False
45825	2	12	False
35911	2	13	False
43545	1	6	False
7800	1	7	False
31140	2	9	True
22783	1	8	False
40634	4	11	False
803	1	4	True
48171	7	14	True
25987	2	17	False
27670	5	9	True
11138	1	8	False
36382	8	15	True
29767	1	2	False
26597	5	27	False
27300	2	7	False
23804	1	13	False
44950	4	7	True
17435	10	18	False
7799	13	26	True
18775	6	23	True
17835	6	11	False
17765	1	13	False
2183	4	11	True
32291	3	9	False
1522	10	32	False
32118	2	15	False
20746	1	8	False
37804	4	10	True
32820	2	11	False
26386	7	46	True
29254	1	7	False
33612	4	9	False
37927	1	7	False
51227	6	16	True
22642	1	7	True
16473	1	5	False
17423	12	22	False
40222	1	7	False
38225	1	6	False
42498	2	23	False
26900	10	27	True
50037	3	7	True
776	4	14	False
31015	1	7	False
22146	2	2	False
10416	2	4	False
7621	2	9	False
28580	1	8	True
1534	5	14	False
26904	6	15	False
2906	2	6	False
34656	1	8	False
18422	1	5	False
26222	1	8	False
27663	4	16	False
5636	1	6	True
20177	1	8	False
30055	3	10	False
43593	1	7	False
7090	4	16	False
40073	1	3	False
32128	2	15	False
49431	1	20	False
30763	1	17	False
19626	2	9	True
31295	4	17	False
27468	2	5	False
20725	3	14	False
37714	1	11	False
16834	12	42	True
6199	1	5	False
41836	1	2	False
17449	2	12	False
43556	4	14	False
2900	1	1	False
27293	5	26	False
39509	1	1	False
50694	1	1	False
13828	1	7	False
50061	1	5	False
3350	1	4	True
50877	4	18	True
44959	10	20	True
44981	2	11	True
16634	4	17	False
33282	1	5	False
50066	2	5	False
27463	2	10	False
29076	1	17	False
33597	3	6	False
30981	4	15	False
33587	5	10	True
27922	3	6	True
27494	1	6	False
30412	1	5	False
11662	1	22	False
2930	2	3	False
33769	6	11	False
44176	5	12	False
8213	2	8	False
19869	4	9	True
20552	4	8	True
23961	4	5	True
52214	2	15	False
14917	1	11	True
35347	1	14	False
51875	1	10	False
10642	4	14	False
36024	2	12	False
26906	4	14	True
48587	6	12	True
19867	2	9	False
25189	1	10	False
1583	2	10	False
18774	2	19	False
36503	1	3	False
5033	2	20	True
18405	1	11	False
18067	1	16	False
30792	1	7	False
2899	2	3	False
20126	9	19	False
24610	1	2	False
19734	1	4	False
5799	4	9	True
7527	7	20	True
32613	2	6	False
35704	1	6	False
41822	1	1	False
44046	20	41	False
31296	11	19	True
17828	4	13	False
34116	2	10	False
22650	2	12	True
37450	1	4	False
6035	1	3	False
43543	3	11	False
33392	2	8	False
22784	1	9	False
44962	4	10	True
24491	1	9	False
23594	5	15	True
23963	6	10	False
6003	2	5	False
31740	4	14	False
5024	16	45	False
43579	4	10	False
41521	1	9	False
26909	2	7	True
17612	1	15	False
50893	4	12	False
35645	5	14	True
46318	2	8	True
38322	6	12	True
44631	2	12	True
17425	1	3	False
50031	1	3	False
3702	1	14	False
6019	1	2	False
22149	2	2	False
34446	1	6	True
17862	1	4	False
34294	1	8	False
5825	1	7	False
4596	4	8	False
27456	5	12	False
37908	2	14	False
37819	2	5	True
28336	4	15	False
47441	1	9	False
33079	1	3	False
370	5	11	False
7828	1	3	False
45022	1	10	False
30993	5	9	False
22768	2	8	False
30780	1	5	False
7084	11	29	False
47426	1	6	False
42945	1	9	True
48908	1	4	False
23794	2	5	True
7128	1	10	False
20896	4	7	True
45388	3	5	False
49028	9	13	True
7598	2	5	False
44057	7	13	True
42970	1	7	False
26599	11	20	True
31293	11	20	True
48618	2	5	False
28574	2	9	False
28605	3	7	False
7634	1	2	False
8210	1	5	False
48172	2	3	True
7796	3	8	False
26733	2	2	False
33544	1	3	False
1340	1	13	False
7097	3	12	True
20503	1	2	False
40599	1	3	False
42691	3	7	False
1049	1	12	False
40420	1	5	False
17508	1	5	False
26901	2	9	False
22763	3	11	True
46043	1	5	False
34444	2	14	True
15595	2	4	True
2745	1	5	False
20374	6	26	False
8605	1	7	False
32824	2	7	False
1957	2	5	False
27987	1	3	False
39971	4	12	True
44635	2	8	False
32609	5	14	True
39469	5	9	True
31137	10	21	False
38044	1	1	False
24608	3	9	False
36788	1	7	False
1315	1	13	False
25194	15	42	True
46320	1	7	True
34435	6	10	False
9951	1	6	False
36933	2	6	False
2332	1	8	False
16820	1	4	False
8208	5	14	False
42552	1	3	False
42533	1	4	False
28177	1	2	False
28107	3	6	True
46056	2	7	False
33760	11	22	True
1795	5	20	False
34265	1	3	True
48782	2	7	True
35913	2	9	False
46762	8	16	True
33857	4	10	False
29325	1	4	False
20930	1	7	False
28401	1	11	False
24230	1	5	False
36380	15	28	True
16632	6	12	True
6157	4	16	True
1196	1	3	False
26734	2	5	False
26905	3	9	False
3915	1	2	True
30761	2	5	True
42939	1	4	False
25202	3	8	True
43287	2	10	False
42932	15	22	True
4134	1	2	False
7554	3	5	False
43163	1	4	False
31494	2	13	False
10067	3	13	False
32611	3	7	True
40647	1	4	False
35058	8	12	True
31284	8	20	True
41558	1	2	True
18970	1	4	False
14906	1	4	False
13991	11	23	True
18940	2	5	False
5627	2	9	False
20188	1	6	False
34143	1	3	True
1821	2	8	False
27042	14	22	True
15305	2	6	False
6824	1	4	False
42019	5	15	False
27502	1	5	False
25969	2	7	False
26910	1	2	False
37841	1	2	False
31161	3	14	False
31337	1	3	True
50378	1	2	False
24235	1	2	False
34297	1	10	False
21279	2	5	False
10667	3	9	True
42957	3	11	True
10409	5	10	True
7551	1	3	False
13992	6	20	False
40188	3	13	False
51740	2	10	True
37811	2	7	True
44629	2	8	True
13812	1	5	False
3908	1	9	False
25273	1	5	False
4608	6	13	False
48596	3	6	False
5026	7	12	True
42944	3	9	False
9381	8	22	False
52219	1	4	False
22186	1	1	False
48500	1	2	False
23779	1	10	False
37814	2	3	False
51376	1	2	False
33707	1	8	False
20127	6	22	False
27704	1	3	False
31736	7	13	False
43601	1	3	True
8698	1	4	False
14227	1	5	False
27692	2	5	False
2499	3	12	True
44972	2	8	False
29863	1	4	False
30971	6	15	False
2904	2	2	False
44627	5	11	False
18938	2	6	False
23783	2	9	False
23781	1	3	False
22320	1	2	True
39462	4	9	True
25697	1	2	False
17841	2	3	False
47928	3	6	False
22148	1	1	False
18546	2	6	True
52229	1	5	False
43694	1	3	False
43584	2	9	False
43145	4	10	False
37817	1	2	True
20735	2	10	True
31162	1	3	False
1323	2	3	False
34105	5	14	False
14366	1	6	False
41555	6	10	True
29252	6	10	True
11499	2	9	False
21821	1	8	False
43008	1	9	False
31156	2	3	False
43146	3	8	False
23767	8	28	True
7953	2	11	False
743	8	18	False
31730	13	38	False
25450	7	19	False
21044	1	3	False
48829	2	4	False
48019	1	3	False
40527	1	4	False
33353	1	2	False
17039	1	2	False
6790	1	8	True
31299	1	6	False
27149	2	11	False
44644	2	8	False
31833	1	2	False
3143	1	1	False
25140	1	5	False
43567	1	5	False
22365	4	10	False
39647	2	4	True
48662	1	1	False
21981	1	2	False
34839	1	3	False
1319	2	3	False
45393	4	6	False
20381	3	7	False
40075	1	2	False
43947	2	7	True
28799	4	9	False
42012	13	26	False
8975	1	10	False
51737	2	3	False
26748	2	10	False
3659	1	5	False
13573	2	5	False
38914	2	6	False
7134	2	4	False
34103	5	16	True
25193	1	4	False
39081	2	7	False
29526	1	4	False
2185	13	18	True
22513	3	7	False
45175	1	4	False
5025	6	17	False
11836	1	11	False
42033	2	7	False
12946	3	7	True
1532	9	21	True
1322	3	5	False
50451	2	5	False
22760	8	14	True
17839	2	4	False
1814	7	16	False
1797	4	12	True
33880	1	2	False
45829	2	4	False
32117	2	8	False
13144	2	4	False
34432	10	18	True
31440	4	9	True
42673	1	4	False
43847	7	14	False
40658	1	2	False
28598	1	4	False
18575	1	4	False
7803	1	7	False
39567	1	3	False
33393	2	5	False
15373	1	5	False
28338	5	6	False
42168	3	12	False
39447	1	2	False
3887	2	3	True
46331	11	35	True
29447	11	13	True
40615	5	14	False
19874	6	7	True
36381	7	13	False
5459	4	7	False
39979	1	4	False
52221	7	20	False
22188	1	1	False
24564	5	20	True
42494	5	9	False
39688	4	6	False
12938	6	10	False
20551	1	2	False
29444	4	8	False
42175	7	14	False
31454	3	10	True
44200	1	4	False
26590	3	7	False
35138	1	5	False
6372	1	5	False
31726	3	4	False
20151	2	6	False
41581	2	3	True
28567	11	21	True
2328	2	6	False
12947	2	5	True
359	6	12	False
362	2	4	False
13969	1	4	False
22160	1	1	True
1582	1	3	True
50886	1	2	False
22319	1	2	True
18854	1	3	False
48585	4	7	False
738	7	9	True
27660	2	4	True
37590	7	12	True
23998	2	3	True
40579	2	5	False
12937	11	18	True
35157	1	2	False
6762	6	17	False
11962	6	14	False
27123	5	12	True
1550	3	7	False
40184	2	3	False
25997	2	5	False
31138	4	6	True
22478	1	2	False
3868	2	4	False
30635	1	3	False
28337	1	1	False
1477	1	4	False
46336	2	9	True
50454	1	2	False
4166	1	3	False
28569	5	10	False
6043	1	2	False
33556	1	2	False
1524	1	6	False
33372	1	2	False
35660	4	6	False
39320	10	14	True
30787	1	5	False
27776	1	2	False
24217	2	7	False
51433	1	3	False
35520	1	6	False
45394	1	5	False
13118	5	8	True
30287	1	7	True
38700	2	3	False
43525	1	1	False
37238	1	20	False
33950	1	4	False
27327	3	4	False
29098	1	7	False
18824	1	2	False
26902	5	12	False
26942	1	2	False
50884	2	5	True
34840	1	2	False
48637	1	2	False
30984	1	5	True
31747	1	4	False
17836	1	3	False
28603	1	1	False
23356	1	4	False
11481	4	11	False
44954	1	2	False
8312	1	2	False
52241	2	4	False
22145	1	1	False
15122	3	6	True
1585	2	5	False
33847	1	2	True
18239	3	4	False
32631	1	1	False
34400	1	2	False
34457	2	4	False
20884	4	6	True
51246	4	5	False
7088	6	10	False
51230	3	6	False
805	1	7	False
23979	1	3	False
51608	2	4	False
46906	5	30	True
30370	1	2	False
16428	2	18	False
15123	3	6	False
18578	1	9	False
4875	1	2	False
33359	1	3	False
32559	1	8	False
32294	3	4	False
50868	2	3	False
20743	2	4	False
31153	3	4	False
22335	1	3	False
26913	3	5	True
49824	1	2	False
35742	1	4	False
15291	5	10	True
9211	5	11	False
1294	2	3	True
3870	9	23	False
25209	2	8	True
27044	10	17	False
51455	1	4	False
16664	1	7	False
49200	1	2	False
41577	1	3	True
5622	4	7	False
10666	1	2	False
5815	1	5	False
16421	6	10	False
12994	1	7	False
41925	1	1	False
27491	3	4	True
33877	1	4	False
1521	5	9	False
7821	4	7	False
1557	1	2	False
43547	4	7	True
27539	1	2	False
51745	1	2	False
22346	1	1	False
37903	1	2	False
51878	2	6	False
4428	5	10	True
46033	2	5	False
17041	1	1	False
9215	6	10	False
8212	10	19	True
51452	1	2	False
45433	1	3	False
51456	2	5	False
10975	2	8	False
12468	1	3	False
45125	2	5	False
3284	1	1	False
28600	1	4	False
24466	1	2	False
17430	10	16	False
1533	4	7	False
7795	1	2	False
50652	1	2	False
42855	1	1	False
1391	1	1	False
22770	2	4	False
41563	5	9	True
46053	1	1	False
