cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
35693	4	1286	False
48314	1	358	False
16643	11	1469	True
37806	1	776	False
13822	2	708	False
24210	2	673	False
937	5	461	True
41166	1	348	False
42499	3	145	False
4596	9	414	False
5444	9	321	True
49492	1	328	False
24459	8	224	False
47639	13	313	True
15139	6	188	False
23787	8	225	False
13571	9	127	False
28341	6	210	True
22760	6	126	True
41810	7	120	False
44083	2	146	False
7525	12	110	True
18833	3	111	True
22505	4	162	True
1538	7	213	True
49200	1	169	False
46331	18	345	True
46906	15	294	True
28844	2	126	True
49869	1	175	False
22908	3	119	True
1586	4	183	True
2737	4	105	False
6606	4	133	False
11602	1	59	False
30749	1	115	False
45118	5	83	False
50059	2	106	True
31153	6	168	False
37908	2	90	False
44633	4	93	True
2502	4	108	False
45122	8	87	False
43145	7	74	False
36817	1	56	False
28383	1	114	False
46068	1	284	False
40207	1	104	False
26386	7	66	True
7797	5	312	True
1552	1	284	False
15291	5	55	True
1294	12	112	True
754	1	37	False
41032	1	56	False
10417	6	42	True
50904	1	64	False
40298	2	58	False
4428	14	98	True
19866	16	141	False
27123	18	153	True
50646	5	82	False
22229	2	22	False
10650	1	52	False
33774	2	40	False
36210	3	89	False
20891	19	113	True
10422	4	71	False
14020	2	51	False
26609	4	48	False
26108	1	83	False
48183	1	21	True
31720	14	60	False
31137	9	83	False
21578	1	17	False
28942	2	66	False
27510	1	33	False
33344	9	78	False
13169	1	71	False
31284	9	88	True
43846	6	91	False
8684	2	40	False
52256	2	45	False
26731	3	79	False
15299	7	116	True
39660	3	44	False
6005	14	111	True
23592	19	111	False
17613	2	20	False
7949	1	73	False
13970	2	31	False
49023	9	81	False
39548	1	31	False
25220	3	82	True
41814	1	15	False
1546	1	27	False
42773	1	58	False
9732	3	39	False
32289	2	80	True
28572	8	70	True
50025	25	120	True
44945	7	41	True
38841	1	35	False
47105	12	123	True
39668	3	49	True
33359	1	25	False
33334	5	15	False
39350	2	33	False
42523	1	51	True
33584	17	85	True
743	9	53	False
4593	10	24	False
26009	1	34	False
26903	6	48	True
19871	4	46	True
18972	3	19	False
46333	4	46	False
46067	1	28	False
1261	1	27	False
30991	10	84	True
4627	1	21	False
41811	5	21	True
44064	10	66	True
36654	1	19	False
17034	8	37	False
7090	6	43	False
24267	3	43	False
6365	5	65	False
17871	1	54	False
31723	29	96	False
98	3	68	False
41835	7	37	False
47106	9	47	False
24463	9	111	False
25643	16	50	False
33339	9	74	False
14934	1	35	False
5020	4	57	False
42498	2	43	False
16457	1	27	False
31748	4	49	False
28564	5	33	False
26900	16	80	True
27663	10	42	False
7562	3	63	False
5307	5	42	False
13118	5	41	True
30975	10	79	True
44634	3	48	True
23767	7	39	True
1844	1	24	False
34602	5	32	True
45416	1	32	False
49034	4	60	True
4431	5	51	True
41823	1	11	False
21553	7	19	True
29247	9	52	True
45833	3	35	False
44045	8	26	True
36747	2	17	False
7796	5	40	False
26151	9	175	False
50874	6	24	True
27661	5	42	True
24902	3	32	False
517	2	22	False
3704	1	14	False
27682	2	26	False
42925	24	52	True
38523	4	24	False
49889	1	29	False
20552	6	33	True
41551	14	43	True
35689	1	20	False
24583	4	26	False
2904	3	17	False
20908	3	27	False
2328	1	41	False
36251	1	28	False
27050	15	52	False
31296	7	60	True
27044	8	38	False
27133	7	56	False
104	2	20	False
44984	4	17	False
45163	1	25	False
17838	4	19	False
14012	1	27	False
4601	4	22	False
779	1	12	True
30998	1	21	False
28129	3	27	False
42973	4	35	False
4866	2	31	True
16418	11	74	True
25980	2	5	False
27075	3	21	False
31737	3	24	False
13809	6	43	False
26594	6	34	False
2912	3	12	True
50427	2	48	False
40577	14	98	True
28336	11	31	False
36201	2	30	True
25200	11	35	True
15313	5	19	False
20895	6	32	True
10693	3	21	False
28666	1	22	False
24852	5	45	True
31542	1	38	False
33849	15	54	True
32818	2	24	False
44959	12	33	True
46754	4	45	True
51737	4	16	False
7101	5	24	True
22539	1	6	False
25214	4	40	False
27460	5	16	True
31716	29	84	False
28105	2	26	False
22071	1	19	False
40833	2	51	True
29076	1	15	False
24270	1	7	False
44955	11	33	True
52232	5	26	False
11953	1	13	False
1532	13	32	True
32110	5	24	False
16068	11	53	True
7811	1	11	False
11469	2	27	False
4804	1	21	False
25845	1	21	False
35651	15	94	False
776	7	23	False
21033	9	49	True
39321	7	36	True
44047	8	25	True
28103	2	16	False
35655	5	33	False
37927	3	29	False
4612	11	31	False
7096	3	19	False
29245	14	30	True
22774	5	25	False
51458	3	11	True
45521	1	17	False
47902	1	19	True
7865	1	19	False
35653	8	10	False
33345	6	33	False
20398	3	7	False
22339	5	30	False
3666	1	18	False
4856	2	19	False
52242	2	12	True
50146	1	14	False
2934	2	6	False
28365	2	13	False
20407	1	21	False
2895	3	8	False
1340	3	60	False
18989	1	12	False
7958	4	20	False
24574	3	16	False
38514	2	25	False
33332	3	17	False
23790	2	12	False
26380	1	7	False
47942	1	22	False
34097	4	11	True
39988	10	23	True
5859	1	14	False
17033	15	49	True
24467	1	64	False
121	1	7	False
36748	1	16	False
20886	12	49	True
33596	4	24	True
34444	4	33	True
31904	1	22	False
17425	3	10	False
19714	1	14	False
29453	4	11	True
34436	32	69	True
1530	6	33	True
17029	4	8	False
24558	21	56	True
8137	1	9	False
48178	1	11	False
12936	11	20	False
36693	7	23	False
34493	2	26	False
22138	3	7	False
28358	1	26	False
3879	2	13	False
25974	2	12	False
48184	4	5	False
7992	1	22	False
26725	3	18	True
5856	2	29	False
47895	3	24	True
23808	1	15	False
18252	5	20	False
2899	1	7	False
47916	2	20	True
31287	1	12	False
40190	1	21	False
3347	2	19	False
48174	3	10	False
1526	21	73	False
6607	2	11	False
34446	7	15	True
41809	2	3	False
4624	3	12	False
39643	3	14	True
39607	1	2	False
15114	3	27	False
2897	1	8	False
11209	1	11	False
33604	1	13	False
18238	1	11	False
18773	1	10	False
23500	6	25	True
44207	1	21	False
22136	1	4	False
33844	15	40	False
18768	3	10	False
9211	3	17	False
43543	2	7	False
24226	4	30	False
16433	3	25	False
39981	5	13	False
51419	2	23	False
23816	2	14	False
15751	2	10	False
51847	6	18	False
48292	1	2	False
20374	2	19	False
36708	3	12	False
