cluster_number	number_tcrs_in_cluster	total_multiplicity	is_cancer_assoc
30757	1	3001	False
51214	20	4490	True
25970	42	3516	False
27466	4	2326	True
7634	2	731	False
33334	7	723	False
34995	1	1370	False
48184	9	522	False
44988	5	1354	False
30815	3	1231	False
20887	36	1255	True
22135	2	384	False
21556	6	889	False
25261	3	2047	False
48419	5	1398	False
9893	2	999	False
39677	2	1028	False
50030	20	1742	True
3876	25	1323	True
25645	14	811	True
31137	26	992	False
24459	12	212	False
34442	5	444	False
49824	3	226	False
9224	7	334	False
43161	2	476	False
42222	1	439	False
12938	10	429	False
27042	25	705	True
2924	4	168	False
43744	2	586	False
19866	8	415	False
9105	1	574	False
26909	12	480	True
27463	4	471	False
23816	7	271	False
44638	6	384	False
21152	1	380	False
3868	6	317	False
27301	3	521	False
41809	3	100	False
41807	8	156	False
19284	1	302	False
9215	14	352	False
52233	8	854	False
12968	2	318	False
35690	2	247	False
7799	36	609	True
22818	2	116	False
27468	3	264	False
42938	2	225	False
46788	2	214	False
44331	1	330	False
29596	8	188	True
1522	26	475	False
23497	21	327	True
19346	2	178	False
49981	1	217	False
6754	1	120	False
10075	3	234	True
30996	2	194	False
31148	4	195	False
22507	8	269	True
23807	4	191	False
6365	2	230	False
737	5	186	False
31540	3	265	False
31723	94	590	False
32116	12	117	False
1650	1	155	False
27059	1	76	False
50025	36	360	True
1803	13	514	True
33589	15	198	True
37254	2	239	False
7959	3	200	False
7605	1	125	True
18263	3	251	False
22408	1	214	False
10960	15	152	True
31288	13	186	True
8191	2	101	False
40418	6	193	False
32291	6	91	False
10403	19	356	False
20891	41	289	True
50028	38	369	False
46151	1	142	False
43555	3	196	False
47645	2	376	False
51795	1	223	False
33347	7	182	False
11471	5	183	True
7084	38	226	False
49852	2	157	False
33907	2	107	False
52251	6	214	False
43560	1	157	False
10643	2	87	False
39475	9	244	True
1664	1	92	False
25971	2	84	False
48195	2	37	False
46762	7	134	True
9211	13	177	False
17087	1	120	False
22313	19	121	True
3676	4	182	False
24232	3	330	False
734	15	130	False
33848	3	59	False
5027	12	197	True
18764	22	427	True
1530	14	219	True
31284	30	255	True
740	23	101	True
33339	32	248	False
47132	8	162	True
743	21	246	False
8722	6	184	False
35679	1	143	False
4604	1	137	False
23613	6	162	False
36191	8	139	True
47635	33	245	False
17038	2	106	False
11015	2	53	False
32612	1	289	False
26381	17	293	True
33325	5	111	False
51251	16	148	False
14365	2	131	False
29441	7	159	False
18775	11	200	True
34637	4	133	True
23962	7	149	True
17073	7	128	False
27340	1	197	False
47415	17	149	True
49023	17	357	False
30983	4	99	False
28386	3	283	False
25986	1	65	False
16422	19	222	False
41346	4	139	True
43165	1	116	False
20725	20	227	False
29082	2	140	False
27550	3	57	False
22329	5	70	False
41343	4	81	True
32103	46	455	False
29083	3	129	False
41840	4	45	True
48188	1	37	True
46045	2	77	False
37901	6	137	True
1550	12	152	False
31882	1	53	False
40978	35	223	False
22377	2	172	False
17824	4	120	False
33635	2	131	False
31770	2	53	False
51856	1	151	False
1851	2	102	False
37598	2	103	False
494	8	119	False
36387	3	86	False
43145	22	246	False
30774	11	106	False
39341	1	95	False
3264	1	23	False
11972	1	80	False
50914	1	63	False
5024	34	220	False
1321	3	71	False
33908	1	60	False
39107	1	72	False
34450	2	201	False
17082	2	112	False
23500	6	120	True
46182	1	77	False
1620	3	98	False
31716	29	175	False
32115	5	56	False
20886	33	125	True
27426	1	164	False
16424	11	62	True
6825	2	84	False
9384	15	232	True
5307	1	104	False
39949	1	77	False
22146	9	49	False
39069	1	83	False
1576	16	147	True
1535	14	137	False
1310	25	174	True
5800	5	120	False
18813	1	32	False
26734	8	153	False
13316	1	75	False
16570	1	75	False
33345	14	122	False
44652	1	97	False
24250	4	96	False
43578	1	107	False
18947	7	192	False
13991	17	222	True
17031	9	133	True
12749	2	119	True
31730	19	192	False
16433	5	143	False
27701	3	87	False
18249	1	82	False
1645	2	101	False
25994	2	31	False
35655	4	146	False
31753	10	50	False
758	2	65	True
3871	11	77	False
30747	6	58	False
33337	15	128	False
32625	3	61	False
2895	1	25	False
27123	15	301	True
22775	4	49	True
359	17	172	False
22342	5	86	True
22419	1	47	False
49029	8	58	True
30910	1	42	False
23498	28	133	True
18837	1	79	False
38962	1	39	False
22159	1	29	False
21903	1	43	False
27286	9	80	True
17862	2	61	False
41811	12	52	True
20880	15	143	True
39078	6	57	False
24298	1	87	False
34615	1	90	True
9904	4	96	False
32460	4	78	False
22780	9	85	True
49032	3	140	False
30822	2	101	False
28656	2	73	False
44970	2	68	False
9378	21	151	True
8537	7	66	True
7938	5	87	False
10792	1	105	False
43958	1	69	False
22643	28	186	True
1567	8	90	False
37815	9	56	False
9383	2	94	False
25215	1	129	False
20436	2	250	False
42174	1	56	False
36698	2	74	False
37224	1	73	False
25996	2	56	False
33384	1	71	False
51239	14	56	True
39085	8	83	False
50869	9	51	True
33769	8	209	False
24207	4	58	False
44190	1	92	False
50917	5	46	False
1596	5	71	False
40215	1	46	False
41813	5	29	False
1532	27	207	True
7801	10	119	False
3913	3	32	False
40246	2	56	False
23778	4	67	False
4657	1	57	False
12122	5	82	False
736	5	87	False
34257	1	109	False
39999	2	63	True
5170	2	75	False
40173	9	96	True
38339	5	52	True
491	13	84	False
44062	4	63	True
34300	2	59	False
26596	16	77	False
34598	22	120	False
1540	8	114	False
32108	18	66	False
8208	9	115	False
25976	21	88	False
40987	7	47	True
17090	2	34	False
8006	1	38	False
44962	6	112	True
28617	3	63	True
1586	8	65	True
1580	4	38	False
39091	1	36	False
51213	4	86	True
7096	8	70	False
16418	18	107	True
738	17	59	True
50641	2	42	False
39690	2	47	True
33594	4	45	False
31437	1	39	False
1537	22	270	True
44063	1	63	False
41571	5	83	False
39650	10	68	False
32095	2	40	False
9217	1	66	False
33868	4	37	True
33854	23	114	True
27775	3	47	True
46329	4	92	True
16429	1	35	False
18578	2	70	False
21936	2	73	False
10798	3	46	False
37805	48	355	True
15338	2	53	False
29785	1	34	False
31280	18	138	True
15159	2	53	False
49825	1	94	False
1334	1	31	False
31740	7	61	False
3869	19	209	True
3878	6	64	False
6611	5	52	False
38830	1	54	False
38709	1	57	False
43556	9	76	False
27049	5	31	False
17491	1	30	False
3953	1	28	False
2899	5	21	False
18804	1	54	True
26904	30	182	False
49822	10	103	True
1346	3	40	True
26905	10	80	False
47433	3	31	True
28566	8	76	False
41841	1	20	False
37939	1	31	False
31142	3	61	False
45647	1	50	False
796	1	58	False
35646	2	53	True
47867	1	34	False
22652	8	192	False
5028	11	85	False
35729	1	54	False
25217	8	46	False
44181	9	44	False
18721	1	52	False
4863	2	48	False
36501	1	72	False
42012	11	128	False
43544	3	65	True
33914	1	26	False
1333	2	40	False
1972	2	46	False
35675	3	36	False
3726	1	50	False
34516	1	19	False
38752	1	42	False
4622	1	24	False
27476	1	50	False
44055	18	78	True
41553	16	190	True
15292	14	103	False
39470	15	108	True
23592	33	334	False
3910	1	19	False
8713	3	58	False
23774	15	71	True
24566	5	48	False
29768	6	45	False
21069	2	88	False
41980	1	7	False
17423	26	152	False
30754	8	60	True
33398	1	35	False
5799	8	75	True
43547	5	65	True
44072	5	37	False
44625	21	115	False
50013	1	47	False
29444	15	85	False
30825	1	18	False
49035	17	107	False
40212	3	38	False
8697	1	32	False
39720	1	28	False
39342	6	37	True
51733	8	142	True
13584	2	17	False
17030	3	44	False
25384	1	56	False
29363	1	18	False
9530	1	34	False
23602	4	47	False
30253	1	45	False
1533	5	50	False
44065	17	78	True
1438	1	13	False
