cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
34593	10	39	131	True
34894	5	6	47	False
43484	1	2	28	False
27126	13	86	1582	True
40985	5	9	68	True
27984	1	1	33	False
9401	7	13	91	False
52215	7	18	99	False
49822	12	35	228	True
29924	1	1	28	False
39278	1	1	14	False
16634	13	105	480	False
41595	4	7	73	False
25973	10	27	107	False
44064	12	58	322	True
9804	1	1	38	False
2904	6	16	66	False
44237	6	14	114	False
33862	8	26	124	False
31316	6	6	141	False
1607	2	3	45	False
30984	8	22	210	True
29252	13	79	362	True
28841	1	2	44	False
16333	1	1	24	False
7958	12	31	112	False
41980	1	1	20	False
45810	8	26	107	False
34100	13	51	160	True
12122	10	21	149	False
15640	2	2	37	False
45126	7	11	62	False
45819	9	27	140	False
33326	12	96	564	False
18554	12	35	220	True
31160	7	20	111	True
39124	7	9	62	False
31451	12	39	229	True
7574	3	4	95	False
21259	6	8	166	False
20140	9	21	146	False
33601	12	33	108	True
47109	8	16	109	False
32537	2	2	63	False
24558	13	126	382	True
6205	5	7	62	False
22643	13	93	300	True
24377	1	1	74	False
16418	13	84	372	True
33331	12	81	318	False
44171	5	10	78	False
46323	10	42	132	True
7084	13	92	809	False
48437	2	2	110	False
7624	4	4	72	False
34621	9	22	149	True
39464	9	24	72	False
20419	2	2	48	False
21280	1	3	112	False
33627	1	1	107	False
46319	11	53	190	True
7798	12	68	295	True
26907	12	60	367	True
22345	5	5	64	False
6641	6	7	48	False
775	7	16	55	True
4055	11	33	273	True
1638	4	6	105	False
39483	3	3	48	False
25994	4	5	36	False
1538	13	63	416	True
39667	11	29	179	False
2924	4	11	61	False
20011	1	2	29	False
2328	9	23	199	False
2906	4	9	37	False
50103	1	1	89	False
39651	8	15	116	False
8548	6	7	90	False
30632	1	1	36	False
37972	2	2	49	False
4443	8	24	196	False
7552	5	11	59	False
1557	9	23	216	False
22767	9	23	56	False
21556	11	26	144	False
34427	9	16	114	False
40975	13	91	202	True
4601	13	83	342	False
5443	12	40	143	False
31512	1	1	47	False
7966	6	7	45	False
46331	12	122	460	True
32105	12	32	106	False
38341	3	4	35	True
4966	1	1	20	False
10976	10	17	38	True
40410	13	71	247	False
27491	11	43	147	True
20135	10	28	109	False
28564	12	47	180	False
8213	12	68	325	False
44221	7	19	131	False
3306	1	1	19	False
5806	10	21	124	False
49450	3	4	44	False
33327	11	37	146	False
5441	11	22	123	False
44649	5	6	49	False
23610	10	29	101	False
8205	12	98	282	True
31720	13	61	241	False
28387	1	1	20	False
45464	1	1	39	False
10012	1	1	80	False
6765	5	10	52	False
31284	12	126	438	True
50062	5	5	45	False
14200	9	18	84	False
5620	13	47	114	True
37405	13	77	229	True
1301	9	15	75	False
33584	13	171	444	True
7525	12	76	249	True
949	5	5	38	True
5053	6	7	441	False
28111	9	24	58	True
6611	6	9	63	False
7103	10	46	102	True
20901	8	16	49	True
12941	5	15	447	False
34602	7	28	113	True
26166	3	5	45	False
35912	3	6	49	False
6812	4	6	52	True
31716	13	192	1469	False
31713	8	16	53	False
11471	10	33	106	True
6782	4	6	154	False
10638	1	1	10	False
39143	4	7	77	False
29251	4	4	34	False
15643	5	7	45	False
35669	6	9	72	False
9523	8	9	155	False
34266	12	43	175	True
23783	7	18	120	False
23839	2	3	40	False
16072	3	6	30	False
27997	1	1	21	False
6015	6	13	137	False
16514	2	2	31	False
50706	1	1	65	False
1808	12	57	255	False
31438	11	30	91	False
19866	13	103	346	False
9195	1	1	56	False
23772	13	69	274	True
34268	8	19	101	True
20911	5	9	47	False
39983	3	3	22	False
49296	1	1	41	False
10964	9	25	135	False
12017	1	1	32	False
27463	11	22	96	False
33861	7	18	75	False
32786	8	31	168	False
41817	8	16	38	True
1534	11	37	211	False
11824	2	2	32	False
34137	1	1	14	False
33031	13	56	219	True
21289	3	5	74	False
6319	1	1	12	False
18900	1	1	24	False
3876	12	70	286	True
34626	5	6	44	False
29078	10	25	104	False
3671	1	1	35	True
42931	8	18	88	True
51452	9	22	82	False
20131	13	68	163	True
11490	4	4	60	False
18936	8	16	86	False
24559	13	104	343	True
13373	1	1	16	False
33856	8	16	107	True
41585	10	21	288	False
30778	12	43	179	True
30273	12	76	226	True
7546	7	14	43	False
46767	4	5	98	False
17427	8	18	94	False
1581	9	56	169	True
22334	2	3	22	False
20398	9	24	100	False
20378	6	22	115	False
42012	13	78	346	False
44625	13	115	445	False
7946	10	22	133	False
29327	2	3	12	False
51439	7	24	207	True
9869	9	28	95	False
33345	12	47	315	False
21096	3	4	27	False
30759	8	14	53	False
22766	8	21	78	True
46947	2	3	24	False
44996	7	11	31	False
7617	1	1	28	False
27127	10	50	359	False
36560	1	1	20	False
20882	11	35	113	True
33586	13	130	325	True
9204	11	30	79	True
50800	1	1	16	False
51245	10	23	54	False
16424	12	55	286	True
23643	4	5	57	False
42161	7	13	86	False
2320	9	26	76	True
44965	3	4	26	False
26734	9	19	58	False
50884	10	23	353	True
44629	6	11	75	True
22784	5	6	48	False
36199	8	13	90	False
23963	13	62	324	False
17031	10	25	79	True
51419	5	9	71	False
38903	1	1	34	False
19871	12	25	83	True
18770	4	5	33	False
41810	9	22	56	False
10635	1	1	31	False
7608	4	7	46	False
27501	3	4	56	False
1536	11	45	204	False
29111	3	3	50	False
37805	13	153	593	True
25970	13	161	710	False
31163	4	7	47	False
38339	6	16	208	True
34977	2	2	33	False
49027	13	88	257	True
10408	13	72	225	True
11363	2	2	13	False
30299	11	37	133	True
8541	13	65	204	True
18877	1	1	49	False
17043	11	24	88	True
45388	10	49	266	False
1965	4	8	53	False
42944	12	73	245	False
45577	2	2	43	False
45412	3	4	67	False
44958	10	49	254	False
4427	12	47	129	False
9384	13	53	219	True
33867	7	21	98	True
7807	11	34	108	False
44050	9	19	271	False
20402	6	12	45	False
42924	12	71	277	True
33344	13	84	634	False
51737	6	10	28	False
13574	5	9	26	False
41811	10	44	89	True
33703	1	1	21	False
12937	13	98	384	True
13982	8	18	323	False
9394	8	25	74	False
23615	10	23	104	False
1898	1	1	27	False
13144	5	8	35	False
5618	10	31	128	False
10677	9	16	100	False
42959	8	15	29	False
16420	13	81	371	False
35680	12	62	247	True
1795	13	40	278	False
10575	1	1	16	False
47106	12	54	182	False
42974	4	4	38	False
29447	13	124	315	True
49148	12	32	126	False
4594	8	32	62	False
14036	2	2	46	False
22431	1	1	12	False
40987	12	54	168	True
20399	9	14	59	False
33347	11	24	93	False
7146	2	2	20	False
28394	1	1	10	False
16649	11	51	209	True
2894	6	8	29	False
46710	1	2	48	False
5033	9	19	74	True
18970	4	5	63	False
8208	11	33	102	False
31281	8	22	58	False
48184	7	14	32	False
34426	13	147	647	True
44307	2	2	22	False
34510	1	1	16	False
39964	13	109	351	True
47150	1	1	41	False
22641	10	27	189	False
20908	11	23	357	False
9888	4	4	57	False
18760	11	32	3151	False
22774	6	13	53	False
24270	6	12	31	False
45392	4	8	97	False
47415	13	75	453	True
3140	1	1	5	False
