cluster_number	contributing_patients	num_tcrs_in_clust	total_reads	is_cancer_assoc
26610	15	20	54	False
32448	33	108	467	False
23503	35	282	2523	True
24252	23	48	297	False
39648	31	99	278	True
36917	25	45	163	False
49468	5	5	72	False
50029	33	191	1231	False
776	33	172	524	False
41013	9	13	59	False
18765	39	479	3552	True
47134	19	24	89	False
51432	23	54	258	False
18947	34	129	780	False
28411	1	1	41	False
33589	33	185	1311	True
2906	19	38	95	False
743	38	409	2170	False
43533	30	119	448	False
7965	9	11	77	False
29443	39	316	1647	True
15591	35	166	664	False
24565	35	235	716	True
27494	11	21	215	False
20393	9	19	78	True
44953	33	159	2068	True
17435	36	220	2354	False
33369	17	28	157	False
26931	31	66	224	False
45834	23	72	443	False
16300	1	1	45	False
41366	10	15	56	False
8210	32	131	842	False
37819	26	73	805	True
1578	35	181	1998	False
5441	31	87	379	False
38322	35	251	1008	True
32471	28	57	232	False
31753	38	190	594	False
10976	30	78	182	True
26597	33	189	722	False
40176	30	136	403	False
40246	22	43	240	False
42931	27	82	226	True
39686	22	37	141	False
27332	14	20	68	False
46318	25	104	483	True
30531	19	32	63	True
25664	12	16	78	False
7798	38	289	1536	True
39480	32	106	505	True
13290	26	59	266	False
32118	26	89	852	False
37914	21	46	448	True
6166	21	48	269	False
50057	16	36	484	False
29081	9	10	232	False
27080	1	1	9	False
22313	37	292	1793	True
18833	11	13	77	True
46316	21	55	416	False
45408	8	14	104	False
8209	38	553	3326	False
29450	15	24	58	False
27054	6	7	62	False
7538	31	111	4449	True
26018	2	2	37	False
8918	2	5	32	False
32008	1	3	22	False
43582	3	4	56	False
50028	38	595	2695	False
4916	4	4	34	False
47415	38	331	1335	True
499	26	80	607	False
25308	10	11	165	False
23592	39	733	3629	False
51740	29	90	476	True
24228	26	59	170	False
32617	23	48	143	True
1547	35	195	1680	False
50068	14	16	100	False
18801	29	59	564	False
48196	22	49	413	False
17605	34	185	851	True
14204	13	17	176	False
29245	38	424	1102	True
24466	28	83	212	False
1798	34	168	1925	False
34437	38	306	1864	False
52216	37	212	819	False
4593	37	270	1165	False
31142	30	81	713	False
16418	38	332	1146	True
17029	21	33	105	False
11497	21	40	171	False
1550	34	191	969	False
33340	23	52	391	False
