cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
31726	11	62	371	35	158	651	False
18764	13	104	2714	38	419	3149	True
20366	11	57	296	31	213	1885	False
52025	11	23	138	25	61	211	False
765	5	8	69	14	23	252	False
6780	10	18	195	25	49	109	False
48173	5	9	62	10	19	87	False
18984	2	2	142	9	11	38	False
26900	13	142	947	39	622	5588	True
25199	13	52	259	34	184	1199	False
44046	13	123	589	38	484	2592	False
34606	8	20	228	23	73	311	False
22320	11	24	201	28	76	982	True
4452	5	7	94	14	16	27	True
39650	11	58	526	35	249	1369	False
361	13	95	552	39	456	1932	True
33763	10	24	145	25	89	385	True
7825	5	7	136	27	57	499	False
9992	1	2	138	1	1	1	False
32116	13	62	355	34	248	1111	False
30049	12	31	226	37	158	551	False
30281	11	36	136	34	145	467	True
32493	1	1	30	1	1	1	False
44634	11	39	182	36	207	579	True
20731	8	26	183	28	92	400	True
28592	9	37	361	38	151	782	False
38520	12	25	194	30	95	334	False
24226	8	14	109	26	66	226	False
27937	4	11	72	11	16	37	False
44045	12	71	286	37	217	874	True
47665	8	9	81	23	40	59	True
1537	13	62	493	37	283	1426	True
15601	5	8	111	24	37	72	False
41818	6	13	57	9	14	21	False
13568	12	40	167	34	217	787	False
5710	1	1	74	3	4	4	False
49457	3	5	93	16	18	213	False
24835	1	1	110	1	1	8	False
23503	13	73	969	35	282	2523	True
48583	10	25	116	34	105	350	False
6004	2	3	113	6	7	9	False
30277	10	38	100	36	142	290	True
20134	6	7	93	17	20	62	False
35667	13	50	240	33	204	1269	False
50672	7	13	103	24	69	158	False
5023	12	40	173	33	144	1125	False
7536	6	9	115	16	26	81	False
24237	5	12	116	24	63	302	False
19630	6	15	166	21	54	185	False
43234	3	4	51	3	5	8	False
745	8	11	143	21	33	94	True
34638	5	6	53	17	27	59	False
34267	12	42	206	32	114	1162	False
6021	3	4	113	19	27	53	False
4605	7	21	121	32	103	2101	False
43143	12	71	293	36	321	1733	True
31152	5	7	113	10	13	27	False
11231	12	39	133	33	91	232	False
43841	12	83	251	37	331	1676	True
45421	4	5	74	7	9	19	False
52026	6	20	223	15	26	67	False
31015	3	3	59	6	6	9	False
31280	13	77	229	38	296	1247	True
10951	9	10	62	19	35	82	False
