cluster_number	contributing_patients_long_interval	num_tcrs_in_clust_long_interval	total_reads_long_interval	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	is_cancer_assoc
46922	5	7	15	10	12	27	False
25466	11	24	69	28	54	272	False
3041	1	1	1	1	2	9	False
13258	1	1	7	1	1	3	False
40831	12	40	131	31	103	392	False
16655	2	3	32	13	14	131	False
46906	13	130	374	36	261	1087	True
7037	1	1	2	1	1	6	False
15337	7	9	86	15	19	38	False
28116	9	17	62	12	18	31	False
2197	10	34	58	23	49	106	False
21264	9	25	37	24	58	139	True
50218	1	1	2	1	1	22	False
49165	5	10	14	14	18	30	False
30520	9	11	28	11	15	35	False
22519	7	14	57	14	24	35	False
10448	3	6	8	4	5	5	False
632	1	1	2	1	1	1	False
48278	1	1	1	1	1	1	False
11224	10	22	38	26	66	106	True
13497	1	1	7	1	1	1	False
30971	12	62	138	31	174	2593	False
43866	4	5	8	8	10	63	False
11236	8	15	20	17	30	106	True
44027	1	1	3	1	1	1	False
10679	1	1	1	2	2	3	False
27915	13	85	184	32	176	677	False
49149	4	5	7	14	18	19	False
19642	6	7	16	9	13	51	False
6176	10	24	70	23	49	229	False
19632	11	26	39	24	59	105	False
19634	8	18	28	21	46	127	False
40453	4	4	12	4	6	23	False
44633	6	7	32	20	25	140	True
6182	9	14	29	17	28	176	True
29071	1	1	3	1	1	2	False
6001	9	18	35	28	67	280	False
7563	6	15	22	24	45	156	False
6188	6	19	36	20	28	65	False
2323	10	29	72	27	70	318	True
44708	1	1	4	1	1	1	False
42928	10	31	82	32	110	578	True
25667	7	9	15	11	15	28	False
36937	3	3	4	2	2	2	False
15335	6	6	9	20	30	42	False
38527	3	4	6	7	8	32	False
16429	5	14	28	18	27	276	False
15152	7	20	39	23	40	110	False
31302	4	8	16	11	15	29	False
11476	3	5	22	11	15	57	False
6842	1	1	2	1	2	5	False
37254	2	3	67	6	7	22	False
6808	1	2	4	6	7	12	False
49412	8	15	20	24	37	109	False
18565	7	8	17	13	17	42	False
40439	2	2	5	4	4	7	False
6761	12	64	133	37	182	677	True
11954	5	6	16	20	33	76	False
49570	1	1	6	1	1	1	False
41034	1	1	2	2	2	3	False
31299	5	8	24	18	29	95	False
47528	1	1	3	1	1	1	False
25786	1	1	9	2	2	9	False
18958	3	3	4	11	15	27	False
34647	3	4	22	6	10	42	False
13987	5	11	30	30	61	822	False
14002	10	19	59	28	69	108	False
17452	3	3	4	20	25	53	False
17528	1	1	6	1	1	1	False
14938	1	1	1	5	7	8	False
24466	11	16	24	24	45	133	False
33847	5	11	19	22	44	303	True
1632	3	3	9	4	5	8	False
42509	3	4	11	8	10	17	False
34263	6	8	179	20	28	200	False
1525	13	32	134	32	89	631	True
34446	9	30	106	27	86	348	True
40195	8	11	32	22	32	56	False
42502	3	3	7	11	12	37	False
1562	3	4	8	7	8	30	False
8773	4	6	15	12	17	33	False
8800	4	4	9	3	4	21	True
27502	6	10	47	19	36	98	False
40175	3	3	6	12	17	292	False
27485	8	16	44	24	54	171	False
7976	5	7	21	13	19	63	False
23790	6	17	32	22	37	93	False
51742	5	6	33	9	13	24	False
7956	7	7	32	4	5	8	False
26763	4	5	10	14	20	52	False
7989	4	4	8	5	5	9	False
3805	1	1	2	1	1	1	False
35687	3	6	10	12	15	58	False
51028	9	15	68	24	51	193	False
39657	9	26	50	25	53	104	False
50641	8	23	59	24	54	110	False
35734	5	6	16	15	18	58	False
25974	4	8	13	18	26	421	False
39664	4	7	25	10	12	18	False
22350	2	2	5	11	14	72	False
20724	4	8	25	23	36	84	True
22342	7	12	17	21	34	98	True
39670	4	6	14	12	15	26	False
22325	9	19	55	29	63	291	False
35685	9	17	34	25	62	239	True
22314	7	20	50	16	33	94	False
25986	2	3	4	16	42	403	False
34103	11	30	82	30	118	392	True
41564	9	11	23	17	25	100	True
16470	2	2	4	5	6	29	False
7087	7	17	28	21	41	416	False
36190	9	28	43	36	98	243	True
36210	3	3	10	8	11	109	False
2227	5	6	12	6	8	20	False
6712	1	1	2	1	1	2	False
1293	3	4	10	11	14	56	False
7118	6	6	23	13	17	82	False
36694	9	17	33	20	37	46	False
20902	4	5	5	6	8	30	False
51216	7	17	72	28	78	238	False
3907	3	3	3	8	11	142	False
227	1	1	2	2	2	2	False
30437	1	1	2	2	2	2	False
36718	4	6	8	18	28	60	False
6658	5	7	15	9	11	17	False
28350	2	3	7	6	8	28	False
30739	5	7	20	23	38	138	False
30801	3	3	4	11	15	188	False
30840	1	1	2	4	4	29	False
39333	5	13	36	25	43	135	False
13577	4	4	17	18	25	87	False
3959	1	1	1	1	1	2	False
30987	8	12	23	17	29	173	False
27913	9	21	31	31	64	160	False
4462	5	7	14	8	11	30	False
39985	6	7	20	15	24	73	False
4579	1	1	5	1	1	1	False
31711	2	2	4	9	11	25	False
25225	5	7	10	13	18	34	False
1814	11	59	114	36	148	538	False
24240	9	12	62	18	34	160	False
25252	8	20	81	18	28	65	False
44770	1	1	20	3	3	4	False
1817	10	24	65	30	72	209	False
24306	4	5	19	2	2	5	False
24284	1	1	2	6	10	20	False
24401	1	1	3	1	1	20	False
24231	8	14	24	21	45	157	False
26639	4	6	9	8	8	20	True
27045	10	23	163	25	51	124	False
27757	1	1	1	1	1	24	False
29463	5	9	11	19	25	34	False
45868	4	6	27	4	4	43	False
45555	1	1	2	1	1	2	False
35342	2	3	7	9	11	139	False
51478	3	5	22	7	8	61	False
20427	1	1	2	3	4	4	False
51472	3	5	19	5	6	10	False
35320	6	15	37	16	27	153	False
45447	2	2	3	2	2	8	False
35302	2	3	7	3	3	4	False
45869	3	3	7	6	7	14	False
51441	4	10	54	6	9	14	False
46324	3	3	6	8	9	29	False
51656	1	1	2	1	1	2	False
46322	10	26	93	20	62	185	False
20380	2	3	7	8	8	18	True
45813	9	39	145	29	80	449	False
45435	5	5	9	13	19	54	False
20498	1	1	8	1	1	3	False
11698	3	3	13	5	6	24	False
41007	3	3	10	4	4	5	False
760	8	12	18	15	21	321	False
31760	7	8	14	11	16	74	False
34428	12	47	128	33	97	497	True
24608	8	12	24	15	18	203	False
27918	8	15	27	23	57	153	False
11688	11	34	85	30	81	197	False
26147	8	16	26	22	34	87	False
15307	11	31	55	27	82	228	True
11711	11	24	80	23	45	256	False
26156	6	8	11	15	27	62	False
25457	8	11	21	12	19	95	False
42040	5	7	13	11	17	24	False
32611	13	58	94	31	93	223	True
2775	1	1	2	1	1	2	False
51849	7	17	31	21	55	84	False
9541	8	10	13	12	16	23	True
11712	6	9	26	19	32	91	False
10513	1	1	1	1	1	1	False
39991	5	6	11	9	10	16	False
5636	6	8	13	21	40	75	True
31478	3	4	6	1	1	2	False
28113	11	29	85	30	74	133	True
32787	9	16	21	21	46	113	False
39972	12	53	133	30	119	270	True
42661	8	25	52	23	52	97	False
42680	4	5	17	9	13	21	False
38323	4	5	6	3	4	6	False
19980	1	1	1	1	1	1	False
9226	5	5	6	15	18	24	False
15758	1	1	2	2	2	4	False
2205	6	7	10	4	4	7	False
4448	3	4	8	7	10	18	False
37641	7	15	18	22	36	48	False
17248	4	9	19	14	24	39	False
34462	7	12	31	23	34	57	True
27684	3	4	9	12	16	36	False
27941	5	5	11	7	8	22	False
40589	12	70	138	35	194	359	True
11282	2	2	6	4	6	8	True
24793	1	1	3	1	1	1	False
17836	7	14	24	20	41	54	False
9208	12	83	230	35	222	698	True
28605	9	19	37	24	72	332	False
972	7	10	17	10	18	36	False
7557	11	34	161	29	75	199	False
28578	7	28	101	25	70	273	False
6144	1	1	2	1	1	2	False
28597	6	14	24	22	37	121	True
47907	9	12	34	17	30	96	True
37446	2	3	5	2	2	3	False
37416	4	6	11	11	17	90	False
28820	5	6	11	11	13	26	False
47901	11	25	45	28	72	296	True
47965	2	2	7	9	9	11	False
47931	2	2	5	11	13	51	False
28567	13	74	244	35	184	845	True
32131	2	4	6	7	8	24	False
33353	4	5	10	9	10	21	False
34107	7	11	39	17	23	35	True
41891	1	1	1	3	3	5	False
882	1	1	2	1	2	4	False
47419	9	17	31	27	63	1330	False
16422	13	77	309	36	255	783	False
41527	1	1	2	1	2	12	False
38685	8	20	78	28	51	102	False
38704	7	9	13	21	29	72	False
34633	8	11	20	17	40	146	True
16419	11	34	141	33	104	1091	True
34269	6	7	15	11	13	43	False
23690	1	1	1	1	1	49	False
22162	5	5	5	8	12	48	False
13140	2	2	3	6	6	13	False
52234	4	9	21	17	27	66	False
33430	4	6	14	8	9	80	False
34642	3	4	9	4	5	11	False
436	1	1	5	1	1	2	False
22144	1	3	3	17	32	56	False
44637	1	1	2	1	1	2	False
4864	5	7	25	18	35	129	False
52250	3	5	10	14	29	106	True
32640	4	5	8	7	12	259	False
6766	3	5	12	17	24	76	False
46593	5	8	15	22	29	338	False
42023	6	9	10	24	44	250	False
40412	11	32	96	29	115	490	False
52266	3	3	3	3	3	4	False
15171	5	6	7	10	11	30	False
32196	1	1	1	2	2	3	False
22652	10	23	123	23	47	152	False
32121	6	9	25	14	19	37	False
21557	10	39	74	34	113	254	False
14009	5	5	63	11	17	41	False
24459	12	63	677	39	203	1402	False
17482	2	3	4	5	6	16	False
46852	1	1	8	1	1	6	False
30048	9	28	60	29	78	207	False
46751	13	59	270	34	148	455	False
46756	3	4	12	6	8	13	False
17505	1	1	3	3	3	9	False
46763	5	9	11	14	33	71	True
27287	9	12	36	21	33	231	False
27464	5	6	26	13	17	45	False
50039	4	4	42	5	6	33	False
7800	10	20	61	26	53	188	False
50054	4	12	44	20	32	117	True
1560	8	12	70	16	30	102	False
1530	13	46	178	34	147	632	True
43769	1	1	1	1	1	1	False
7836	3	4	120	10	14	31	True
40184	11	33	64	30	82	456	False
40185	7	9	13	14	19	105	False
27300	9	19	31	21	38	113	False
42513	8	13	33	20	35	62	False
1618	5	9	25	18	27	93	False
40243	2	2	3	5	5	15	False
24853	5	7	27	6	6	10	False
27474	4	7	35	13	22	45	False
43582	1	1	2	2	2	2	False
7811	6	10	15	16	17	36	False
32515	1	1	2	4	5	54	True
8686	6	13	23	25	38	520	False
1580	8	12	24	21	32	72	False
50082	3	4	10	3	3	5	False
1533	9	19	37	29	47	189	False
7821	9	22	51	26	54	186	False
1541	9	19	61	31	68	552	False
33865	7	12	42	19	39	317	False
51741	8	11	21	21	33	69	False
37978	1	1	4	2	3	6	False
18827	1	1	2	4	4	7	False
8003	6	6	15	9	11	37	False
7961	9	12	25	16	20	30	False
35660	11	32	145	34	126	1489	False
35711	2	2	10	13	14	51	False
35686	6	15	70	16	27	94	False
