cluster_number	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
3013	1	1	1	2	2	2	False
767	15	59	315	16	100	892	False
40897	3	3	7	1	1	1	False
35992	3	3	12	4	4	9	False
34600	34	240	859	38	365	2309	True
13999	17	25	73	17	26	77	False
37805	38	435	1492	39	713	3961	True
23497	39	312	1025	39	429	3382	True
40993	29	85	196	31	129	371	True
28125	15	22	52	12	20	153	False
51234	16	26	476	16	21	79	False
22649	23	44	103	25	65	310	True
25201	23	41	128	24	61	371	False
24459	39	203	1402	37	265	1353	False
32110	34	145	503	36	188	856	False
31745	10	11	40	9	12	21	False
20901	24	56	138	26	78	214	True
24565	37	159	565	35	235	716	True
39508	2	2	3	4	5	34	False
4601	39	251	1199	36	337	1760	False
40176	31	79	576	30	136	403	False
18407	2	2	12	1	1	1	False
26758	8	8	88	8	9	26	False
50663	10	11	20	18	26	129	False
3067	2	2	2	1	1	1	False
2921	11	22	36	20	43	208	True
32116	37	188	841	34	248	1111	False
13820	19	35	343	24	55	135	False
42536	17	19	41	11	16	60	False
35693	24	49	1456	25	53	176	False
47635	36	204	579	36	317	1216	False
42485	36	153	609	38	262	2680	True
33857	29	80	675	32	137	671	False
744	9	12	26	14	21	93	False
33760	37	152	428	34	178	622	True
1324	20	45	109	21	52	223	False
48587	37	158	495	36	253	1819	True
18159	2	2	3	1	1	1	False
4639	8	9	100	9	9	84	False
24245	9	9	19	8	10	28	False
10429	26	44	106	25	64	247	False
22320	26	65	326	28	76	982	True
2955	3	4	9	2	2	5	False
42363	2	2	12	1	1	1	False
35115	9	9	13	5	5	7	False
46041	17	30	78	15	27	212	False
28115	5	5	12	9	12	28	False
38713	16	22	54	20	33	48	False
16421	38	251	814	35	334	1356	False
39655	23	58	152	27	82	206	False
13572	22	44	108	31	89	198	False
3870	39	212	742	37	274	978	False
29784	9	10	18	8	8	313	False
41810	21	49	191	26	66	266	False
4630	3	3	10	4	4	9	False
2897	9	11	32	12	20	654	False
9864	29	57	207	29	95	455	False
44641	4	5	14	9	14	22	False
24517	6	6	27	3	3	147	False
1552	31	62	618	29	102	506	False
7393	2	2	7	8	8	12	False
40238	4	4	11	2	2	10	False
42519	31	70	657	31	106	364	True
6612	13	19	35	22	41	204	False
46033	28	50	99	26	78	302	False
31296	34	166	1039	36	273	1762	True
40833	35	112	325	36	154	684	True
26384	28	99	262	34	154	369	False
34611	25	55	103	33	87	207	False
8679	23	48	142	31	100	233	True
8690	8	9	18	10	15	26	False
50642	13	22	837	19	38	341	False
39946	1	1	6	1	1	2	False
42157	25	37	108	19	55	145	False
36382	37	268	793	39	441	1997	True
37068	4	4	16	1	1	1	False
17035	26	54	363	31	76	204	False
30291	13	23	48	21	43	83	True
21553	37	166	680	38	214	619	True
32175	4	4	6	6	8	17	False
32118	27	59	265	26	89	852	False
23772	33	202	744	35	287	1288	True
39699	15	19	63	19	28	197	False
35718	21	30	135	18	31	160	False
28351	27	41	113	28	60	245	True
104	13	21	52	21	36	154	False
31737	32	114	431	34	168	564	False
33772	25	48	98	25	48	95	False
25266	12	12	26	16	20	57	False
50864	29	109	298	35	145	554	True
20888	38	257	1302	37	321	1460	False
48782	34	152	325	34	225	488	True
24270	19	29	71	21	31	108	False
44209	8	9	21	9	10	18	False
13971	23	32	55	21	39	204	False
34612	15	26	49	21	40	361	False
47109	18	32	75	27	55	263	False
33359	18	33	180	19	41	236	False
1522	39	291	1419	38	438	3173	False
39498	14	15	44	14	19	31	False
49843	11	12	26	9	11	23	False
35653	36	183	840	35	252	775	False
31297	20	28	149	17	29	72	False
7097	30	74	321	28	88	325	True
28358	10	11	65	11	14	24	False
26609	32	84	318	31	97	488	False
31292	34	195	523	36	260	968	True
23593	31	108	392	35	134	1043	True
49433	8	13	43	13	18	30	False
23814	16	22	93	21	27	273	True
20881	39	306	1597	38	381	1937	False
39983	11	16	458	9	10	256	False
39081	35	127	396	34	149	480	False
45505	2	2	17	1	1	3	False
31430	32	160	321	36	205	597	True
33894	4	5	20	7	8	26	False
26926	14	19	110	20	39	983	False
33378	25	46	197	28	66	174	False
31724	29	58	135	35	96	335	False
8574	2	2	4	2	2	2	False
46823	5	5	6	4	5	19	False
13997	31	80	232	29	105	621	False
49023	32	213	1007	35	294	2044	False
42925	35	288	1025	36	384	1323	True
47415	38	245	944	38	331	1335	True
736	31	123	934	33	135	2695	False
4428	36	267	981	37	382	1502	True
34436	40	580	2711	39	791	3633	True
27133	38	168	587	36	219	1068	False
22153	12	19	34	15	21	52	False
40414	28	71	138	31	102	278	False
13991	34	183	709	37	278	1474	True
26744	31	55	137	27	70	1010	False
26742	11	17	47	14	25	402	False
47416	26	77	244	31	81	219	False
3904	14	19	32	16	21	52	False
17030	24	72	158	30	92	490	False
32105	31	58	147	34	115	411	False
26599	39	325	1483	38	366	1747	True
20367	36	311	1126	37	479	5093	True
41572	5	5	15	5	6	12	False
52214	29	80	428	34	121	393	False
18978	5	5	9	7	7	234	False
43545	29	55	175	28	70	442	False
42558	10	11	63	12	14	49	False
33845	39	336	1168	39	428	2452	False
50873	25	46	728	27	83	217	False
22329	29	48	211	24	56	218	False
39663	22	35	122	21	41	66	False
49827	17	24	211	18	31	121	False
31454	18	33	59	21	44	88	True
22760	34	160	1347	35	212	850	True
743	38	287	1004	38	409	2170	False
770	15	24	48	14	21	74	False
20882	36	110	405	35	176	1042	True
25247	25	41	99	23	66	273	False
1809	30	55	193	28	65	490	True
24237	22	35	153	24	63	302	False
33849	35	232	966	35	422	3062	True
370	29	72	178	31	102	515	False
2904	19	35	103	26	61	202	False
46758	25	60	322	32	130	432	False
43243	1	1	2	1	1	2	False
51220	20	33	68	25	56	352	True
9217	20	31	82	20	28	229	False
1306	8	9	13	9	10	17	False
27672	22	46	120	19	37	217	False
22514	36	120	489	29	174	638	True
2226	5	7	12	8	11	17	False
25200	38	286	1000	39	456	2469	True
33330	39	257	859	38	286	1363	False
14010	8	16	28	16	24	53	False
24457	36	182	556	36	258	990	False
2910	17	30	151	25	71	154	False
8712	26	34	54	26	48	518	False
29098	8	11	301	11	17	44	False
1581	35	148	1044	35	208	842	True
22315	20	33	61	22	44	131	False
9239	7	7	11	4	4	4	False
20937	4	6	12	1	1	70	False
31727	8	8	15	7	8	39	False
30533	11	14	38	11	13	52	False
23592	38	553	4168	39	733	3629	False
38689	28	58	166	29	76	197	False
43619	20	28	53	19	31	154	True
43584	17	19	94	25	36	109	False
31192	6	7	18	8	9	14	False
11015	11	12	48	8	11	115	False
24559	38	343	1207	37	427	1516	True
25206	37	155	3395	36	241	1154	False
1808	33	138	699	36	208	838	False
49027	35	209	608	38	346	1461	True
34263	20	28	200	24	57	158	False
33851	38	262	1103	38	377	2057	True
49831	15	23	75	19	38	137	False
6624	9	9	21	3	3	7	False
50438	17	20	61	10	14	39	False
28342	23	52	114	25	57	132	False
16961	3	3	105	1	1	1	False
31281	30	57	136	30	82	648	False
29458	23	38	93	24	41	195	False
33334	24	77	234	35	151	2809	False
22148	9	11	32	8	13	21	False
3241	5	5	12	1	1	1	False
1576	34	128	331	34	152	750	True
50025	38	492	2061	39	705	4884	True
1547	37	164	624	35	195	1680	False
17687	3	3	5	1	1	1	False
13032	1	1	2	1	1	2	False
783	30	89	592	29	87	273	True
10432	24	29	269	16	24	37	True
15368	19	28	58	18	31	550	False
32615	31	71	202	32	99	349	True
49456	10	10	15	7	7	17	False
2952	6	6	11	8	9	10	False
13992	29	68	345	33	121	401	False
43559	13	20	48	16	22	43	False
8055	1	1	5	1	1	2	False
18765	37	319	1779	39	479	3552	True
49849	12	13	24	14	29	204	False
25968	39	418	2299	38	618	3966	False
1998	5	8	52	12	20	375	False
750	10	14	30	13	18	66	False
15291	30	85	315	32	97	432	True
29247	39	249	952	38	352	1497	True
13573	20	33	64	22	43	132	False
33763	29	68	160	25	89	385	True
17051	26	48	83	26	69	516	False
25194	39	450	2572	38	591	2331	True
8209	39	393	1573	38	553	3326	False
27163	16	23	79	21	31	606	True
14015	5	5	7	5	5	6	False
34647	6	10	42	14	17	33	False
17834	17	32	113	24	46	222	False
8817	3	3	5	4	4	5	False
40228	11	11	31	9	12	25	False
12122	27	54	207	28	66	304	False
50713	3	3	4	4	5	12	False
1972	14	28	71	16	26	101	False
34460	19	33	71	21	30	117	False
31768	7	8	24	10	11	68	False
44070	26	55	382	28	78	210	False
20896	32	122	1364	32	161	507	True
25202	29	78	456	33	118	732	True
44524	1	1	2	2	2	12	False
47936	5	5	37	4	4	5	False
5029	28	52	136	29	73	229	False
25683	1	1	2	3	3	20	False
22647	21	41	181	29	71	333	False
40210	16	17	55	16	24	644	False
1613	26	43	170	24	58	240	False
4798	2	2	5	2	2	4	False
40189	25	43	110	28	83	893	False
1558	8	10	34	19	38	153	False
18252	26	43	104	28	59	230	False
31140	30	91	287	35	180	778	True
8249	2	2	5	7	9	27	False
31770	9	9	13	21	30	198	False
36201	23	50	1025	29	62	188	True
36114	5	5	23	3	3	3	False
6699	6	6	21	6	7	28	False
36696	19	33	86	25	59	135	False
7088	29	130	396	37	192	938	False
51233	25	50	155	26	78	237	True
28107	21	39	173	24	57	248	True
7108	28	81	263	30	106	276	False
10639	2	2	13	3	3	5	False
29624	2	2	4	1	1	1	False
31449	22	29	72	25	39	137	False
38549	9	9	13	9	10	13	False
49426	3	3	7	7	7	15	False
34598	38	291	2086	36	426	2182	False
25649	37	144	568	37	174	710	True
4447	23	34	141	25	51	235	False
27457	34	102	636	36	165	730	False
33852	27	72	427	30	131	451	True
51733	25	59	197	30	106	992	True
7974	2	2	6	2	2	4	False
50869	35	103	340	36	157	726	True
33417	13	21	50	12	15	44	False
39683	26	57	404	29	101	482	True
50914	13	19	75	13	14	116	False
50900	20	31	117	21	46	477	False
23503	34	195	694	35	282	2523	True
43101	1	1	1	2	2	2	False
42166	17	24	49	18	23	42	False
51239	32	139	493	36	197	571	True
1300	28	123	405	35	176	1148	False
9221	18	26	106	21	33	314	False
24213	14	19	108	26	49	155	False
52232	31	82	241	32	112	9170	False
14916	6	8	12	5	6	10	False
30061	17	25	313	21	37	82	False
33854	35	212	994	38	369	1613	True
27463	29	65	698	32	111	1717	False
43561	32	65	170	35	87	534	False
8699	14	24	193	16	31	61	False
8709	29	75	372	28	119	792	False
50059	25	45	204	25	62	161	True
3342	20	36	130	19	42	92	False
8010	8	9	19	11	16	37	False
23799	10	12	26	4	6	10	False
23787	27	80	645	31	122	502	False
7990	7	7	14	6	7	14	False
39686	17	26	61	22	37	141	False
35656	21	37	282	28	80	263	True
50883	31	103	340	31	113	341	False
51743	28	60	123	28	82	373	False
1957	31	77	215	27	94	322	False
13692	1	1	1	2	2	2	False
4454	23	42	121	21	36	107	False
22287	2	2	4	1	1	2	False
51213	30	66	416	32	85	1228	True
31429	38	159	804	38	223	1040	True
31730	37	291	1762	38	360	2099	False
27051	7	8	29	8	12	51	False
42972	23	30	103	20	29	190	True
32121	14	19	37	22	37	99	False
8692	12	15	29	14	20	331	False
27484	26	58	226	28	93	974	False
26906	29	98	419	35	123	440	True
37812	29	67	332	31	97	529	True
31147	32	105	881	36	168	1256	False
50672	26	55	110	24	69	158	False
46517	2	2	3	1	1	1	False
25645	36	229	863	39	305	2208	True
41365	7	8	11	11	16	42	False
46056	24	41	111	24	58	615	False
33797	1	1	1	1	1	1	False
22506	35	238	625	36	338	1466	True
36195	22	43	146	22	48	107	False
3911	12	13	46	11	18	31	False
39133	8	11	21	11	14	22	False
33374	23	41	108	26	47	223	False
5048	11	15	28	7	7	37	False
23603	23	27	106	20	28	166	False
42017	12	12	21	14	19	65	False
43682	1	1	1	2	2	2	False
24858	1	1	1	2	2	12	False
42508	35	111	237	38	183	647	True
32450	21	30	714	25	47	183	False
25971	35	113	395	35	165	1067	False
17608	13	16	30	17	21	126	False
20846	1	1	2	1	1	1	False
30518	24	82	161	30	108	612	True
15421	2	2	4	2	2	3	False
42965	21	37	163	24	51	202	False
43856	16	26	40	22	46	274	False
7121	10	14	89	13	20	41	False
1318	33	93	181	35	143	563	True
13292	15	22	37	18	26	218	False
36688	28	52	284	27	56	894	False
28109	30	64	189	32	83	211	True
41553	38	208	943	37	244	1376	True
16255	10	12	45	16	21	36	False
52216	38	151	805	37	212	819	False
42030	21	51	91	22	54	195	True
49411	17	23	109	21	38	241	False
22144	17	32	56	22	44	120	False
18939	22	42	114	26	58	1152	False
27376	1	1	1	1	1	1	False
8734	11	11	19	17	28	143	False
18772	4	4	15	2	2	3	False
20726	30	80	255	33	136	796	False
28504	2	2	5	1	1	1	False
20923	20	32	267	23	49	171	False
36231	1	1	1	1	1	1	False
12620	1	1	1	1	1	1	False
44068	8	10	21	16	29	135	False
31791	9	12	55	16	31	101	False
24230	16	26	272	22	40	89	False
8219	14	15	59	16	23	46	False
23983	13	18	28	16	24	74	False
39964	34	234	2032	39	343	1946	True
40974	36	193	477	39	258	882	True
40012	12	19	43	15	31	66	True
28569	33	86	316	35	127	578	False
28613	14	17	33	20	30	185	False
40415	28	55	182	28	81	343	False
18938	31	96	226	33	139	335	False
27490	27	51	107	28	66	340	False
40303	2	2	2	2	2	10	False
42499	24	51	254	31	81	265	False
23500	30	96	305	33	122	1251	True
7944	27	54	220	24	67	442	False
50917	18	33	168	17	28	84	False
22317	26	64	321	27	76	277	False
49038	34	109	430	34	134	480	False
47451	9	10	32	3	4	8	False
10335	1	1	1	1	1	1	False
22769	30	71	133	33	135	466	True
29263	18	25	48	15	24	76	False
31019	11	14	39	7	9	23	False
27673	9	11	18	11	16	35	False
36384	27	48	156	27	67	179	False
49154	26	68	236	31	88	2157	False
15292	34	193	434	36	270	972	False
44625	37	266	1573	38	388	1871	False
27465	16	28	58	22	42	90	False
1532	39	295	1447	39	424	1920	True
24897	2	2	2	1	1	2	False
7835	8	10	28	16	25	56	False
37806	9	12	805	13	17	73	False
39985	15	24	73	18	31	96	False
13613	11	12	24	15	26	75	False
12938	36	142	416	37	210	1576	False
17830	32	82	491	30	107	332	True
10976	26	59	461	30	78	182	True
15586	37	285	3101	37	416	1920	True
44063	13	18	24	16	22	179	False
17031	29	79	301	26	95	542	True
27667	20	30	82	21	43	81	False
46036	13	16	30	18	26	81	False
42931	27	57	138	27	82	226	True
31720	35	244	933	35	295	2188	False
1828	33	73	217	30	92	335	False
25213	24	58	191	31	91	446	False
24225	31	77	236	30	108	400	False
1795	36	166	717	37	220	1163	False
31298	38	164	696	38	197	3720	False
39131	13	17	27	19	30	90	False
8414	2	2	9	1	1	1	False
4431	26	103	323	37	148	552	True
2327	34	211	1037	39	335	1218	False
25646	34	102	997	33	131	513	True
37224	5	5	17	11	11	100	False
30086	16	22	64	19	26	56	False
43536	20	30	841	21	42	247	False
8773	12	17	33	15	24	175	False
32448	32	83	236	33	108	467	False
31161	25	49	110	24	66	222	False
18770	10	15	56	15	20	61	False
18808	18	23	83	23	34	145	False
18813	6	7	13	11	11	88	False
18766	29	79	330	32	109	801	False
26930	21	28	71	28	57	317	False
42032	3	4	6	6	6	15	False
47660	21	39	87	23	35	58	False
34268	25	57	117	30	78	490	True
17058	24	30	74	23	40	982	False
51261	16	25	61	21	30	77	False
28349	13	17	64	18	33	97	False
22070	2	2	3	1	1	1	False
9243	18	31	62	25	44	61	False
4603	25	68	169	30	110	228	False
38324	34	118	355	35	122	305	True
24251	3	3	5	7	7	24	False
44435	1	1	2	1	1	1	False
31718	39	396	1699	39	575	2560	False
50333	1	1	2	1	1	1	False
9950	4	4	6	5	5	28	False
14919	18	29	76	20	38	84	False
14016	7	7	9	10	10	61	False
7799	38	309	1172	39	525	9264	True
1582	13	17	59	22	36	50	True
1524	11	14	30	15	19	1648	False
27526	4	4	11	9	10	28	False
29078	29	82	242	30	134	552	False
1584	18	26	247	17	32	82	False
37810	23	37	285	26	78	2421	False
24572	28	34	94	20	29	79	False
1956	16	25	56	23	48	140	True
44037	2	2	7	1	1	2	False
28493	1	1	2	1	1	1	False
20884	34	125	466	36	147	357	True
3868	30	90	777	29	100	1178	False
36718	18	28	60	18	32	69	False
36386	20	33	63	23	43	93	True
22776	25	51	98	25	78	205	False
30768	25	56	89	25	45	146	False
51245	30	65	350	29	94	1213	False
30760	23	54	161	29	82	215	False
747	28	48	138	29	71	209	True
29452	8	12	116	8	9	21	True
48592	9	12	16	4	4	4	False
32629	11	13	25	13	17	193	False
24236	20	44	95	29	61	140	False
