cluster_number	contributing_patients_no_nact	num_tcrs_in_clust_no_nact	total_reads_no_nact	contributing_patients_short_interval	num_tcrs_in_clust_short_interval	total_reads_short_interval	is_cancer_assoc
2743	4	4	13	12	13	35	False
50437	8	11	24	11	12	186	False
2738	18	28	62	21	34	64	False
51864	4	4	4	11	16	56	False
6197	15	19	43	14	22	94	False
37383	1	1	1	1	1	1	False
28796	15	18	291	11	15	46	False
19692	7	8	39	5	5	15	False
47928	25	58	269	26	66	216	False
270	1	1	1	1	1	13	False
38802	2	2	2	4	4	8	False
46767	16	26	167	19	34	78	False
27134	30	76	188	31	101	313	False
50045	14	20	39	16	31	125	False
19334	8	8	13	8	8	122	False
31728	4	4	4	8	10	18	False
16173	2	2	2	1	1	7	False
39127	8	9	34	11	13	52	False
51422	9	10	125	11	19	75	False
24855	11	13	16	10	18	54	False
51506	2	2	1187	4	4	7	False
41379	2	2	3	1	1	1	False
24608	15	18	203	18	24	553	False
21290	3	3	3	2	2	2	False
36106	1	1	1	1	1	1	False
28097	22	51	239	32	78	416	False
15605	16	32	676	21	39	81	False
20639	1	1	1	2	2	2	False
36962	5	6	15	6	8	16	True
5168	11	17	61	18	30	54	False
46924	12	19	20	20	28	192	True
98	27	97	419	36	130	285	False
16653	11	13	20	12	17	77	False
11682	7	9	12	10	13	44	False
10635	9	10	54	15	21	132	False
40000	14	19	58	21	37	70	True
4437	10	10	35	16	17	25	False
14596	2	2	3	2	2	2	False
22918	9	12	19	17	24	83	False
19883	15	26	116	19	31	55	False
19776	1	1	1	1	1	6	False
28817	11	12	25	15	17	56	False
19702	5	6	17	10	10	47	False
5822	19	35	215	22	40	460	False
5814	23	53	184	28	51	157	False
11497	20	32	641	21	40	171	False
9875	27	48	106	25	69	245	True
18571	4	4	10	9	9	10	False
11964	5	5	7	13	16	37	False
385	5	5	6	4	5	26	False
11950	15	18	32	9	19	59	False
42511	27	56	118	29	95	287	True
7089	8	9	16	11	13	28	False
1824	23	40	131	24	52	264	False
31908	2	2	3	2	2	2	False
11045	2	2	4	1	1	3	False
16632	33	87	402	33	141	480	True
11557	3	3	3	3	4	11	False
22068	3	3	3	1	1	1	False
40883	3	3	12	1	1	2	False
31455	16	26	85	20	41	106	False
10109	4	4	4	7	9	15	False
11685	21	31	140	29	53	122	True
25512	4	4	4	3	5	10	False
11696	12	17	48	18	27	64	False
40003	23	43	89	18	30	63	True
35070	14	24	29	12	16	33	False
35175	2	2	2	1	1	3	False
40119	1	1	1	3	3	8	False
5623	26	70	248	30	90	298	False
2200	2	2	2	3	3	4	False
16074	25	46	88	27	74	146	True
6195	11	12	23	9	14	89	False
37406	13	13	22	25	33	229	False
49774	2	2	2	1	1	2	False
8733	3	3	3	1	1	11	False
26747	25	43	100	22	53	856	False
18904	1	1	1	1	1	6	False
27662	21	48	214	30	92	481	False
42483	1	1	1	1	1	2	False
14359	17	20	26	24	36	81	False
27093	1	1	1	1	1	1	False
38175	5	6	12	2	2	5	False
47270	7	7	13	7	7	15	False
125	6	7	18	16	23	49	False
31464	7	8	28	7	8	18	False
41184	3	3	5	1	1	1	False
5634	21	30	45	20	32	54	False
4151	2	3	6	2	2	7	False
11227	9	11	15	11	16	26	False
27913	31	64	160	32	110	390	False
19652	23	48	122	29	75	378	True
32617	23	35	100	23	48	143	True
46591	9	10	39	14	15	58	False
49458	2	2	2	1	1	5	False
16256	18	25	65	22	46	161	False
5509	3	3	5	4	4	8	False
40519	3	3	5	1	1	2	False
30286	2	2	192	1	1	1	False
3878	28	51	531	29	80	449	False
18960	9	15	282	14	25	38	False
7872	10	10	191	9	11	17	False
1355	7	9	174	9	10	20	False
24852	24	57	432	22	76	385	True
4650	11	14	144	11	13	30	False
17838	30	80	347	33	104	294	False
37634	5	5	70	2	2	3	False
35329	14	19	328	14	22	105	False
1329	12	16	115	15	26	130	False
18773	28	55	287	26	62	271	False
36717	9	9	50	10	13	95	False
31725	25	69	183	26	87	379	False
40229	6	8	57	5	6	8	False
40977	5	5	115	2	2	4	False
5863	14	18	541	12	15	291	False
6793	19	32	103	23	49	157	False
27483	14	19	61	20	31	218	True
44870	2	2	82	1	1	1	False
27232	2	2	62	1	1	1	False
7955	19	39	110	23	54	248	False
11722	2	2	173	1	1	1	False
27165	9	9	159	9	13	20	False
35650	16	23	150	14	18	23	False
16443	20	32	177	25	53	117	False
7237	2	2	22	1	1	1	False
15114	31	118	2001	37	189	1778	False
18993	12	13	24	6	7	20	False
48181	24	39	101	31	114	240	False
22654	15	18	96	20	29	496	False
25207	24	52	127	27	72	185	False
20745	18	29	109	22	42	378	True
33951	3	3	179	1	1	6	False
3019	2	2	3	1	1	1	False
14943	13	21	57	24	46	163	False
17614	9	32	293	9	10	25	False
9153	2	2	11	1	1	1	False
41840	11	15	95	15	29	103	True
32647	12	16	95	16	23	71	False
759	11	17	137	11	13	31	False
46355	13	19	130	15	21	94	False
7623	6	7	68	10	20	60	True
40411	9	12	66	15	17	110	False
27479	27	80	284	33	107	473	True
16836	19	36	235	20	37	160	False
17488	17	34	827	21	37	4755	False
29802	7	7	23	7	9	13	False
18944	27	55	164	26	80	442	False
4657	8	8	30	12	13	109	False
28815	29	66	429	32	115	511	False
5106	3	3	38	3	3	4	False
15436	3	5	38	2	2	594	False
15294	20	43	154	24	55	247	True
18043	3	3	13	5	5	9	False
44168	7	9	28	6	9	38	False
1569	15	28	179	20	36	148	False
18783	1	1	2	3	5	17	False
11242	6	7	20	7	14	18	False
33868	20	43	193	24	75	824	True
44265	12	16	67	20	34	174	False
24221	19	31	155	21	46	234	False
4470	7	7	19	10	10	75	True
32315	17	21	47	19	22	54	False
33771	8	9	33	8	12	100	True
25238	22	31	65	24	57	240	True
50907	12	13	89	15	22	76	False
31911	3	3	23	1	1	1	False
1313	11	17	78	8	10	30	False
30536	9	11	28	10	14	115	True
36736	4	4	7	5	5	8	False
44973	10	12	21	16	31	78	False
9394	28	61	217	30	71	998	False
36193	20	30	124	27	52	151	False
1927	1	1	2	1	1	1	False
45282	2	2	54	1	1	7	False
30589	4	5	6	4	4	13	False
38331	22	36	129	24	46	182	False
49493	4	4	28	4	4	234	False
1555	23	38	99	25	53	263	False
19524	1	1	1	1	1	1	False
3887	19	37	255	23	54	127	True
44058	21	54	186	30	100	520	False
7128	23	47	158	24	48	112	False
18838	3	3	4	2	3	3	False
33622	24	32	56	22	36	243	False
46788	5	6	21	7	10	288	False
8259	5	5	12	3	3	5	False
35908	22	38	453	19	32	63	False
48579	2	2	4	1	1	2	False
32621	4	4	45	5	6	70	False
5101	3	3	19	2	2	4	False
29867	5	5	13	7	7	18	False
30983	19	31	621	23	45	205	False
30714	1	1	1	1	1	3	False
35347	14	23	80	15	35	149	False
35306	13	34	289	22	65	678	False
35331	2	2	4	5	5	10	False
37410	12	18	32	14	29	76	False
12014	1	1	2	1	1	1	False
786	13	18	83	11	16	30	False
28608	21	37	104	27	62	425	True
34644	5	5	17	5	6	17	False
33850	17	29	85	25	48	114	True
3356	12	18	31	17	27	228	False
14896	2	2	5	1	1	1	False
8252	8	9	33	8	15	24	False
22770	19	33	103	25	43	471	False
17061	9	10	60	12	18	112	False
5664	1	1	1	1	1	3	False
44248	5	5	11	1	1	2	False
25665	15	20	98	17	25	89	False
8623	1	1	2	1	1	1	False
17427	20	44	103	22	46	117	False
40219	4	4	80	6	7	19	False
42550	5	6	13	4	5	16	False
43580	4	4	9	12	16	85	False
43578	6	6	8	10	15	192	False
7947	9	12	16	13	14	80	False
3551	2	2	7	1	1	2	False
51756	6	7	9	6	8	29	False
23085	2	2	9	1	1	1	False
15315	17	27	40	22	42	124	False
17825	12	18	39	17	25	137	True
8750	10	11	32	16	19	42	True
8701	12	14	40	10	14	39	False
26878	1	1	1	1	1	3	False
49925	2	2	4	1	1	1	False
20907	7	7	815	7	11	80	False
28332	17	25	52	15	19	46	False
51288	1	1	1	6	7	16	False
47647	12	15	37	19	31	111	False
23241	3	3	34	3	3	3	False
13625	1	1	1	1	1	1	False
31309	12	14	25	15	22	53	False
16476	8	9	16	5	5	6	False
17637	8	11	101	10	12	19	False
15526	1	1	1	1	1	1	False
36871	1	1	1	2	2	7	False
45932	2	2	108	1	1	2	False
43017	9	10	39	13	13	22	False
30145	1	1	1	1	1	1	False
3473	2	2	2	1	1	2	False
50686	14	19	45	20	44	134	False
45704	1	1	1	1	1	3	False
36698	21	41	205	23	43	194	False
10226	2	2	3	1	1	1	False
9406	9	9	47	19	23	65	False
46632	8	10	15	6	8	10	False
17428	19	26	65	21	34	101	False
43558	8	9	13	5	6	1194	False
27030	2	2	2	1	1	1	False
22331	12	16	23	12	21	64	False
32079	2	2	4	2	2	88	False
50200	8	8	12	5	8	14	False
8255	4	4	27	4	4	30	False
33911	4	4	8	1	1	2	False
20	3	3	33	2	2	2	False
22914	8	9	26	11	14	21	False
12968	10	14	57	11	15	446	False
31318	3	5	7	5	5	21	False
8094	2	2	8	1	1	1	False
20752	4	4	127	3	3	12	False
51267	17	17	38	13	20	75	False
17053	6	6	12	9	13	34	False
44165	18	25	42	16	22	130	False
12726	7	9	24	11	12	17	False
44660	4	4	20	5	6	95	False
18942	8	8	11	19	30	475	False
17496	5	5	7	3	3	8	False
7966	12	13	25	17	30	71	False
781	10	12	101	15	23	236	True
17946	2	2	2	2	2	2	False
16106	20	28	44	24	46	90	True
52261	14	19	46	16	25	135	False
17425	17	25	49	23	44	267	False
50072	9	12	26	10	12	24	False
40317	2	2	2	1	1	1	False
27298	16	21	114	17	35	144	False
35646	14	21	49	20	34	430	True
39890	1	1	1	1	1	1	False
14714	23	33	400	27	48	190	False
22788	13	20	54	15	25	395	False
1326	10	11	81	14	15	127	False
46211	1	1	1	1	1	1	False
24272	6	7	10	17	24	83	False
39094	3	4	5	4	4	4	False
41820	20	60	99	24	84	165	False
31492	11	11	46	12	15	26	False
24967	3	3	16	2	2	2	False
43579	21	25	74	18	33	67	False
17634	13	16	52	8	11	21	False
29823	7	7	11	10	13	56	False
6639	16	25	41	26	49	426	True
688	2	2	3	2	2	7	False
29808	7	7	11	11	12	147	False
44231	15	20	27	20	31	51	False
16668	21	32	69	21	40	115	False
24579	7	9	28	5	7	24	False
15320	11	12	22	13	25	51	False
12952	8	8	17	11	13	20	False
18956	9	9	14	9	14	58	False
35712	11	15	26	10	14	28	True
48593	12	16	38	14	19	63	False
6725	2	2	6	1	1	1	False
35578	2	2	3	1	1	2	False
40465	4	4	16	10	11	20	False
392	12	16	27	17	26	127	False
49717	1	1	1	1	1	4	False
15145	25	61	329	29	93	334	False
43571	24	35	374	26	49	345	False
1640	9	10	472	8	9	68	False
37909	16	23	59	22	34	229	False
20727	17	21	62	22	37	168	False
19284	2	2	2	3	3	438	False
32795	21	46	98	22	43	81	False
11807	1	1	1	2	2	4	False
40439	4	4	7	5	5	7	False
42557	7	8	10	11	13	181	False
24956	1	1	1	1	1	2	False
817	2	2	6	3	4	7	False
31626	2	2	3	1	1	2	False
20930	11	13	24	14	16	410	False
13158	5	6	33	5	5	5	False
15289	1	1	1	1	1	1	False
8214	21	31	72	20	31	160	False
34638	11	13	65	17	27	59	False
37232	13	15	33	22	31	70	False
49073	4	4	49	2	2	2	False
17454	4	4	5	6	6	7	False
7976	13	19	63	17	27	117	False
31170	21	39	129	24	60	182	False
49870	8	9	21	7	8	63	False
41067	2	2	2	1	1	1	False
31199	8	12	39	12	13	98	False
6795	16	18	58	24	38	414	False
22347	12	12	19	11	16	32	False
32616	13	20	83	21	33	98	False
49177	6	6	9	8	9	48	False
48817	5	5	8	6	11	13	False
6009	26	67	240	29	79	181	True
41578	12	12	33	10	12	114	False
39665	16	23	82	21	34	110	False
26740	10	15	66	17	24	99	False
13584	8	9	13	13	19	86	False
33879	8	10	36	12	18	396	False
51431	21	41	258	24	69	532	False
27195	4	4	19	3	3	6	False
37630	1	1	1	3	3	29	False
34265	21	48	143	31	62	184	True
40598	17	29	73	18	28	169	False
33040	18	37	72	24	38	154	False
23119	12	17	37	18	26	54	False
27302	10	14	30	12	14	23	False
1590	15	21	47	12	19	161	False
26771	6	6	53	10	12	18	False
26748	14	20	32	16	28	112	False
36211	15	26	45	21	48	599	False
28398	7	7	9	7	10	18	False
45381	12	14	21	13	20	2208	False
16904	2	2	3	2	2	2	False
27953	6	7	22	9	11	44	False
5809	9	13	22	12	17	126	False
33343	11	11	31	18	25	93	False
19168	2	2	3	1	1	2	False
42402	1	1	1	1	1	1	False
47653	13	17	31	16	24	56	False
15293	25	37	62	23	44	209	False
24250	20	43	100	29	84	493	False
24247	21	35	57	22	33	103	False
33601	29	101	594	32	154	317	True
46684	2	2	2	2	2	2	False
13979	25	75	322	29	92	183	True
37675	2	2	7	1	1	1	False
30784	11	13	24	14	19	46	False
39332	9	12	31	22	33	117	False
3914	2	2	8	1	1	2	False
2196	18	27	77	24	40	289	False
28153	4	4	5	6	7	8	False
11216	23	45	61	28	53	576	False
11712	19	32	91	16	24	60	False
29600	21	43	74	31	71	208	True
31299	18	29	95	26	55	282	False
25648	10	13	47	21	39	142	False
39343	12	16	28	21	33	177	False
24208	17	32	86	26	51	467	False
11469	21	37	108	21	41	832	False
27680	22	34	77	28	57	376	True
52243	8	9	14	13	15	55	True
52256	14	16	71	15	22	1270	False
9889	2	2	3	8	8	104	False
39086	15	18	32	18	21	307	False
26613	10	11	37	4	4	5	False
6364	25	45	95	23	59	200	False
30279	18	42	61	34	119	769	True
10424	12	21	58	15	25	65	False
16848	20	41	69	31	79	263	False
10411	28	100	2115	32	115	253	True
32789	27	99	197	32	117	596	True
13581	13	20	50	17	26	81	False
40413	14	20	35	17	26	91	False
43192	3	3	6	3	3	13	False
48624	8	8	63	6	6	9	False
10408	31	144	289	35	207	730	True
11222	15	30	86	24	35	143	True
16073	26	69	137	31	97	202	True
32791	14	16	46	13	21	27	False
44945	32	156	366	38	180	403	True
4058	9	14	18	12	22	74	False
2332	9	15	26	13	24	55	False
7552	15	34	378	25	51	209	False
41001	17	21	58	21	33	162	False
32639	6	8	14	7	9	93	False
23628	3	3	3	1	1	1	False
47123	8	13	25	15	22	132	False
3700	11	13	23	16	25	60	False
16427	7	9	15	13	14	43	False
12716	9	10	29	15	19	33	False
16635	27	40	80	27	61	204	False
32814	11	17	45	19	30	78	False
47674	15	21	44	18	28	59	False
2497	24	63	276	28	81	164	False
29255	5	5	10	5	5	14	False
51752	14	20	78	19	25	255	False
44170	10	13	19	13	20	243	False
4695	8	9	36	2	3	4	False
26618	19	38	119	23	40	105	False
25463	20	37	95	20	37	166	False
43338	1	1	2	3	3	5	False
7413	6	6	57	6	6	293	False
34112	21	30	180	22	42	196	False
13862	3	3	3	3	3	46	False
48785	23	47	69	24	69	197	False
11214	22	43	97	23	56	112	True
10979	7	10	16	8	8	131	False
17446	6	8	25	14	16	27	False
5182	5	5	16	11	13	23	False
28809	10	11	20	11	17	40	False
32217	2	2	5	3	3	4	False
43279	2	2	4	1	1	1	False
22349	10	11	19	13	18	100	False
41814	10	14	31	9	14	505	False
41315	1	1	3	1	1	4	False
12940	24	77	259	35	120	503	True
48338	2	2	5	2	2	2	False
28597	22	37	121	25	59	376	True
48265	3	3	3	2	2	2	False
10409	32	169	570	37	256	880	True
31433	25	49	155	23	53	212	True
38701	8	9	51	5	8	18	False
48796	16	24	52	20	31	190	False
34380	2	2	5	1	1	1	False
34143	11	12	37	8	10	60	True
35669	12	17	25	18	34	1542	False
35664	21	44	95	27	60	199	True
1259	1	1	1	1	1	2	False
8032	2	2	2	3	3	4	False
40192	13	20	36	20	31	96	False
47736	3	3	4	3	3	7	False
29221	2	2	3	1	1	1	False
3374	2	2	3	1	1	2	False
39651	21	39	264	27	53	244	False
28580	21	26	65	19	27	132	True
36835	1	1	1	1	1	1	False
1805	7	8	18	17	23	63	False
28656	8	9	21	13	17	234	False
48183	5	6	34	7	11	19	True
26391	6	6	11	7	8	16	False
2328	23	34	184	24	46	214	False
6374	21	37	69	26	61	202	False
7526	29	107	332	34	163	476	True
1907	3	3	4	1	1	2	False
46320	25	52	199	26	74	215	True
35716	12	15	71	12	18	102	False
1297	17	28	81	21	32	325	False
22545	9	9	21	9	10	50	False
34631	10	10	48	12	15	85	False
36325	5	5	34	3	3	296	False
35309	7	8	20	6	8	36	False
41417	3	3	4	4	5	12	False
5443	29	85	219	34	125	330	False
50892	11	14	33	10	17	45	False
35099	6	6	7	2	2	3	False
5808	25	62	195	28	67	298	False
23643	10	13	57	7	8	106	False
27059	21	38	56	22	39	257	False
23810	19	29	63	19	41	87	False
22334	11	14	43	11	14	66	False
35077	20	38	86	20	33	61	False
22368	10	11	21	13	21	126	False
27138	22	40	186	24	51	11446	False
38384	5	6	45	6	6	309	False
42938	16	25	73	23	40	438	False
20402	19	37	254	23	49	147	False
43179	6	6	38	10	18	90	False
23856	3	3	3	1	1	1	False
8220	10	18	1171	20	33	447	False
3883	17	21	73	15	31	54	False
25664	7	7	9	12	16	78	False
37921	7	8	12	10	14	23	False
39667	27	65	296	33	101	1696	False
40424	12	12	43	7	7	11	False
46316	23	51	95	21	55	416	False
45192	4	4	10	1	2	39	False
6816	5	5	9	7	7	13	False
36690	12	22	56	18	31	126	False
42161	17	26	48	22	49	109	False
51258	9	11	55	15	22	65	True
38102	2	2	5	1	1	16	False
50699	4	5	14	5	5	22	False
21251	25	59	158	33	115	344	False
22673	8	9	238	7	7	10	False
26726	22	39	202	28	78	340	True
1539	13	19	62	16	24	161	False
12141	4	5	18	5	5	18	False
13607	6	6	11	12	12	33	False
21254	15	33	91	27	56	126	True
13621	12	15	102	14	23	149	False
14924	4	5	6	6	7	29	False
37912	21	35	67	28	76	318	False
1315	7	9	11	9	9	70	False
29777	5	5	6	4	4	5	False
40990	11	15	59	12	15	34	True
47466	2	2	3	1	1	2	False
33595	11	13	27	7	8	15	False
9225	6	8	17	6	6	18	False
8372	1	1	1	3	3	9	False
30742	14	19	69	20	36	139	False
46763	14	33	71	22	52	95	True
3900	8	11	25	8	8	9	False
23022	2	2	2	2	3	4	False
30354	1	1	1	2	2	2	False
49044	9	11	369	12	18	28	False
35715	5	5	9	5	7	12	False
31767	23	32	241	27	50	390	False
29169	2	2	5	1	1	2	False
27470	28	56	194	25	69	264	False
30740	21	38	107	20	38	67	True
50428	15	23	55	21	38	92	False
36383	32	137	421	37	173	484	False
28835	18	34	50	26	51	165	False
19039	1	1	1	1	1	1	False
36729	11	12	188	13	14	1292	False
5030	23	37	125	23	60	508	False
32627	9	12	15	13	15	29	False
31564	1	1	2	2	2	2	False
24307	3	3	22	2	3	3	False
11318	1	1	2	2	2	2	False
40583	16	28	97	20	34	61	False
4478	12	15	67	5	10	18	False
24880	9	11	40	14	19	38	False
5640	10	11	14	11	20	32	False
34596	14	21	42	24	41	107	False
3905	20	35	80	23	35	95	False
20576	7	7	12	15	19	124	False
8793	5	6	12	9	11	36	False
26750	11	12	24	15	27	92	False
26743	17	23	33	20	39	365	True
35725	13	13	50	11	15	192	False
23718	1	1	1	1	1	1	False
3874	29	66	168	30	98	257	False
52025	25	48	222	25	61	211	False
7569	16	25	547	20	22	60	True
39368	3	3	3	6	6	10	False
6433	6	6	10	5	7	22	False
33599	12	21	51	17	19	62	False
17343	3	3	5	1	1	1	False
2191	10	12	27	18	31	244	False
19630	24	43	244	21	54	185	False
50053	18	26	53	21	47	597	False
17093	5	6	12	1	1	22	False
12157	6	7	74	2	3	3	False
17057	4	4	5	8	10	25	False
28527	1	1	1	2	2	10	False
29582	2	2	6	1	1	38	False
17489	2	2	6	2	3	5	False
527	7	7	17	10	15	31	False
14057	1	1	1	2	2	7	False
30801	11	15	188	11	14	18	False
14621	3	3	72	5	5	8	False
32589	1	1	1	1	1	2	False
24397	1	1	2	2	2	3	False
3123	2	4	4	2	2	2	False
2351	14	18	48	17	28	68	False
5806	24	47	94	29	79	288	False
40340	1	1	1	1	1	1	False
37601	18	27	60	28	67	346	False
35059	25	64	152	31	79	152	False
16451	6	7	18	6	7	49	False
16926	1	1	1	3	3	10	False
28888	3	3	4	10	12	32	False
46358	12	14	64	9	11	26	False
37097	2	2	3	1	1	6	False
18546	22	33	78	25	46	179	True
12978	12	15	34	14	19	56	False
4055	26	86	346	36	137	687	True
47901	28	72	296	32	110	368	True
38684	9	9	12	11	18	47	False
30812	16	26	56	19	27	874	False
13121	25	65	175	30	86	235	False
2502	18	34	276	23	50	245	False
33397	6	8	21	5	6	14	False
14049	12	14	28	11	16	34	False
48791	26	48	129	27	53	134	False
32135	10	13	39	10	13	128	False
15132	14	18	61	21	35	173	False
1628	6	6	43	5	6	120	False
2190	3	6	15	4	4	12	False
11234	13	17	51	10	11	23	False
4669	4	4	63	4	4	4	False
9605	2	2	2	1	1	1	False
22336	25	41	219	23	74	282	False
51419	22	45	126	16	33	57	False
19359	2	2	2	5	5	10	False
50653	11	12	24	16	23	41	False
26611	6	6	82	4	5	6	False
39299	1	1	1	1	1	1	False
45420	23	35	266	18	47	930	False
15296	6	6	8	10	13	80	False
45007	5	5	8	2	2	2	False
17607	20	35	104	25	59	202	False
17612	16	26	524	20	40	462	False
39989	18	34	199	18	35	62	False
10414	18	32	76	21	41	73	True
45126	15	22	47	16	24	64	False
15727	26	59	90	25	66	249	True
39987	6	7	48	9	11	17	False
13840	8	8	8	10	12	15	False
141	5	5	7	4	4	5	True
18741	1	1	1	1	1	2	False
10833	2	2	2	2	2	2	False
30997	14	15	17	17	21	46	True
49028	31	157	517	38	218	1993	True
47952	11	12	16	14	28	136	False
935	10	16	28	18	31	57	False
46757	15	21	43	22	31	48	False
18799	6	7	9	7	9	18	False
37963	6	7	8	12	17	127	False
12645	1	1	1	1	1	1	False
5823	15	24	38	18	32	253	False
29616	8	12	47	14	20	32	False
9524	14	18	105	20	33	126	False
12770	1	1	1	1	1	1	False
24578	20	39	139	25	65	214	False
48781	26	74	248	32	123	291	False
19668	4	5	9	5	6	6	False
2326	13	20	117	19	27	63	False
7531	31	180	502	37	259	2251	False
39582	1	1	1	1	1	1	False
42983	25	45	117	24	56	118	True
6187	23	47	261	24	63	143	False
12963	21	35	101	23	44	121	False
7970	15	25	54	18	30	61	False
50932	10	11	16	7	7	45	False
29462	25	47	93	29	80	254	True
13291	10	11	14	17	28	99	False
20130	31	138	381	37	240	899	False
34435	30	92	296	34	124	388	False
42676	14	19	75	11	20	37	False
20176	10	11	13	13	17	38	False
28761	1	1	1	1	1	3	False
52230	13	20	56	19	35	94	False
46754	28	104	445	32	134	645	True
6613	19	38	77	26	63	145	False
26640	20	26	69	22	36	2316	False
38537	2	2	6	1	2	2	False
15307	27	82	228	31	93	178	True
46531	2	2	2	1	1	10	False
35728	3	3	11	2	2	3	False
39325	11	11	22	12	16	41	False
15919	1	1	1	1	1	1	False
31739	24	47	196	32	74	261	False
12920	2	2	5	1	1	16	False
48775	23	42	156	35	91	292	False
14497	16	26	172	21	50	217	False
43848	22	43	87	22	53	181	True
6460	2	2	2	3	3	3	False
36389	17	27	57	27	66	231	False
4685	1	1	1	1	1	6	False
10761	2	2	4	1	1	2	False
35063	18	30	92	19	31	196	True
30528	27	73	143	30	94	358	False
30530	20	29	135	25	44	198	False
969	9	17	30	9	20	114	False
7559	18	34	122	19	34	243	False
11463	1	1	1	1	1	1	False
4383	5	5	10	5	5	9	False
6779	19	38	368	29	80	1912	False
5380	1	1	1	2	2	2	False
40613	18	24	45	20	28	59	False
11282	4	6	8	11	13	22	True
47914	6	6	11	5	5	5	False
6808	6	7	12	5	5	36	False
51246	18	33	167	20	42	95	False
47652	5	5	18	6	6	13	False
34116	25	61	115	34	97	167	False
43391	1	1	1	1	1	1	False
13119	31	84	349	35	106	319	False
41190	7	7	7	1	2	7	False
35911	14	19	57	22	37	228	False
25659	11	17	82	19	31	164	False
38390	5	5	10	2	2	2	False
28118	8	9	17	9	14	701	False
5309	5	5	20	7	7	9	False
49039	12	16	29	23	34	286	False
32818	15	20	368	11	13	16	False
11485	6	7	31	9	11	98	False
2649	2	2	2	1	1	2	False
14020	27	64	242	30	77	164	False
30803	15	17	24	9	21	74	False
5031	17	20	123	20	28	156	False
2491	17	30	88	25	47	80	False
36381	32	129	501	35	177	615	False
2187	14	17	35	14	29	220	True
8478	3	3	5	3	3	3	False
14506	15	27	55	18	22	32	True
13478	9	11	39	15	18	24	False
31313	19	37	168	22	36	58	False
25472	9	11	59	14	21	30	False
26149	23	46	209	30	74	933	False
26155	23	41	120	26	48	169	True
42737	3	3	4	2	2	12	False
52205	1	1	1	1	1	1	False
21127	2	2	2	2	2	3	False
14961	10	12	33	12	17	27	False
6796	5	5	6	5	6	6	False
41608	7	7	10	2	3	3	False
42662	19	35	82	21	34	178	False
32842	11	11	15	17	17	25	False
5625	23	50	123	28	64	119	False
30544	5	5	36	9	13	50	False
4067	5	5	5	3	3	9	False
6168	17	21	81	23	30	314	False
3691	11	13	27	16	24	70	False
43353	6	8	13	1	1	1	False
20151	22	43	114	26	50	196	False
52034	18	22	23	23	33	51	False
36507	3	3	5	1	1	8	False
11343	5	5	9	1	2	5	False
46377	1	1	1	2	2	5	False
16646	23	39	53	21	35	133	True
29938	1	1	1	1	1	4	False
5455	15	23	30	20	30	66	False
2204	18	24	52	21	32	106	False
50185	3	3	35	1	1	1	False
28664	11	12	87	11	12	172	False
2320	29	65	179	30	111	668	True
18552	24	44	88	29	79	213	False
9719	12	18	34	25	46	128	False
40603	14	16	33	19	24	104	False
11407	2	2	2	1	1	1	False
2216	14	17	67	11	16	23	False
40629	9	10	36	5	6	6	False
972	10	18	36	13	18	26	False
7626	13	17	446	14	20	139	True
932	13	19	28	13	19	34	False
12471	6	6	7	7	9	23	False
8535	12	17	132	16	25	125	True
45035	2	2	2	1	1	1	False
50447	29	49	216	26	89	276	True
15734	12	18	105	17	24	41	False
30274	21	39	75	23	46	226	False
50087	6	6	11	5	7	18	False
12741	11	11	17	14	22	45	False
5498	1	1	1	4	5	7	False
43858	24	48	323	24	54	154	False
17836	20	41	54	19	53	111	False
2221	15	26	56	21	48	77	False
33609	15	21	34	19	35	80	True
27068	3	3	5	5	5	10	False
11755	1	1	1	1	1	11	False
12733	21	43	116	26	67	688	True
13810	22	43	115	23	46	135	True
30465	1	1	1	1	1	1	False
22909	21	43	58	22	61	594	False
32797	11	14	31	13	20	35	False
47645	18	38	126	18	30	1147	False
24557	20	39	70	24	61	150	True
10641	19	26	41	17	31	48	False
9726	7	8	13	7	7	13	False
14382	6	6	7	9	10	73	False
32625	19	29	119	16	25	156	False
19912	4	4	4	8	8	14	False
5170	17	25	121	23	38	234	False
35145	8	8	15	11	14	769	False
29993	1	1	1	1	1	1	False
30702	1	1	1	1	1	19	False
23169	6	6	14	2	2	4	False
34283	5	5	7	5	5	8	False
2751	6	9	19	5	7	8	False
5447	22	35	127	28	58	176	True
31434	14	22	35	12	21	139	False
42684	27	55	233	28	83	641	False
23960	22	49	167	29	66	321	False
35102	13	19	35	14	20	143	False
6003	10	12	20	13	17	115	False
6008	20	32	74	25	61	295	False
25048	2	2	2	1	1	17	False
24833	1	1	1	1	1	2	False
20195	10	15	28	9	11	17	False
40007	4	5	8	9	12	30	False
21252	13	19	55	13	19	29	False
22910	30	65	201	27	93	3226	False
45930	2	2	7	1	2	3	False
46910	29	86	526	32	126	526	False
49173	18	29	882	14	19	53	False
11220	28	44	59	28	67	168	False
46332	12	15	32	14	23	50	False
13826	11	14	31	11	15	22	False
13771	4	4	5	7	7	12	False
25462	16	21	37	22	43	109	False
2756	13	17	38	10	13	49	False
28823	22	41	147	24	59	128	False
26186	5	5	18	7	8	11	False
13318	2	2	2	2	2	2	False
49148	29	106	566	31	144	518	False
12936	36	168	789	38	238	1311	False
25955	1	1	1	1	1	2	False
20375	24	46	190	21	48	523	True
